"source_id","brief_card","brief_read","full_card","full_scan","root_focused_read","used_in_evidence_matrix","reading_date","notes"
"S01","逐篇分析/摘要卡/S01_hardware_specialization.md","complete","逐篇分析/完整卡/S01_hardware_specialization.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S02","逐篇分析/摘要卡/S02_coltrain.md","complete","逐篇分析/完整卡/S02_coltrain.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S03","逐篇分析/摘要卡/S03_dnn_accelerator_survey.md","complete","逐篇分析/完整卡/S03_dnn_accelerator_survey.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S04","逐篇分析/摘要卡/S04_hardware_acceleration.md","complete","逐篇分析/完整卡/S04_hardware_acceleration.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S05","逐篇分析/摘要卡/S05_dnn_training_tutorial.md","complete","逐篇分析/完整卡/S05_dnn_training_tutorial.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S06","逐篇分析/摘要卡/S06_numerical_encoding.md","complete","逐篇分析/完整卡/S06_numerical_encoding.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S07","逐篇分析/摘要卡/S07_ml_accelerator_survey.md","complete","逐篇分析/完整卡/S07_ml_accelerator_survey.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S08","逐篇分析/摘要卡/S08_irds_benchmarking.md","complete","逐篇分析/完整卡/S08_irds_benchmarking.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S09","逐篇分析/摘要卡/S09_deployment_survey.md","complete","逐篇分析/完整卡/S09_deployment_survey.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S10","逐篇分析/摘要卡/S10_deep_learning_architects.md","complete","逐篇分析/完整卡/S10_deep_learning_architects.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S11","逐篇分析/摘要卡/S11_llm_inference_hardware.md","complete","逐篇分析/完整卡/S11_llm_inference_hardware.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S12","逐篇分析/摘要卡/S12_accelerator_benchmarking.md","complete","逐篇分析/完整卡/S12_accelerator_benchmarking.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S13","逐篇分析/摘要卡/S13_gemma_deepdive.md","complete","逐篇分析/完整卡/S13_gemma_deepdive.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S14","逐篇分析/摘要卡/S14_tpu8t_tpu8i.md","complete","逐篇分析/完整卡/S14_tpu8t_tpu8i.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S15","逐篇分析/摘要卡/S15_aws_inference_challenges.md","complete","逐篇分析/完整卡/S15_aws_inference_challenges.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S16","逐篇分析/摘要卡/S16_copa_gpu.md","complete","逐篇分析/完整卡/S16_copa_gpu.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S17","逐篇分析/摘要卡/S17_spring.md","complete","逐篇分析/完整卡/S17_spring.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S18","逐篇分析/摘要卡/S18_tpuv1.md","complete","逐篇分析/完整卡/S18_tpuv1.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
"S19","逐篇分析/摘要卡/S19_efficient_dnn_processing.md","complete","逐篇分析/完整卡/S19_efficient_dnn_processing.md","complete","§5差异维度；§8时代与缺失；§9综合贡献；进入矩阵的定位按需回看","yes","2026-08-14","来源身份与版本由语料清单交叉核对；未把未覆盖字段用常识补齐"
