"claim_id","dimension","claim_text","applicability","fixed_corpus_support","full_card_paths","work_family_ids","work_family_count","organization_families","independent_family_count","evidence_class","counterexamples","confidence","entry_status","external_source_ids","verification_status","support_votes","refute_votes","uncertain_votes","report_section","notes"
"C01","执行阶段与状态","标准训练比固定权重前向推理多出反向传播、梯度与参数更新，并需要保存或重算部分激活。","监督学习训练与固定权重推理；不涵盖在线学习","S03|S05|S10|S19","逐篇分析/完整卡/S03_dnn_accelerator_survey.md|逐篇分析/完整卡/S05_dnn_training_tutorial.md|逐篇分析/完整卡/S10_deep_learning_architects.md|逐篇分析/完整卡/S19_efficient_dnn_processing.md","WF-CHEN-DNN-SURVEY|WF-STANFORD-DNNTRAIN-TUTORIAL|WF-DEEP-LEARNING-COMPUTER-ARCHITECTS|WF-EYERISS-SURVEY","4","Engineering journal authors|Stanford DNNTrain tutorial|Morgan and Claypool authors|MIT Eyeriss survey","4","跨资料结论","推理仍有KV cache等运行时状态，不能简化为无状态。","高","已确认","E01|E02","confirmed_three_support","3","0","0","一、工作负载差别先改变运行状态／训练是一条前向—反向—更新闭环",
"C02","执行阶段与状态","现代自回归LLM推理不是无状态前向：权重之外还要管理随序列增长的KV cache，并可能包含前缀缓存、临时空间、并发和碎片预留。","数据中心自回归Transformer推理","S04|S11|S13|S15","逐篇分析/完整卡/S04_hardware_acceleration.md|逐篇分析/完整卡/S11_llm_inference_hardware.md|逐篇分析/完整卡/S13_gemma_deepdive.md|逐篇分析/完整卡/S15_aws_inference_challenges.md","WF-HARVARD-MLSYS-TEXTBOOK|WF-MA-PATTERSON-LLM-INFERENCE|WF-GOOGLE-GEMMA-DEEPDIVE|WF-AWS-INFERENCE-GUIDANCE","4","Harvard Edge|Xiaoyu Ma and David Patterson|Google|AWS","3","跨资料结论","非Transformer或无缓存推理不适用；KV cache大小取决于模型、上下文、并发与实现。","高","已确认","E03|E13|E04","confirmed_three_support","3","0","0","一、工作负载差别先改变运行状态／推理权重不更新，但现代LLM推理有动态状态",
"C03","优化目标","训练通常围绕达到目标质量所需的总时间、吞吐或goodput优化；在线推理则同时受首词延迟TTFT、逐词延迟TPOT、尾延迟、并发、吞吐和成本约束。","数据中心训练与在线生成式推理","S02|S08|S12|S15","逐篇分析/完整卡/S02_coltrain.md|逐篇分析/完整卡/S08_irds_benchmarking.md|逐篇分析/完整卡/S12_accelerator_benchmarking.md|逐篇分析/完整卡/S15_aws_inference_challenges.md","WF-COLTRAIN|WF-IEEE-IRDS-2023|WF-GOOGLE-ACCELERATOR-BENCHMARKING|WF-AWS-INFERENCE-GUIDANCE","4","EPFL ColTraIn|IEEE IRDS|Google|AWS","4","跨资料结论","离线推理不一定受交互时延约束；训练也可能有作业截止时间和可靠性目标。","高","已确认","E05|E06|E07","confirmed_three_support","3","0","0","二、系统目标把同一硬件能力排成不同优先级",
"C04","数值与累加","训练对梯度动态范围、累加和参数更新的数值稳定性通常更敏感，因而必须把输入、乘积、累加、输出、主权重、梯度和优化器状态的精度分开记录；推理常允许更激进的低精度。","传统DNN到LLM；具体可用精度依模型与算法","S02|S05|S07|S10|S19","逐篇分析/完整卡/S02_coltrain.md|逐篇分析/完整卡/S05_dnn_training_tutorial.md|逐篇分析/完整卡/S07_ml_accelerator_survey.md|逐篇分析/完整卡/S10_deep_learning_architects.md|逐篇分析/完整卡/S19_efficient_dnn_processing.md","WF-COLTRAIN|WF-STANFORD-DNNTRAIN-TUTORIAL|WF-REUTHER-SURVEY|WF-DEEP-LEARNING-COMPUTER-ARCHITECTS|WF-EYERISS-SURVEY","5","EPFL ColTraIn|Stanford DNNTrain tutorial|MIT Lincoln Laboratory|Morgan and Claypool authors|MIT Eyeriss survey","5","跨资料结论","S06与S02同家族不重复计票；现代FP8训练是反例，说明差异是条件化而非固定门槛。","高","已确认","E02|E09|E12","confirmed_three_support","3","0","0","三、架构后果／数值通路",
"C05","预填充与解码","LLM预填充并行度高且常更接近计算受限，低批量逐词解码每步只生成少量token，常更接近权重与KV cache容量或带宽受限。","自回归Transformer；尤其交互式低批量服务","S04|S11|S12|S13|S15","逐篇分析/完整卡/S04_hardware_acceleration.md|逐篇分析/完整卡/S11_llm_inference_hardware.md|逐篇分析/完整卡/S12_accelerator_benchmarking.md|逐篇分析/完整卡/S13_gemma_deepdive.md|逐篇分析/完整卡/S15_aws_inference_challenges.md","WF-HARVARD-MLSYS-TEXTBOOK|WF-MA-PATTERSON-LLM-INFERENCE|WF-GOOGLE-ACCELERATOR-BENCHMARKING|WF-GOOGLE-GEMMA-DEEPDIVE|WF-AWS-INFERENCE-GUIDANCE","5","Harvard Edge|Xiaoyu Ma and David Patterson|Google|AWS","3","跨资料结论","大batch、投机解码、量化、模型形状和内核实现可移动瓶颈，不能写成永恒定律。","高","已确认","E04|E05","confirmed_three_support","3","0","0","一、工作负载差别先改变运行状态／预填充与解码",
"C06","批处理","提高batch或连续批处理通常能提升权重复用、算术强度和吞吐，但会占用更多运行状态并与排队、TTFT、TPOT和尾延迟发生折中。","训练和在线推理；实际边界依到达率与服务目标","S02|S08|S12|S13|S18","逐篇分析/完整卡/S02_coltrain.md|逐篇分析/完整卡/S08_irds_benchmarking.md|逐篇分析/完整卡/S12_accelerator_benchmarking.md|逐篇分析/完整卡/S13_gemma_deepdive.md|逐篇分析/完整卡/S18_tpuv1.md","WF-COLTRAIN|WF-IEEE-IRDS-2023|WF-GOOGLE-ACCELERATOR-BENCHMARKING|WF-GOOGLE-GEMMA-DEEPDIVE|WF-TPUV1","5","EPFL ColTraIn|IEEE IRDS|Google|Google TPU v1","3","跨资料结论","离线推理可接受更大batch；连续批处理和chunked prefill会改变静态batch结论。","高","已确认","E03|E04|E07|E13","confirmed_three_support","3","0","0","二、系统目标／在线推理同时受吞吐和延迟约束",
"C07","HBM容量","不能笼统断言训练芯片或推理芯片必然需要更多HBM：训练要容纳权重、主权重、梯度、优化器状态、保存激活与临时空间；推理要容纳权重、KV cache、前缀缓存、临时空间、并发和碎片预留，胜负取决于模型与运行条件。","一个芯片或封装对象的同口径比较","S04|S05|S11|S15","逐篇分析/完整卡/S04_hardware_acceleration.md|逐篇分析/完整卡/S05_dnn_training_tutorial.md|逐篇分析/完整卡/S11_llm_inference_hardware.md|逐篇分析/完整卡/S15_aws_inference_challenges.md","WF-HARVARD-MLSYS-TEXTBOOK|WF-STANFORD-DNNTRAIN-TUTORIAL|WF-MA-PATTERSON-LLM-INFERENCE|WF-AWS-INFERENCE-GUIDANCE","4","Harvard Edge|Stanford DNNTrain tutorial|Xiaoyu Ma and David Patterson|AWS","4","分析者综合","原语料没有统一模型、精度、优化器、上下文和并发的跨芯片实测。","中高","已确认","E01|E02|E03|E13|E08","confirmed_three_support","3","0","0","三、架构后果／HBM容量",
"C08","HBM带宽","低批量解码经常由权重和KV cache的数据搬运主导，因此推理设计可能把更大比例资源给HBM容量与带宽；训练和预填充的大矩阵阶段则更依赖算力与带宽的平衡。","现代数据中心LLM；低批量解码","S04|S11|S14|S16|S18","逐篇分析/完整卡/S04_hardware_acceleration.md|逐篇分析/完整卡/S11_llm_inference_hardware.md|逐篇分析/完整卡/S14_tpu8t_tpu8i.md|逐篇分析/完整卡/S16_copa_gpu.md|逐篇分析/完整卡/S18_tpuv1.md","WF-HARVARD-MLSYS-TEXTBOOK|WF-MA-PATTERSON-LLM-INFERENCE|WF-GOOGLE-TPU8-SPLIT|WF-COPA-GPU|WF-TPUV1","5","Harvard Edge|Xiaoyu Ma and David Patterson|Google|NVIDIA research|Google TPU v1","4","跨资料结论","S14是厂商设计意图，S16是模拟；大batch解码可能转向计算受限。","高","已确认","E04|E11|E12","confirmed_three_support","3","0","0","三、架构后果／HBM带宽与存算比",
"C09","存算配比","机器平衡点P_peak/B_HBM只在对象层级、精度、稠密或稀疏、峰值或持续值以及带宽方向一致时可比较；它只能与工作负载算术强度共同判断瓶颈，不能单独给芯片贴训练或推理标签。","同一硬件对象与明确工作负载","S04|S12|S18|S19","逐篇分析/完整卡/S04_hardware_acceleration.md|逐篇分析/完整卡/S12_accelerator_benchmarking.md|逐篇分析/完整卡/S18_tpuv1.md|逐篇分析/完整卡/S19_efficient_dnn_processing.md","WF-HARVARD-MLSYS-TEXTBOOK|WF-GOOGLE-ACCELERATOR-BENCHMARKING|WF-TPUV1|WF-EYERISS-SURVEY","4","Harvard Edge|Google|Google TPU v1|MIT Eyeriss survey","3","跨资料结论","缓存命中、片上带宽、通信和软件效率会使简单HBM Roofline失真。","高","已确认","E11","confirmed_three_support","3","0","0","三、架构后果／HBM带宽与存算比",
"C10","计算单元与数据流","训练、预填充和解码可以共享矩阵乘核心，但训练的反向与更新、解码的小批量和非矩阵算子会改变矩阵、向量、标量资源以及数据流的利用率，不能只比峰值矩阵算力。","通用或统一加速器","S05|S10|S14","逐篇分析/完整卡/S05_dnn_training_tutorial.md|逐篇分析/完整卡/S10_deep_learning_architects.md|逐篇分析/完整卡/S14_tpu8t_tpu8i.md","WF-STANFORD-DNNTRAIN-TUTORIAL|WF-DEEP-LEARNING-COMPUTER-ARCHITECTS|WF-GOOGLE-TPU8-SPLIT","3","Stanford DNNTrain tutorial|Morgan and Claypool authors|Google","3","跨资料结论","专用算法和编译器融合可能改变非矩阵部分；缺少统一硬件的完整阶段实测。","中高","已确认","E08|E10|E12|E04","confirmed_three_support","3","0","0","三、架构后果／计算单元",
"C11","片上存储","片上存储与数据复用对训练和推理都重要，但训练更侧重激活、梯度和部分和的保存或重算，推理解码还要处理权重块、KV cache与并发相关工作集，最佳容量层次和数据流随阶段改变。","DNN与Transformer加速器","S03|S04|S14|S17|S19","逐篇分析/完整卡/S03_dnn_accelerator_survey.md|逐篇分析/完整卡/S04_hardware_acceleration.md|逐篇分析/完整卡/S14_tpu8t_tpu8i.md|逐篇分析/完整卡/S17_spring.md|逐篇分析/完整卡/S19_efficient_dnn_processing.md","WF-CHEN-DNN-SURVEY|WF-HARVARD-MLSYS-TEXTBOOK|WF-GOOGLE-TPU8-SPLIT|WF-SPRING|WF-EYERISS-SURVEY","5","Engineering journal authors|Harvard Edge|Google|Princeton SPRING|MIT Eyeriss survey","5","跨资料结论","旧CNN的片上存储数字不可直接迁移到LLM。","低","未确认，限定保留","E01|E03|E11|E04","not_confirmed","1","0","2","三、架构后果／片上存储与数据流","未确认：缺少同一现代Transformer硬件上的受控片上层级比较；报告仅保留检查框架。"
