"card_path","object_id","fact_id","section","fact_present","reverse_locator"
"card-draft/AWS_Inferentia1_芯片实现资料卡.md","OBJ-AWS-INFERENTIA1-CHIP","FACT-M2W2-AWS-INF1-NCV1-COUNT","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF1-NCV1-COUNT`"
"card-draft/AWS_Inferentia1_芯片实现资料卡.md","OBJ-AWS-INFERENTIA1-CHIP","FACT-M2W2-AWS-INF1-CHIP-INT8-PEAK","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF1-CHIP-INT8-PEAK`"
"card-draft/AWS_Inferentia1_芯片实现资料卡.md","OBJ-AWS-INFERENTIA1-CHIP","FACT-M2W2-AWS-INF1-CHIP-FP16BF16-PEAK","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF1-CHIP-FP16BF16-PEAK`"
"card-draft/AWS_Inferentia1_芯片实现资料卡.md","OBJ-AWS-INFERENTIA1-CHIP","FACT-M2W2-AWS-INF1-DRAM-CAPACITY","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF1-DRAM-CAPACITY`"
"card-draft/AWS_Inferentia1_芯片实现资料卡.md","OBJ-AWS-INFERENTIA1-CHIP","FACT-M2W2-AWS-INF1-DRAM-BW","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF1-DRAM-BW`"
"card-draft/AWS_Inferentia1_芯片实现资料卡.md","OBJ-AWS-INFERENTIA1-CHIP","FACT-M2W2-AWS-INF1-NCV1-TENSOR-FP16BF16","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF1-NCV1-TENSOR-FP16BF16`"
"card-draft/AWS_Inferentia1_芯片实现资料卡.md","OBJ-AWS-INFERENTIA1-CHIP","FACT-M2W2-AWS-INF1-NCV1-VECTOR-OPS-CYCLE","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF1-NCV1-VECTOR-OPS-CYCLE`"
"card-draft/AWS_Inferentia1_芯片实现资料卡.md","OBJ-AWS-INFERENTIA1-CHIP","FACT-M2W2-AWS-INF1-NCV1-SCALAR-OPS-CYCLE","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF1-NCV1-SCALAR-OPS-CYCLE`"
"card-draft/AWS_Trainium1_芯片实现资料卡.md","OBJ-AWS-TRAINIUM1-CHIP","FACT-M2W2-AWS-TRN1-NCV2-COUNT","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-TRN1-NCV2-COUNT`"
"card-draft/AWS_Trainium1_芯片实现资料卡.md","OBJ-AWS-TRAINIUM1-CHIP","FACT-M2W2-AWS-TRN1-CHIP-INT8-PEAK","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-TRN1-CHIP-INT8-PEAK`"
"card-draft/AWS_Trainium1_芯片实现资料卡.md","OBJ-AWS-TRAINIUM1-CHIP","FACT-M2W2-AWS-TRN1-CHIP-MIXED-PEAK","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-TRN1-CHIP-MIXED-PEAK`"
"card-draft/AWS_Trainium1_芯片实现资料卡.md","OBJ-AWS-TRAINIUM1-CHIP","FACT-M2W2-AWS-TRN1-CHIP-FP32-PEAK","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-TRN1-CHIP-FP32-PEAK`"
"card-draft/AWS_Trainium1_芯片实现资料卡.md","OBJ-AWS-TRAINIUM1-CHIP","FACT-M2W2-AWS-TRN1-HBM-CAPACITY","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-TRN1-HBM-CAPACITY`"
"card-draft/AWS_Trainium1_芯片实现资料卡.md","OBJ-AWS-TRAINIUM1-CHIP","FACT-M2W2-AWS-TRN1-HBM-BW-GIB","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-TRN1-HBM-BW-GIB`"
"card-draft/AWS_Trainium1_芯片实现资料卡.md","OBJ-AWS-TRAINIUM1-CHIP","FACT-M2W2-AWS-TRN1-HBM-BW-GB","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-TRN1-HBM-BW-GB`"
"card-draft/AWS_Trainium1_芯片实现资料卡.md","OBJ-AWS-TRAINIUM1-CHIP","FACT-M2W2-AWS-TRN1-DMA-BW","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-TRN1-DMA-BW`"
"card-draft/AWS_Trainium1_芯片实现资料卡.md","OBJ-AWS-TRAINIUM1-CHIP","FACT-M2W2-AWS-TRN1-DMA-COUNT","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-TRN1-DMA-COUNT`"
"card-draft/AWS_Trainium1_芯片实现资料卡.md","OBJ-AWS-TRAINIUM1-CHIP","FACT-M2W2-AWS-TRN1-CC-COUNT","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-TRN1-CC-COUNT`"
"card-draft/AWS_Trainium1_芯片实现资料卡.md","OBJ-AWS-TRAINIUM1-CHIP","FACT-M2W2-AWS-TRN1-NEURONLINK-COUNT","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-TRN1-NEURONLINK-COUNT`"
"card-draft/AWS_Inferentia2_芯片实现资料卡.md","OBJ-AWS-INFERENTIA2-CHIP","FACT-M2W2-AWS-INF2-NCV2-COUNT","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF2-NCV2-COUNT`"
"card-draft/AWS_Inferentia2_芯片实现资料卡.md","OBJ-AWS-INFERENTIA2-CHIP","FACT-M2W2-AWS-INF2-CHIP-INT8-PEAK","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF2-CHIP-INT8-PEAK`"
"card-draft/AWS_Inferentia2_芯片实现资料卡.md","OBJ-AWS-INFERENTIA2-CHIP","FACT-M2W2-AWS-INF2-CHIP-MIXED-PEAK","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF2-CHIP-MIXED-PEAK`"
"card-draft/AWS_Inferentia2_芯片实现资料卡.md","OBJ-AWS-INFERENTIA2-CHIP","FACT-M2W2-AWS-INF2-CHIP-FP32-PEAK","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF2-CHIP-FP32-PEAK`"
"card-draft/AWS_Inferentia2_芯片实现资料卡.md","OBJ-AWS-INFERENTIA2-CHIP","FACT-M2W2-AWS-INF2-HBM-CAPACITY","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF2-HBM-CAPACITY`"
"card-draft/AWS_Inferentia2_芯片实现资料卡.md","OBJ-AWS-INFERENTIA2-CHIP","FACT-M2W2-AWS-INF2-HBM-BW-GIB","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF2-HBM-BW-GIB`"
"card-draft/AWS_Inferentia2_芯片实现资料卡.md","OBJ-AWS-INFERENTIA2-CHIP","FACT-M2W2-AWS-INF2-HBM-BW-GB","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF2-HBM-BW-GB`"
"card-draft/AWS_Inferentia2_芯片实现资料卡.md","OBJ-AWS-INFERENTIA2-CHIP","FACT-M2W2-AWS-INF2-DMA-BW","实现事实候选","true","Markdown row containing `FACT-M2W2-AWS-INF2-DMA-BW`"
