"commit_order","target_path","authorized_row_writes","premerge_sha256","premerge_bytes","premerge_data_rows","column_count","encoding","newline","backup_required","rollback_action"
"1","数据/card-completeness.csv","9","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","74967","360","8","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"2","数据/components.csv","5","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","43819","254","8","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"3","数据/condition-sets.csv","9","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","59126","170","21","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"4","数据/facts.csv","39","7886e76bac608e8cfd0131a15d93922596bb5a0d8b16508a696c7d91877c50ea","277845","678","23","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"5","数据/field-requirements.csv","44","de19ee1e1a3beecdf3658d4c8b302e60d43eaaf9e58acfbd369388992eb9afb2","302574","863","16","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"6","数据/links.csv","3","71dc144abeae14c1607c75ef060f0305aa910e05823159ce4dca1b5105e9b51e","8129","38","8","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"7","数据/memory-levels.csv","2","e1e6f95da738de7ae3c673ebd66707e2ddf13c411afd72c6383fd375697398fa","11348","82","6","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"8","数据/precision-paths.csv","12","477cc547e061fd7fd2d418c38ee4c74eb56c17ec70df956666040fde04292431","23468","142","6","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"9","最小参考资料库/fact-assertions.csv","53","7066ed9c845dadb801047b9e4cbd2ea50f7af1c9f6d0836a9d5a5115d40fc92b","344531","680","18","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"10","最小参考资料库/search-log.csv","8","f7c501584f0b685b26aaaa913a9fd975e4d94474a9fac38b95d74fe0513bc23d","114039","280","9","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"11","最小参考资料库/search-results.csv","32","92aec74a85406ffa96c826348ffe298dba702639ecdf956160bf655db48cc40f","77301","399","6","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"12","最小参考资料库/selection-members.csv","4","073cba4b5671f2273f75e99a355259444c7c28c2a2da4006b19535b3f030ce0b","39854","96","7","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"13","最小参考资料库/selection-runs.csv","1","4397260840ab286e7d4274f963eb037eb70a2dfd951ac55d43fdd35aa85e7ee0","3281","8","10","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"14","最小参考资料库/source-coverage.csv","4","88bf789e45a70271bab97a4f1d69034e675418bf340c82d01751d50f07e8ba21","7348","19","10","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"15","最小参考资料库/source-endpoints.csv","4","644a9dc2249c717c7e16121d5164184bd5dd9804b9be4983019bb1ad48bc9f6f","51203","138","15","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"16","最小参考资料库/source-families.csv","2","358869eac543ca7769129a0525834a366fb3abb5c3fba858b556bb414ed0b061","14595","83","7","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"17","最小参考资料库/sources.csv","2","43c72603ecf52b78aa0e737840190320accf567b0d3d769c1c8b64ce223a84fc","31741","84","14","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"18","最小参考资料库/source-screening.csv","4","b4d12751bc347739b415feb2349d56297920a0cd2deab9887cb0c7b5a9377823","30961","88","10","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
"19","最小参考资料库/source-selected-roles.csv","5","5974d3615274baf78482815586f0fed10da3639532b7e8ba681a16ac59af2c57","21670","98","6","UTF-8-no-BOM","CRLF","true","restore_exact_backup_in_reverse_commit_order"
