"table_name","primary_key","batch","old_review_status","new_review_status","semantic_status_preserved","evidence_basis"
"最小参考资料库/fact-assertions.csv","ASSERT-CAMBRICON-MLU590-MLUOPS-TARGET-67B3707F","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-CAMBRICON-MLU590-NAME-WAIC-2022","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-CAMBRICON-MLU590-OBJECT-TYPE-WAIC-2022","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-CAMBRICON-MLU590-POSITIONING-WAIC-2022","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-CAMBRICON-MLU590-STATUS-WAIC-2022","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-CAMBRICON-MLU590-VENDOR-WAIC-2022","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-CAMBRICON-MLUARCH05-NAME-WAIC-2022","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-FACT-AWS-TRN2-3XL-CHIP-QTY-S06","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-FACT-AWS-TRN2-3XL-EFA-RATE-S07","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-FACT-AWS-TRN2-3XL-MEM-CAP-GENERIC-S15","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-FACT-AWS-TRN2-3XL-MEM-CAP-S07","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-FACT-AWS-TRN2-48XL-BF16-DENSE-S06","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-FACT-AWS-TRN2-48XL-BF16-SPARSE-HIST2024-S10","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-FACT-AWS-TRN2-48XL-BF16-SPARSE-S06","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-FACT-AWS-TRN2-48XL-CHIP-QTY-S06","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-FACT-AWS-TRN2-48XL-EFA-RATE-S07","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-FACT-AWS-TRN2-48XL-FP16-DENSE-S06","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
"最小参考资料库/fact-assertions.csv","ASSERT-FACT-AWS-TRN2-48XL-FP16-SPARSE-HIST2024-S10","M1","draft","reviewed","extraction_status=source_checked","审计/M1_试填合并验收.md + 审计/子代理交接/m1_postmerge_audit.md + 审计/子代理交接/data_review_lifecycle_independent_review.md"
