"gate_id","status","exit_code","expected_pattern","pattern_match","formal_aggregate_after","formal_targets_absent","notes"
"default-deny","passed","1","denied by default","True","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","True","Current formal root is denied by default. Supply -AllowFormalRoot only after the frozen bundle review, external backup,"
"wrong-token","passed","1","authorization token differs","True","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","True","Formal authorization token differs."
"pending-independent-signoff","passed","1","cannot independently authorize","True","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","True","Bundle transaction-prep author cannot independently authorize formal execution."
"wrong-mirror-marker","passed","1","marker content differs","True","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","True","Non-formal TargetRoot marker content differs."
"preexisting-target","passed","1","Payload target exists","True","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","True","Payload target exists: 资料卡/AMD/封装/AMD_Instinct_MI455X_模组资料卡.md"
"wrong-premerge-hash","passed","1","TargetRoot formal aggregate differs","True","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","True","TargetRoot formal aggregate differs."
"upstream-mi455x-missing","passed","1","Missing file:","True","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","True","Missing file: D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\子代理交接\m2_w3_bundle_formal_transaction_prep\rehearsal\absent"
"upstream-mi455x-wrong-hash","passed","1","Transaction signoff expected hash binding differs: MI455X","True","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","True","Transaction signoff expected hash binding differs: MI455X"
"upstream-mi350p-missing","passed","1","Missing file:","True","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","True","Missing file: D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\子代理交接\m2_w3_bundle_formal_transaction_prep\rehearsal\absent"
"upstream-mi350p-wrong-hash","passed","1","Transaction signoff expected hash binding differs: MI350P","True","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","True","Transaction signoff expected hash binding differs: MI350P"
"upstream-ascend950-missing","passed","1","Missing file:","True","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","True","Missing file: D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\子代理交接\m2_w3_bundle_formal_transaction_prep\rehearsal\absent"
"upstream-ascend950-wrong-hash","passed","1","Transaction signoff expected hash binding differs: ASCEND950","True","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","True","Transaction signoff expected hash binding differs: ASCEND950"
