"bundle_guard_id","package","package_order","guard_id","target_path","pk_column","pk_value","formal_file_sha256","formal_file_bytes","canonical_row_sha256","canonical_row_json","review_status","reason"
"BUNDLE-MI455X-GUARD-CDNA5-OBJECT","MI455X","1","GUARD-CDNA5-OBJECT","数据/objects.csv","object_id","OBJ-AMD-CDNA5-ARCH","54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7","16349","7d467142353494cba5e7865c14f8b2e933636372f03767edebe382b26c50c031","{""object_id"":""OBJ-AMD-CDNA5-ARCH"",""vendor_id"":""VEN-AMD"",""canonical_label"":""AMD CDNA 5 architecture"",""object_type"":""architecture_generation"",""curator_slug"":""amd-cdna5-architecture"",""review_status"":""reviewed"",""notes"":""M2 范围门导入；截止日状态按 announced 取证，不把计划发货当实际交付。""}","reviewed","CDNA 5 architecture object must remain unchanged while implementation facts are appended."
"BUNDLE-MI455X-GUARD-MI455X-CDNA5-RELATION","MI455X","1","GUARD-MI455X-CDNA5-RELATION","数据/object-relations.csv","object_relation_id","OREL-AMD-MI455X-IMPLEMENTS-CDNA5","9bbe32227f7022a5f9e4fe379d805e60780c15d6987e5b20e3b94ac3241fa353","7633","e7892e0df785e7c6722f2c904cd2e7072554ecd5cf192f32e8946b556b6c6ccd","{""object_relation_id"":""OREL-AMD-MI455X-IMPLEMENTS-CDNA5"",""subject_object_id"":""OBJ-AMD-MI455X"",""relation_type"":""implements_architecture"",""object_object_id"":""OBJ-AMD-CDNA5-ARCH"",""relation_fingerprint"":""OBJ-AMD-MI455X|implements_architecture|OBJ-AMD-CDNA5-ARCH"",""review_status"":""reviewed"",""notes"":""M2 范围门关系；MI455X 产品页明确归入 CDNA 5。""}","reviewed","The pre-existing implements_architecture relation is not part of the write-set."
"BUNDLE-MI455X-GUARD-MI455X-OBJECT","MI455X","1","GUARD-MI455X-OBJECT","数据/objects.csv","object_id","OBJ-AMD-MI455X","54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7","16349","0cd3083a19c183abbced809103214ade994f207606d949bbb0e22e54025eac81","{""object_id"":""OBJ-AMD-MI455X"",""vendor_id"":""VEN-AMD"",""canonical_label"":""AMD Instinct MI455X"",""object_type"":""module"",""curator_slug"":""amd-instinct-mi455x"",""review_status"":""reviewed"",""notes"":""M2 范围门导入；EAM 映射为 module，截止日仍按 announced 处理。""}","reviewed","MI455X object already exists and is outside the 242-row append write-set."
"BUNDLE-MI350P-GUARD-CDNA4-OBJECT","MI350P","2","GUARD-CDNA4-OBJECT","数据/objects.csv","object_id","OBJ-AMD-CDNA4-ARCH","54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7","16349","407233941ede3615d2479b092c7fba5ae66e5825bd17fe7d2ffb3e7e460891eb","{""object_id"":""OBJ-AMD-CDNA4-ARCH"",""vendor_id"":""VEN-AMD"",""canonical_label"":""AMD CDNA 4 architecture"",""object_type"":""architecture_generation"",""curator_slug"":""amd-cdna4-architecture"",""review_status"":""reviewed"",""notes"":""M2 范围门导入；MI350P 的共享架构对象。""}","reviewed","CDNA 4 architecture object must remain unchanged while implementation facts are appended."
"BUNDLE-MI350P-GUARD-MI350P-CDNA4-RELATION","MI350P","2","GUARD-MI350P-CDNA4-RELATION","数据/object-relations.csv","object_relation_id","OREL-AMD-MI350P-IMPLEMENTS-CDNA4","9bbe32227f7022a5f9e4fe379d805e60780c15d6987e5b20e3b94ac3241fa353","7633","3e68fcebc39f9eca292ebe3fe923cf1a133979ff84703ea0ecd61e5001e71a70","{""object_relation_id"":""OREL-AMD-MI350P-IMPLEMENTS-CDNA4"",""subject_object_id"":""OBJ-AMD-MI350P"",""relation_type"":""implements_architecture"",""object_object_id"":""OBJ-AMD-CDNA4-ARCH"",""relation_fingerprint"":""OBJ-AMD-MI350P|implements_architecture|OBJ-AMD-CDNA4-ARCH"",""review_status"":""reviewed"",""notes"":""M2 范围门关系；MI350P 产品页明确归入 CDNA 4。""}","reviewed","The pre-existing implements_architecture relation is not part of the write-set."
"BUNDLE-MI350P-GUARD-MI350P-OBJECT","MI350P","2","GUARD-MI350P-OBJECT","数据/objects.csv","object_id","OBJ-AMD-MI350P","54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7","16349","28d20c948f2de7d96efd5feec69e814c47cc3bb40e8ef35d1c1d3cc2664cd10e","{""object_id"":""OBJ-AMD-MI350P"",""vendor_id"":""VEN-AMD"",""canonical_label"":""AMD Instinct MI350P PCIe"",""object_type"":""card"",""curator_slug"":""amd-instinct-mi350p-pcie"",""review_status"":""reviewed"",""notes"":""M2 范围门导入；PCIe 卡身份与 CDNA 4 关系已确认。""}","reviewed","MI350P object already exists and is outside the 270-row append write-set."
"BUNDLE-ASCEND950-GUARD-ASC950-DIE-OBJECT","ASCEND950","3","GUARD-ASC950-DIE-OBJECT","数据/objects.csv","object_id","OBJ-HUAWEI-ASCEND-950-DIE","54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7","16349","88ba48f26668cede65de9ef5f1c7baabff1e4fdd0af4d9006d70d56a1443c4be","{""object_id"":""OBJ-HUAWEI-ASCEND-950-DIE"",""vendor_id"":""VEN-HUAWEI"",""canonical_label"":""Huawei Ascend 950 die"",""object_type"":""die"",""curator_slug"":""huawei-ascend-950-die"",""review_status"":""reviewed"",""notes"":""M2 范围门导入；950PR 与 950DT 共享裸片对象。""}","reviewed","The shared die object already exists and is outside the 545-row append write-set."
"BUNDLE-ASCEND950-GUARD-ASC950DT-DIE-RELATION","ASCEND950","3","GUARD-ASC950DT-DIE-RELATION","数据/object-relations.csv","object_relation_id","OREL-HUAWEI-950DT-CONTAINS-950-DIE","9bbe32227f7022a5f9e4fe379d805e60780c15d6987e5b20e3b94ac3241fa353","7633","b8939a7b1a308bdeb05e15f5ed13963cbf8652391f0ee3ffc4803ac46981d5a1","{""object_relation_id"":""OREL-HUAWEI-950DT-CONTAINS-950-DIE"",""subject_object_id"":""OBJ-HUAWEI-ASCEND-950DT"",""relation_type"":""package_contains_die"",""object_object_id"":""OBJ-HUAWEI-ASCEND-950-DIE"",""relation_fingerprint"":""OBJ-HUAWEI-ASCEND-950DT|package_contains_die|OBJ-HUAWEI-ASCEND-950-DIE"",""review_status"":""reviewed"",""notes"":""M2 范围门关系；950PR 与 950DT 共享 Ascend 950 裸片。""}","reviewed","The pre-existing package_contains_die relation is not part of the write-set."
"BUNDLE-ASCEND950-GUARD-ASC950DT-OBJECT","ASCEND950","3","GUARD-ASC950DT-OBJECT","数据/objects.csv","object_id","OBJ-HUAWEI-ASCEND-950DT","54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7","16349","a2f1bf78cca35119fa11eb4ff2b1bda262f5a5b954efc6876778fd7902f08204","{""object_id"":""OBJ-HUAWEI-ASCEND-950DT"",""vendor_id"":""VEN-HUAWEI"",""canonical_label"":""Huawei Ascend 950DT"",""object_type"":""package"",""curator_slug"":""huawei-ascend-950dt"",""review_status"":""reviewed"",""notes"":""M2 范围门导入；与 950PR 分开，截止日供货状态待核。""}","reviewed","The Ascend 950DT package object already exists and is outside the append write-set."
"BUNDLE-ASCEND950-GUARD-ASC950PR-DIE-RELATION","ASCEND950","3","GUARD-ASC950PR-DIE-RELATION","数据/object-relations.csv","object_relation_id","OREL-HUAWEI-950PR-CONTAINS-950-DIE","9bbe32227f7022a5f9e4fe379d805e60780c15d6987e5b20e3b94ac3241fa353","7633","b2176d614c21326903367b1d0be1c23495f88e0ff982ecb47f45277ba8c1d1af","{""object_relation_id"":""OREL-HUAWEI-950PR-CONTAINS-950-DIE"",""subject_object_id"":""OBJ-HUAWEI-ASCEND-950PR"",""relation_type"":""package_contains_die"",""object_object_id"":""OBJ-HUAWEI-ASCEND-950-DIE"",""relation_fingerprint"":""OBJ-HUAWEI-ASCEND-950PR|package_contains_die|OBJ-HUAWEI-ASCEND-950-DIE"",""review_status"":""reviewed"",""notes"":""M2 范围门关系；950PR 与 950DT 共享 Ascend 950 裸片。""}","reviewed","The pre-existing package_contains_die relation is not part of the write-set."
"BUNDLE-ASCEND950-GUARD-ASC950PR-OBJECT","ASCEND950","3","GUARD-ASC950PR-OBJECT","数据/objects.csv","object_id","OBJ-HUAWEI-ASCEND-950PR","54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7","16349","8fec57d3f4bac15a596825bfbd5c53050ac2124c9cc5b233891de42caf4479e1","{""object_id"":""OBJ-HUAWEI-ASCEND-950PR"",""vendor_id"":""VEN-HUAWEI"",""canonical_label"":""Huawei Ascend 950PR"",""object_type"":""package"",""curator_slug"":""huawei-ascend-950pr"",""review_status"":""reviewed"",""notes"":""M2 范围门导入；与 950DT 分开，独立供货状态需对象匹配证据。""}","reviewed","The Ascend 950PR package object already exists and is outside the append write-set."
