"relative_path","old_sha256","old_bytes","current_sha256","current_bytes","change_state"
"数据/card-completeness.csv","bc0c35e1dd5cc166cbfd65ea0f1fe5525c5340005e1005ab059e85061976f6cc","66107","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","74967","changed"
"数据/components.csv","b7d7e6ccaeefad98dd6b92724eba60390b06f2da66d820e6441e15b32485d380","38736","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","43819","changed"
"数据/condition-sets.csv","9bb6717de7c6a038674d563164e40cf94dfe1f1d923fe787339299e77a057ac5","49926","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","59126","changed"
"数据/derived-inputs.csv","96d13946334cecf0ba6ceff6cdc360869a837e8b2868d91ff4ce4af27ccc6a43","7537","96d13946334cecf0ba6ceff6cdc360869a837e8b2868d91ff4ce4af27ccc6a43","7537","unchanged"
"数据/derived-metrics.csv","7e33d6bf8e766e9ef9b318247035c660c0feca9d614bf4da5aa1817b94cfc6c9","7218","7e33d6bf8e766e9ef9b318247035c660c0feca9d614bf4da5aa1817b94cfc6c9","7218","unchanged"
"数据/enums.csv","5864354d6cd26237ff9495e23e0121feb6a7a665f37dcbd1b00b8646e3211474","63887","5864354d6cd26237ff9495e23e0121feb6a7a665f37dcbd1b00b8646e3211474","63887","unchanged"
"数据/facts.csv","55a75c496c304062371ce38e566ee839060ee0706259b0b6e24442fb70b9ae3d","250537","7886e76bac608e8cfd0131a15d93922596bb5a0d8b16508a696c7d91877c50ea","277845","changed"
"数据/field-requirements.csv","93c27127b6124331368e24ccec97c48620d2e85f08057d14d049d87edb91d347","273459","de19ee1e1a3beecdf3658d4c8b302e60d43eaaf9e58acfbd369388992eb9afb2","302574","changed"
"数据/fields.csv","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","25032","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","25032","unchanged"
"数据/links.csv","b3b55f4526bfdb9db5ecd848457d87ffc3fa27002d208a109924df40375d0a8d","7430","71dc144abeae14c1607c75ef060f0305aa910e05823159ce4dca1b5105e9b51e","8129","changed"
"数据/memory-levels.csv","5fb8e34f3d0a8be541310b1fd14bae4e73e36b3e7801544584edcf0eac36fbe1","10658","e1e6f95da738de7ae3c673ebd66707e2ddf13c411afd72c6383fd375697398fa","11348","changed"
"数据/object-relations.csv","9bbe32227f7022a5f9e4fe379d805e60780c15d6987e5b20e3b94ac3241fa353","7633","9bbe32227f7022a5f9e4fe379d805e60780c15d6987e5b20e3b94ac3241fa353","7633","unchanged"
"数据/objects.csv","54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7","16349","54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7","16349","unchanged"
"数据/precision-paths.csv","a57944459ff3bb927e5e8b08b119c65e633436dfc59b392f12810420eb2e75b4","20005","477cc547e061fd7fd2d418c38ee4c74eb56c17ec70df956666040fde04292431","23468","changed"
"数据/schema-columns.csv","4c756065e0fc3fba175b0abeb41699ec637224aa4e8a5c9e150ff60730ce9375","68873","4c756065e0fc3fba175b0abeb41699ec637224aa4e8a5c9e150ff60730ce9375","68873","unchanged"
"数据/special-capabilities.csv","ce59d773611e84a22f8f66a3fe78ac79fc6f655f1ca976da16ec0942c72bf59b","17292","ce59d773611e84a22f8f66a3fe78ac79fc6f655f1ca976da16ec0942c72bf59b","17292","unchanged"
"数据/topologies.csv","3002be526aba90d9c646b1fc00d1e63e1c495713c8ee165ef02f11949915c8d8","1105","3002be526aba90d9c646b1fc00d1e63e1c495713c8ee165ef02f11949915c8d8","1105","unchanged"
"数据/vendors.csv","10aaf2440ab727f2d887f0c72a1cb8397cc88aaccf8850d7cf8ca6c242efa156","588","10aaf2440ab727f2d887f0c72a1cb8397cc88aaccf8850d7cf8ca6c242efa156","588","unchanged"
"最小参考资料库/conflict-groups.csv","370f536b11f893b56fcdccbcc26a3151536a579586ed9ae20b7e2926c4595054","4975","3cd63920140e216d107af95b0138f17c2d5a7d37e425b278967b397d3ed7c0ce","6503","changed"
"最小参考资料库/conflict-members.csv","2969fa88cac48a50d6ddd663d22abc7b4888997887efbbfabea28d42d9f98d2d","4849","c5e002d1098e18d6d23e0fe4968b9672a138b651d10b5c666f3e8d36550ed642","6970","changed"
"最小参考资料库/fact-assertions.csv","be571472611c65a73ff526f77383631f0df61c70e0b3a57d2bfd6f65cbfb089e","311184","7066ed9c845dadb801047b9e4cbd2ea50f7af1c9f6d0836a9d5a5115d40fc92b","344531","changed"
"最小参考资料库/requirement-evidence.csv","8adb26e1df3e020d1a02ab3217b894b3c489a3ecfa030d186d3615c927c95b50","23331","8adb26e1df3e020d1a02ab3217b894b3c489a3ecfa030d186d3615c927c95b50","23331","unchanged"
"最小参考资料库/search-log.csv","8a15366bb59f960e318491b4f4ccb01887accbefbdf316a535fc07c7f30decca","104962","f7c501584f0b685b26aaaa913a9fd975e4d94474a9fac38b95d74fe0513bc23d","114039","changed"
