"manifest_row_id","member_role","relative_path","sha256","bytes"
"MI455X-REBASE-FREEZE-001","aws_postmerge_closure","审计/子代理交接/aws_formal_postmerge_signoff.csv","451b9814620cb7b048b6281f63d499f20fd7e932376b00a6dfa39c4261640c1a","1332"
"MI455X-REBASE-FREEZE-002","aws_authorized_write_set","审计/子代理交接/aws_post_field_rebase/aws-signoff-post-field-rebase.csv","b9fa74876dfa4769df99277359f5c0be7dff268a353964abf1d392eb3708e4e3","583266"
"MI455X-REBASE-FREEZE-003","prior_independent_review","审计/子代理交接/m2_final_review_mi455x.md","64d0255d39ff4f0e1b41a6b2d3c536415415dc69a0ea61653eac595b433cb785","7686"
"MI455X-REBASE-FREEZE-004","prior_exact_signoff","审计/子代理交接/m2_final_review_mi455x_signoff.csv","b57c0d283301df0793ad61b07f43d03c10c3bb34bd4334d48aa5976f744185fb","211156"
"MI455X-REBASE-FREEZE-005","rebase_evidence","审计/子代理交接/m2_mi455x_rebase/formal-32-current-baseline.csv","8387b90df93ac59cae5d24690161f5ab1b83af674261e3cf4755ff8eb65c2833","3709"
"MI455X-REBASE-FREEZE-006","rebase_evidence","审计/子代理交接/m2_mi455x_rebase/formal-32-current-baseline.json","7ff0be6c7c72f7aba85fe584a14ef9df11f72e17c84a40cb541e1c6b2933e4b1","8965"
"MI455X-REBASE-FREEZE-007","rebase_evidence","审计/子代理交接/m2_mi455x_rebase/formal-change-scope.csv","4016d4d84e3e03662628903f2fba83fdca38acbda3f47d1ff341b8a9028c83e9","6332"
"MI455X-REBASE-FREEZE-008","rebase_evidence","审计/子代理交接/m2_mi455x_rebase/Invoke-MI455X-RebaseValidation.ps1","8ea1b5f3961a9b509806dfdc3beaf67bb4afe94077b5b654142d7171a18b6c7f","12487"
"MI455X-REBASE-FREEZE-009","rebase_evidence","审计/子代理交接/m2_mi455x_rebase/m2_mi455x_rebase_signoff.csv","196863031761221d825309387c563553187b0ee23630002aeaeed57bbbd6084c","209683"
"MI455X-REBASE-FREEZE-010","rebase_evidence","审计/子代理交接/m2_mi455x_rebase/old-to-rebase-signoff-cell-audit.csv","eee2b16a5c3363223f689667d3302beacb943a2cd8a14f8be1a490b8bb002310","1366871"
"MI455X-REBASE-FREEZE-011","rebase_evidence","审计/子代理交接/m2_mi455x_rebase/old-to-rebase-signoff-cell-diff.csv","c5abb708772d90cd2e28a0db7f87c76ff5faf2890739b54c9bb3c3a0a2276a50","329245"
"MI455X-REBASE-FREEZE-012","rebase_evidence","审计/子代理交接/m2_mi455x_rebase/operator-error-log.csv","cddca052545d5bcde24b536ea0ef18cda18a201c53dd2ca5799569a43b27d1ee","3094"
"MI455X-REBASE-FREEZE-013","rebase_evidence","审计/子代理交接/m2_mi455x_rebase/pk-conflict-audit.csv","fbe98ff5c8f6f3d09296c09fbfb4c5206214f922030515b345a93511d19f7d7d","78651"
"MI455X-REBASE-FREEZE-014","rebase_evidence","审计/子代理交接/m2_mi455x_rebase/rebase-signoff-validation.json","5f0681018a85bfba618544ddf429061775f53931cba482e46400600a52d4132a","1137"
"MI455X-REBASE-FREEZE-015","rebase_evidence","审计/子代理交接/m2_mi455x_rebase/target-file-guard-audit.csv","af3cbda7e604aaac444dd79b34100f521f9fe9c0e8266110b5e727a4d0be6c15","1566"
"MI455X-REBASE-FREEZE-016","rebase_evidence","审计/子代理交接/m2_mi455x_rebase/temporary-merge-attempt-history.csv","474839c8f178646030af2ba67a194e470bf073918cdb33ca516d8150201da967","1237"
"MI455X-REBASE-FREEZE-017","rebase_evidence","审计/子代理交接/m2_mi455x_rebase/temporary-merge-fresh-pass.json","b05031d0eb9b6321a8d020cf1bd8b0311b4c7b71bd692bbea62f1a8dab8dca7e","1160"
"MI455X-REBASE-FREEZE-018","rebase_evidence","审计/子代理交接/m2_mi455x_rebase/temporary-validator-output.txt","aa8ecfdf3781422f5e1fb67a126fb2f5be5a8b22df9a430a615bb0c0dc0a1194","130"
"MI455X-REBASE-FREEZE-019","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/card-draft/AMD_Instinct_MI455X_模组资料卡.md","bb864ff8cddd2ef004883476ab0024b1c57234ebd278e94860b05421b97b185b","19920"
"MI455X-REBASE-FREEZE-020","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/fixed-candidates/amd-instinct-mi455x-2026-08-13.html","2fa27618862c42b0b9e6eed2e5c88c360e6eac2650d9fc97bae08c6338315b47","217833"
"MI455X-REBASE-FREEZE-021","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/fixed-candidates/amd-instinct-mi455x-brochure-2026-08-13.pdf","6555fef1399a35f472e325dc61936d293e129735ec1e191d5fd0f3b6fa0c4208","659374"
"MI455X-REBASE-FREEZE-022","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/handoff.md","af5dd8aab823522a0405e03a7211ca19ade0bc5dc3baf0eb1b01931f1060edb2","4689"
"MI455X-REBASE-FREEZE-023","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/object-scope.csv","bee9ca93ae4cd88683012fcac06ba052a2b40dc13fde470d234abad22cfcc991","1173"
"MI455X-REBASE-FREEZE-024","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/README.md","78cce070d8d62c03f2ae01fbe89f81ceb03979abba6d2f18ee0771c16f4a5673","4880"
"MI455X-REBASE-FREEZE-025","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/remediation-log.md","98d5247cef5bdbf82d7e06d70ea1303ae04aca796c4389ff26fba6c61aa5249f","5950"
"MI455X-REBASE-FREEZE-026","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/research-method-and-adversarial-check.md","10bbe25a30d17fcc416e86079ba0d473ef82802a7c7bc3778d453b965e642fdb","6114"
"MI455X-REBASE-FREEZE-027","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/source-and-fact-candidate-audit.md","c5ecf201a8ec787e73c21bfa37115653c48f445a9f593a90068aa7d4b9ccbffb","6280"
"MI455X-REBASE-FREEZE-028","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/source-freeze-register.csv","4b038c036c71e37437b7f20b87fa09b03a169db00a0ed92c5d13f960973be302","3992"
"MI455X-REBASE-FREEZE-029","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","cc683484036e9aa42321b5ce09166da03c36cb9c8b52495c075ad2b7fa376523","2876"
"MI455X-REBASE-FREEZE-030","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/components.csv","a95b02d9181f9fed3e6f3613eaa545ff5408093b279ea7340c4c0020c4f373af","1119"
"MI455X-REBASE-FREEZE-031","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/condition-sets.csv","144ce4b39ac757962cc917c1d5d071853d0a0a22be2fda626548806393b8ec5b","4103"
"MI455X-REBASE-FREEZE-032","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/derived-inputs.csv","20ebc78ec96bfb32e92ed90845ea56c349fdd9e79748c707ca1148e20bdae6ba","105"
"MI455X-REBASE-FREEZE-033","staging_frozen_member","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/derived-metrics.csv","ec2b1e084eb72d97bbac63a5b8cbb9d346507245bdbcd5b25e5fb3626a262d4e","182"
