"signoff_row_id","target_path","pk_column","pk_value","source_path","source_file_hash_match","source_bytes_match","source_pk_count","source_line_hash_match","current_formal_pk_count","aws_authorized_write_intersection_count","aws_matching_signoff_ids","formal_table_change_since_old_baseline","current_formal_table_sha256","result"
"MI455X-SIGN-0001","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-IDENTITY","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","yes","yes","1","yes","0","0","","changed","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","no_conflict"
"MI455X-SIGN-0002","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-PHYSICAL","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","yes","yes","1","yes","0","0","","changed","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","no_conflict"
"MI455X-SIGN-0003","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-COMPUTE","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","yes","yes","1","yes","0","0","","changed","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","no_conflict"
"MI455X-SIGN-0004","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-NUMERICS","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","yes","yes","1","yes","0","0","","changed","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","no_conflict"
"MI455X-SIGN-0005","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-MEMORY","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","yes","yes","1","yes","0","0","","changed","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","no_conflict"
"MI455X-SIGN-0006","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-INTERCONNECT","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","yes","yes","1","yes","0","0","","changed","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","no_conflict"
"MI455X-SIGN-0007","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-SPECIAL_ENGINES","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","yes","yes","1","yes","0","0","","changed","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","no_conflict"
"MI455X-SIGN-0008","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-SOFTWARE","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","yes","yes","1","yes","0","0","","changed","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","no_conflict"
"MI455X-SIGN-0009","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-EVIDENCE","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","yes","yes","1","yes","0","0","","changed","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","no_conflict"
"MI455X-SIGN-0010","数据/components.csv","component_id","COMP-M2W3-AMD-MI455X-WGP","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/components.csv","yes","yes","1","yes","0","0","","changed","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","no_conflict"
"MI455X-SIGN-0011","数据/components.csv","component_id","COMP-M2W3-AMD-MI455X-MATRIX","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/components.csv","yes","yes","1","yes","0","0","","changed","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","no_conflict"
"MI455X-SIGN-0012","数据/components.csv","component_id","COMP-M2W3-AMD-MI455X-VECTOR","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/components.csv","yes","yes","1","yes","0","0","","changed","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","no_conflict"
"MI455X-SIGN-0013","数据/components.csv","component_id","COMP-M2W3-AMD-MI455X-HBM4","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/components.csv","yes","yes","1","yes","0","0","","changed","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","no_conflict"
"MI455X-SIGN-0014","数据/components.csv","component_id","COMP-M2W3-AMD-MI455X-L2","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/components.csv","yes","yes","1","yes","0","0","","changed","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","no_conflict"
"MI455X-SIGN-0015","数据/condition-sets.csv","condition_set_id","COND-M2W3-AMD-MI455X-XCD-COUNT","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/condition-sets.csv","yes","yes","1","yes","0","0","","changed","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","no_conflict"
"MI455X-SIGN-0016","数据/condition-sets.csv","condition_set_id","COND-M2W3-AMD-MI455X-IOD-COUNT","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/condition-sets.csv","yes","yes","1","yes","0","0","","changed","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","no_conflict"
"MI455X-SIGN-0017","数据/condition-sets.csv","condition_set_id","COND-M2W3-AMD-MI455X-PEAK-MATRIX-SPARSITY-UNSPEC","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/condition-sets.csv","yes","yes","1","yes","0","0","","changed","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","no_conflict"
"MI455X-SIGN-0018","数据/condition-sets.csv","condition_set_id","COND-M2W3-AMD-MI455X-PEAK-MATRIX-BASE","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/condition-sets.csv","yes","yes","1","yes","0","0","","changed","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","no_conflict"
"MI455X-SIGN-0019","数据/condition-sets.csv","condition_set_id","COND-M2W3-AMD-MI455X-PEAK-MATRIX-STRUCTURED","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/condition-sets.csv","yes","yes","1","yes","0","0","","changed","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","no_conflict"
"MI455X-SIGN-0020","数据/condition-sets.csv","condition_set_id","COND-M2W3-AMD-MI455X-PEAK-VECTOR","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/condition-sets.csv","yes","yes","1","yes","0","0","","changed","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","no_conflict"
"MI455X-SIGN-0021","数据/condition-sets.csv","condition_set_id","COND-M2W3-AMD-MI455X-HBM4-PEAK-BW","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/condition-sets.csv","yes","yes","1","yes","0","0","","changed","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","no_conflict"
