"check_id","status","details"
"bundle_freeze","passed","manifest=75; manifest_sha=efdb763a24c0e97fd483735bba5d68dd01f0768553f963988436efa933ebbaba; aggregate=958e1b5106b6c42ae116fe643b3b8ec63a190cc20951654380d86c45a2ad332f; actual_files=77"
"core_scripts","passed","executor=a0c44ca7...; preflight=f468031d...; rehearsal=a4276f4b..."
"formal_baseline","passed","tables=32; aggregate=f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10"
"bundle_shape","passed","1057 unique PKs; 15 payloads; 20 tables; 11 guards; cross-package intersections=0"
"candidate_contract","passed","posthash_rows=20; aggregate=5f62191bfc737535802cd6e0524b1fdf7a742ca36300db11b5a9233d4540052a; checks=125619"
"upstream_MI455X","passed","data_rows=245; data_sha=196863031761221d825309387c563553187b0ee23630002aeaeed57bbbd6084c; tx_sha=f4b27f7c64dde754431872720f270dbccbc975ee39db9487f3403e8c229049ea; prep_aggregate=dc0a476e4d155df21bcb9a2f9c3bbec43060f027da129ef235b58150b802b23c"
"upstream_MI350P","passed","data_rows=274; data_sha=74ac69c299f5ce817c03236ef97df4e13f08f2d6724bb1c0178376661be5dad1; tx_sha=788beb80ca67c6dbf84a4ef949247bbe161240a028206151fbf0d7189104eaf3; prep_aggregate=e7138b42baee6b2d138cb5d8f31593c4f6c62319fa16688e866b840d2e419949"
"upstream_ASCEND950","passed","data_rows=553; data_sha=0f59aa2fd893473eb1002d44816e16ace6b204259ac94e802b5f00774ea0cbd5; tx_sha=b40f064127a7ac2c5e8de9b4728501381974b661373e9cf5c2dd46954dde2394; prep_aggregate=a83dc6f86c06dc44daa70a76525f2ea2dc3e4047eca1e3b15bea09245f42d418"
"bundle_authorization_template","passed","scope exact; token hash bound; prep template remains pending/false"
"prep_journals","passed","positive=72 rows; r3=14 rows reverse restore; r2=90 rows payload-first and reverse restore"
"prep_negative_gates","passed","12/12 fail-closed gates passed including missing/wrong transaction signoff for each package"
"formal_staticity","passed","formal aggregate=f152; payload targets present=0; transaction temp/lock artifacts=0; formal writes observed=0"
