"condition_set_id","condition_fingerprint","precision_path_id","sparsity_mode","sparsity_pattern","operation_type","operation_count_rule","performance_basis","support_level","power_mode","frequency_value","frequency_unit","software_version","workload_stage","bandwidth_direction","aggregation_scope","traffic_basis","measurement_scope","effective_date","review_status","notes"
"COND-M2W2-AWS-INF1-CHIP-INT8","CFP-COND-M2W2-AWS-INF1-CHIP-INT8","PP-M2W2-AWS-INF1-CHIP-INT8","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron 2.31.0","","","","","per_object","","draft","单芯片 INT8 厂商峰值，运算计数规则未说明。"
"COND-M2W2-AWS-INF1-CHIP-FP","CFP-COND-M2W2-AWS-INF1-CHIP-FP","PP-M2W2-AWS-INF1-CHIP-FP16BF16","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron 2.31.0","","","","","per_object","","draft","单芯片 FP16/BF16 组合峰值。"
"COND-M2W2-AWS-INF1-CORE-FP","CFP-COND-M2W2-AWS-INF1-CORE-FP","PP-M2W2-AWS-INF1-NCV1-FP16BF16","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron 2.9.1","","","","","per_component","","draft","每 NCv1 Tensor Engine；同句未给频率。"
"COND-M2W2-AWS-INF1-CORE-VECTOR","CFP-COND-M2W2-AWS-INF1-CORE-VECTOR","PP-M2W2-AWS-INF1-NCV1-VECTOR-GENERIC-FLOAT","not_applicable","","vector_alu","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron 2.9.1","","","","","per_component","","draft","每 NCv1 Vector Engine 的 floating operations/cycle。"
"COND-M2W2-AWS-INF1-CORE-SCALAR","CFP-COND-M2W2-AWS-INF1-CORE-SCALAR","PP-M2W2-AWS-INF1-NCV1-SCALAR-GENERIC-FLOAT","not_applicable","","scalar_alu","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron 2.9.1","","","","","per_component","","draft","每 NCv1 Scalar Engine 的 floating operations/cycle。"
"COND-M2W2-AWS-INF1-DEVICE-BW","CFP-COND-M2W2-AWS-INF1-DEVICE-BW","","not_applicable","","data_move","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron 2.31.0","","direction_not_specified","per_endpoint","vendor_nameplate","per_object","","draft","单芯片设备 DRAM；方向未说明。"
"COND-M2W2-AWS-TRN1-CHIP-INT8","CFP-COND-M2W2-AWS-TRN1-CHIP-INT8","PP-M2W2-AWS-TRN1-CHIP-INT8","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron 2.26.1","","","","","per_object","","draft","单芯片 INT8 厂商峰值。"
"COND-M2W2-AWS-TRN1-CHIP-MIXED","CFP-COND-M2W2-AWS-TRN1-CHIP-MIXED","PP-M2W2-AWS-TRN1-CHIP-MIXED","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron 2.26.1","","","","","per_object","","draft","单芯片 FP16/BF16/cFP8/TF32 组合峰值。"
"COND-M2W2-AWS-TRN1-CHIP-FP32","CFP-COND-M2W2-AWS-TRN1-CHIP-FP32","PP-M2W2-AWS-TRN1-CHIP-FP32","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron 2.26.1","","","","","per_object","","draft","单芯片 FP32 厂商峰值。"
"COND-M2W2-AWS-TRN1-DEVICE-BW","CFP-COND-M2W2-AWS-TRN1-DEVICE-BW","","not_applicable","","data_move","not_specified","theoretical_peak","hardware_peak_published","","","","","","direction_not_specified","per_endpoint","vendor_nameplate","per_object","","draft","单芯片 HBM；820 GiB/s 与 820 GB/s 共用相同对象条件。"
"COND-M2W2-AWS-TRN1-DMA-BW","CFP-COND-M2W2-AWS-TRN1-DMA-BW","","not_applicable","","data_move","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron 2.26.1","","direction_not_specified","per_endpoint","vendor_nameplate","per_object","","draft","单芯片 DMA 聚合带宽；方向未说明。"
"COND-M2W2-AWS-INF2-CHIP-INT8","CFP-COND-M2W2-AWS-INF2-CHIP-INT8","PP-M2W2-AWS-INF2-CHIP-INT8","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron 2.29.1","","","","","per_object","","draft","单芯片 INT8 厂商峰值。"
"COND-M2W2-AWS-INF2-CHIP-MIXED","CFP-COND-M2W2-AWS-INF2-CHIP-MIXED","PP-M2W2-AWS-INF2-CHIP-MIXED","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron 2.29.1","","","","","per_object","","draft","单芯片 FP16/BF16/cFP8/TF32 组合峰值。"
"COND-M2W2-AWS-INF2-CHIP-FP32","CFP-COND-M2W2-AWS-INF2-CHIP-FP32","PP-M2W2-AWS-INF2-CHIP-FP32","dense","","matrix_multiply","not_specified","theoretical_peak","hardware_peak_published","","","","Neuron 2.29.1","","","","","per_object","","draft","单芯片 FP32 厂商峰值。"
