"error_id","phase","classification","symptom","impact","resolution","superseding_evidence","formal_root_impact","approval_or_sandbox"
"ASC950-TXN-PREP-ERR-001","rule_preflight","model_operator_mistake","PowerShell foreach statement was piped directly into Format-Table and produced EmptyPipeElement.","Read-only skill-file statistic command failed before any write.","Re-ran by assigning foreach results to a variable before the pipeline.","Subsequent file statistics completed successfully.","none","none"
"ASC950-TXN-PREP-ERR-002","static_contract_edit","model_operator_mistake","An exact multiline replacement did not match the copied template.","The edit command threw before writing the target script.","Used explicit start and end markers for the bounded replacement.","Static-contract script later passed 14,742 checks.","none","none"
"ASC950-TXN-PREP-ERR-003","static_contract_execution","implementation_error","Windows PowerShell 5.1 decoded a Chinese-path script written as UTF-8 without BOM using the legacy code page, causing cascading parse errors.","Static-contract execution stopped before writing contract outputs.","Persisted all Chinese-path transaction scripts as UTF-8 with BOM and parsed them with Windows PowerShell 5.1.","Windows PowerShell parse passed; static contract passed 14,742 checks.","none","none"
"ASC950-TXN-PREP-ERR-004","candidate_script_verification","model_operator_mistake","A no-match text search returned exit code 1 and made an otherwise successful script-copy verification appear failed.","No file or validation result was invalidated.","Verified the file separately and treated zero matches as the intended result.","Candidate script parsed and later produced a passing oracle.","none","none"
"ASC950-TXN-PREP-ERR-005","candidate_oracle","implementation_error","The first lifecycle-authorized candidate passed validation with 115,509 checks rather than the 115,461 checks bound to the draft-state staging rehearsal.","Oracle stopped at the check-count hard gate and deleted its temporary candidate.","Audited the validator: reviewed lifecycle adds 41 fact-evidence checks plus 7 reviewed-selection-run checks. Kept the upstream 115,461 binding as the staging result and froze 115,509 as the authorized transaction candidate result.","Two consecutive oracle runs passed at 115,509 with aggregate bcb16e932019c1625e9b5a5309a37f569c0bb230b7c921a589dd3f7175632b8c.","none","none"
"ASC950-TXN-PREP-ERR-006","positive_rehearsal_assertion","implementation_error","The first positive rehearsal was incorrectly required to have rollback paths equal to the reverse of its committed paths, even though a successful scenario has no rollback entries.","The isolated mirror transaction succeeded, then the outer rehearsal assertion failed.","Positive mode now requires zero rollback records; only injected-failure modes compare rollback order with the reverse commit order.","Positive, three-table failure, and two-payload failure rehearsals all passed; formal root stayed f152.","none","none"
"ASC950-TXN-PREP-ERR-007","document_humanization","model_operator_mistake","A redundant no-op replacement precondition did not match the README text.","The edit command threw before writing README.md.","Removed the irrelevant replacement and reran the bounded terminology edits.","README.md was rewritten once, read back as UTF-8, and passed the report-humanizer scan.","none","none"
"ASC950-TXN-PREP-ERR-008","document_humanization","model_operator_mistake","A later exact replacement looked for text already changed in memory by an earlier broader replacement.","The edit command threw before writing EXECUTION-ROLLBACK.md.","Removed the overlapping replacement and reran the bounded terminology edits.","EXECUTION-ROLLBACK.md was rewritten once, read back as UTF-8, and passed the report-humanizer scan.","none","none"
"ASC950-TXN-PREP-ERR-009","final_preflight_refresh","model_operator_mistake","The preflight script was invoked with an unsupported RootPath parameter.","The read-only preflight stopped before checking files and its log was replaced with the failure output.","Read the script parameter contract and reran with SourceRoot, TargetRoot, and WorkRoot.","Fresh strict preflight passed 21,385 checks and the final log now contains the passing run.","none","none"
"ASC950-TXN-PREP-ERR-010","final_preflight_refresh","model_operator_mistake","SourceRoot was first pointed at the staging package rather than the project root expected by the preflight contract.","The read-only preflight stopped on a missing project-relative table and its log was replaced with the failure output.","Set both SourceRoot and TargetRoot to the formal project root, with WorkRoot pointing at this package.","Fresh strict preflight passed 21,385 checks and confirmed the target remains at f152.","none","none"
"ASC950-TXN-PREP-ERR-011","freeze_validation","model_operator_mistake","The first freeze recomputation used the staging aggregate formula relative_path|sha256|bytes for the formal 32-table aggregate, whose contract is relative_path|sha256.","The freeze command stopped before writing freeze-validation.json.","Read the formal preflight aggregate function and changed the recomputation to the signed formal formula.","The corrected recomputation returned the f152 formal aggregate.","none","none"
"ASC950-TXN-PREP-ERR-012","freeze_validation","model_operator_mistake","A single-row Import-Csv result was not explicitly wrapped as an array, so its Count test was not reliable in Windows PowerShell 5.1.","The freeze command stopped before writing freeze-validation.json.","Wrapped the independent-review template result in an explicit array before testing its one-row pending state.","The corrected freeze validation passed with PENDING_DIFFERENT_AGENT, pending, and false unchanged.","none","none"
