"relative_path","bytes","sha256"
"数据/card-completeness.csv","13600","675d6924d5a1436c42d9a71450d43bcb500b871f0a7e3c8832113818b05abd4d"
"数据/components.csv","11470","d331ca3d9b032e4b5a3f51af314b8eadcb734aece3382e82970993c913638029"
"数据/condition-sets.csv","40663","ab8bce6906230873555fc0963c0dba2cbd3e2ca3c885ddac00c37c6004725c89"
"数据/derived-inputs.csv","7202","ff25fefed76b967c444fcd77e12bf49a5aef831859dabefd44eeb09f4b9db332"
"数据/derived-metrics.csv","6819","70fdac4730bf2a2ae238f4c29fddef35d2b3f74d432972bc098b15763b209cb9"
"数据/enums.csv","63887","5864354d6cd26237ff9495e23e0121feb6a7a665f37dcbd1b00b8646e3211474"
"数据/facts.csv","113711","6bf23d9b2f725ec597aac8c0d426131c674687c628d1dbdfd02d20f31d38b7af"
"数据/field-requirements.csv","101614","8b7421768dbc47450b830475ab5532306ab451aa8521f6d1a7699f257eb02408"
"数据/fields.csv","23396","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae"
"数据/links.csv","2500","19d53cfa82e3ac51b410803f6482fb2bcaeb8156516bb9762e042791b21f5c34"
"数据/memory-levels.csv","2080","8103967b4fc2badba147839c09dce12b7eb3d9c89d877cac897e060cc5340d36"
"数据/object-relations.csv","5334","56db950a6ff28f69a4803bcbf91ee156c3f7019ac76bb520d8ba669d70cf1a4d"
"数据/objects.csv","14201","31b295e227ac0d4e565984f2a7988048c4c2d8b650734ca7256cce1a5e45717c"
"数据/precision-paths.csv","8020","9727f1878c6ec50579e9a3ec8339047bd69b9c324d80db47866ad1b2a3653cb0"
"数据/schema-columns.csv","68583","85129e57f6ab927cac43ca820d7b8df6558516f956bb1525ffca615f66654a6b"
"数据/special-capabilities.csv","6244","ffec509e6d5ea0c47e87a207516ebd5c50843ec1ae273d549645233eedc51b26"
"数据/topologies.csv","778","2e6ff67fc379a7c57d73098dfb953379ae24647a790567ff1d859e825d2042b9"
"数据/vendors.csv","588","10aaf2440ab727f2d887f0c72a1cb8397cc88aaccf8850d7cf8ca6c242efa156"
"最小参考资料库/conflict-groups.csv","8185","a4323d659716a5aec1fc678bdc9d2db42858224ce5da2a3b38e1e927f71ddaed"
"最小参考资料库/conflict-members.csv","8366","34c3d8a6fd34c8d4a481fd4198c271e1c7180bff59fec74e920a90755d2f2409"
"最小参考资料库/fact-assertions.csv","111049","5d0b8671480f1265ec06e14d116e0df3494c29a9b848bcd878bc3e3b267c0156"
"最小参考资料库/requirement-evidence.csv","6277","d38447599f6cb3a95456b734c6f3797956a814d34b4bb2251def460d73fc9e91"
"最小参考资料库/search-log.csv","49016","a7b2ef73d790efa907faac2dce1ca1ce563c2e649bc43026b5b2bb51254ddaa1"
"最小参考资料库/search-results.csv","16155","ef89754e18ca660bada184cb64c46620802ff684ca3b4743cecf3807c81207e4"
"最小参考资料库/selection-members.csv","10358","60e48eeaf796a59815644587f40abca537ff986f56299eb5e4e06c4a99bf13e6"
"最小参考资料库/selection-runs.csv","827","e84f9bd62bffb497a483ed5ee745afea02073c2201132113f62596b80676100b"
"最小参考资料库/source-coverage.csv","3126","a9ac80679c772afbc071fb9c43c374f7a7b4bce4a0d7a5edf5c1ae79c38f0546"
"最小参考资料库/source-endpoints.csv","21494","94ca3c230c7ed7ad4f0de5d3e6d7aa79503c03dde330e11ed3a12aa3f5fcddce"
"最小参考资料库/source-families.csv","5848","fbb156d31af8a04c0e7b311e414e24e27343019c798b881b6c23f4586e59f0a7"
"最小参考资料库/sources.csv","14454","674a8967568a6a20053f742e2483935e8184d99f0d698e94c72bf99a4e5b1509"
"最小参考资料库/source-screening.csv","10954","81c0985709d4535959eb017fcfe413fc9db9c6bf9db2d916b200824b59f978e7"
"最小参考资料库/source-selected-roles.csv","5892","cabd5100224eadc01a861e111aed1ecf5e2bbd2a36ac83feb93308cdd270e9f4"
