"target_table","operation","primary_key","rationale","dependency_group","risk_level","fragment_file"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/cuda-c-programming-guide-11.0.pdf","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/concepts.html","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/deployment-considerations.html","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/getting-started-with-mig.html","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/introduction.html","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/supported-configurations.html","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/supported-gpus.html","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/supported-mig-profiles.html","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/versions1.json","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/virtualization.html","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/nvidia-gpu-mem-error-mgmt-DA-09826-002_v001.pdf","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/ptx-isa-7.0.pdf","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/ptx-isa-7.2.pdf","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/ras-r595-contained-uce-response.html","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
"payload_files","insert","最小参考资料库/快照/NVIDIA/GA100/ras-r595-dynamic-page-offlining.html","Copy fixed staged payload to the stable snapshot target and verify SHA-256 and byte count before endpoint insertion.","01_payload","high","payload_copies.csv"
