"capability_id","owner_object_id","component_id","capability_type","canonical_label","review_status","notes"
"CAP-M2NA-AMPERE-SPARSE","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-TENSOR","sparse_skip","Ampere structured sparse MMA acceleration","draft","Metadata-directed sparse MMA capability. Pattern is datatype-specific and recorded in precision-path conditions. Hardware does not discover nonzero weights at runtime. Modified lifecycle remains draft until formal merge review and hard gates."
"CAP-R1-GA100-AMPERE-WARP-REDUCE","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-SM","reduction","Ampere warp-wide reduction instruction","draft","Architecture capability reused by GA100 through OREL-NVIDIA-GA100-IMPLEMENTS-AMPERE. It is not network collective offload or a Softmax unit."
"CAP-R1-GA100-GAP-ATTENTION-MOVE","OBJ-NVIDIA-GA100-DIE","","attention_data_move","Dedicated GA100 Attention data movement evidence target","needs_resolution","Structural coverage target only. This row does not assert that a public module, instruction, or engine exists. Requirement and search records carry the gap decision."
"CAP-R1-GA100-GAP-COLLECTIVE","OBJ-NVIDIA-GA100-DIE","","collective_offload","Dedicated GA100 collective offload evidence target","needs_resolution","Structural coverage target only. This row does not assert that a public module, instruction, or engine exists. Requirement and search records carry the gap decision."
"CAP-R1-GA100-GAP-COMPRESSION","OBJ-NVIDIA-GA100-DIE","","compression","Dedicated GA100 compression evidence target","needs_resolution","Structural coverage target only. This row does not assert that a public module, instruction, or engine exists. Requirement and search records carry the gap decision."
"CAP-R1-GA100-GAP-DEQUANTIZE","OBJ-NVIDIA-GA100-DIE","","dequantize","Dedicated GA100 dequantization evidence target","needs_resolution","Structural coverage target only. This row does not assert that a public module, instruction, or engine exists. Requirement and search records carry the gap decision."
"CAP-R1-GA100-GAP-KV-CACHE","OBJ-NVIDIA-GA100-DIE","","kv_cache_management","Dedicated GA100 KV cache management evidence target","needs_resolution","Structural coverage target only. This row does not assert that a public module, instruction, or engine exists. Requirement and search records carry the gap decision."
"CAP-R1-GA100-GAP-MOE-DISPATCH","OBJ-NVIDIA-GA100-DIE","","moe_dispatch","Dedicated GA100 MoE dispatch evidence target","needs_resolution","Structural coverage target only. This row does not assert that a public module, instruction, or engine exists. Requirement and search records carry the gap decision."
"CAP-R1-GA100-GAP-MOE-ROUTE","OBJ-NVIDIA-GA100-DIE","","moe_route","Dedicated GA100 MoE routing evidence target","needs_resolution","Structural coverage target only. This row does not assert that a public module, instruction, or engine exists. Requirement and search records carry the gap decision."
"CAP-R1-GA100-GAP-QUANTIZE","OBJ-NVIDIA-GA100-DIE","","quantize","Dedicated GA100 quantization evidence target","needs_resolution","Structural coverage target only. This row does not assert that a public module, instruction, or engine exists. Requirement and search records carry the gap decision."
"CAP-R1-GA100-GAP-SOFTMAX","OBJ-NVIDIA-GA100-DIE","","softmax","Dedicated GA100 Softmax evidence target","needs_resolution","Structural coverage target only. This row does not assert that a public module, instruction, or engine exists. Requirement and search records carry the gap decision."
"CAP-R1-GA100-GAP-TOPK","OBJ-NVIDIA-GA100-DIE","","top_k","Dedicated GA100 Top-k evidence target","needs_resolution","Structural coverage target only. This row does not assert that a public module, instruction, or engine exists. Requirement and search records carry the gap decision."
"CAP-R1-GA100-GAP-TRANSPOSE","OBJ-NVIDIA-GA100-DIE","","transpose_permute","Dedicated GA100 transpose or permute evidence target","needs_resolution","Structural coverage target only. This row does not assert that a public module, instruction, or engine exists. Requirement and search records carry the gap decision."
"CAP-R1-GA100-OFA","OBJ-NVIDIA-GA100-DIE","COMP-R1-GA100-OFA","other","GA100 optical-flow and stereo-disparity acceleration","draft","Published GA100 hardware capability."
"CAP-R1-GA100-VIDEO-DECODE","OBJ-NVIDIA-GA100-DIE","COMP-R1-GA100-VIDEO-DECODE","media_processing","GA100 hardware video decode","draft","Published GA100 hardware format support. No unit count or throughput."
