"payload_id","source_path","target_path","sha256","byte_count","endpoint_id","notes"
"PAYLOAD-END-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001-LOCAL","审计/子代理交接/r1_ga100_source_staging/downloads/nvidia-gpu-mem-error-mgmt-DA-09826-002_v001.pdf","最小参考资料库/快照/NVIDIA/GA100/nvidia-gpu-mem-error-mgmt-DA-09826-002_v001.pdf","5d484fe6ce3b577cfbdd378ebf6b3cf3eb18cedc0ec99ec557832bad424306d4","352370","END-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001-LOCAL","Copy during the formal transaction. Do not move or delete the staged source before union validation."
"PAYLOAD-END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-SUPPORTED","审计/子代理交接/r1_ga100_source_staging/downloads/ras-r595-supported-gpus.html","最小参考资料库/快照/NVIDIA/GA100/ras-r595-supported-gpus.html","4813fafec19b1508358bc0aedfcbd212e0f4695770a39fa0b3b75f1e8fc7c44f","16575","END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-SUPPORTED","Copy during the formal transaction. Do not move or delete the staged source before union validation."
"PAYLOAD-END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-CONTAINMENT","审计/子代理交接/r1_ga100_source_staging/downloads/ras-r595-error-containment.html","最小参考资料库/快照/NVIDIA/GA100/ras-r595-error-containment.html","d50618920ae48febbf894af8aa4455d6af541e794a8068996ca6d44980bbfbd5","16326","END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-CONTAINMENT","Copy during the formal transaction. Do not move or delete the staged source before union validation."
"PAYLOAD-END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-DPO","审计/子代理交接/r1_ga100_source_staging/downloads/ras-r595-dynamic-page-offlining.html","最小参考资料库/快照/NVIDIA/GA100/ras-r595-dynamic-page-offlining.html","39e16e20f234e40f666a4d79a8acc2bd28eae06a8fc577cbe523c06bcff2d4e3","16144","END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-DPO","Copy during the formal transaction. Do not move or delete the staged source before union validation."
"PAYLOAD-END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-ROW-REMAP","审计/子代理交接/r1_ga100_source_staging/downloads/ras-r595-row-remapping.html","最小参考资料库/快照/NVIDIA/GA100/ras-r595-row-remapping.html","7473e17f6c97e8d9d616faf72efdf41cc142e47216a7d5278fa8651b93fbd7f6","17904","END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-ROW-REMAP","Copy during the formal transaction. Do not move or delete the staged source before union validation."
"PAYLOAD-END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-CONTAINED-UCE-RESPONSE","审计/子代理交接/r1_ga100_source_staging/downloads/ras-r595-contained-uce-response.html","最小参考资料库/快照/NVIDIA/GA100/ras-r595-contained-uce-response.html","cab5cfc6c98e76b24e5320cb0d323e7e103b97776a04e442ae8eeaf622bc9704","17041","END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-CONTAINED-UCE-RESPONSE","Copy during the formal transaction. Do not move or delete the staged source before union validation."
"PAYLOAD-END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-REPAIR","审计/子代理交接/r1_ga100_source_staging/downloads/ras-r595-gpu-memory-repair.html","最小参考资料库/快照/NVIDIA/GA100/ras-r595-gpu-memory-repair.html","9a44db8d6ab692c7fd1833e05cc42ee45a8012d75c3479a4d8917955cef03389","17169","END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-REPAIR","Copy during the formal transaction. Do not move or delete the staged source before union validation."
"PAYLOAD-END-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0-LOCAL","审计/子代理交接/r1_ga100_source_staging/downloads/cuda-c-programming-guide-11.0.pdf","最小参考资料库/快照/NVIDIA/GA100/cuda-c-programming-guide-11.0.pdf","af4235e08e4ebb0f7651896db7ed05344f5e4ae6e9ce5da3cba3bc5ec6c69174","4252150","END-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0-LOCAL","Copy during the formal transaction. Do not move or delete the staged source before union validation."
"PAYLOAD-END-NVIDIA-PTX-ISA-7-0-LOCAL","审计/子代理交接/r1_ga100_source_staging/downloads/ptx-isa-7.0.pdf","最小参考资料库/快照/NVIDIA/GA100/ptx-isa-7.0.pdf","a79f4e074eb8f03314025c690ec51fbb79231e35bde612a60d50f4f8ec31f924","4107461","END-NVIDIA-PTX-ISA-7-0-LOCAL","Copy during the formal transaction. Do not move or delete the staged source before union validation."
"PAYLOAD-END-NVIDIA-PTX-ISA-7-2-LOCAL","审计/子代理交接/r1_ga100_source_staging/downloads/ptx-isa-7.2.pdf","最小参考资料库/快照/NVIDIA/GA100/ptx-isa-7.2.pdf","9a89c6817d1fd0d3b6357aaf71fbf3c29d08d9c4e12b5eaa6c851297b7d18b97","3931305","END-NVIDIA-PTX-ISA-7-2-LOCAL","Copy during the formal transaction. Do not move or delete the staged source before union validation."
