"event_id","stage","classification","symptom","impact","correction","status","approval_or_sandbox"
"MI455X-TXN-REVIEW-ERR-01","independent_static_fixture","model_operator_mistake","The first temporary-root fixture copied all 61 rebase-freeze members but omitted rebase-freeze-manifest.csv itself, which the builder reads directly.","The builder stopped after writing only a temporary formal-32-baseline.csv inside the review directory. Prep, staging, and the formal root were unchanged.","Copy the separately bound rebase-freeze-manifest.csv into the temporary mirror and rerun the static builder from the same isolated root.","closed","not_applicable"
"MI455X-TXN-REVIEW-ERR-02","positive_rehearsal_attempt_01","model_operator_mistake","The first rehearsal copy was placed under a long review path; Windows PowerShell could not copy a deeply nested registered endpoint into the mirror and raised DirectoryNotFoundException.","The scenario stopped during mirror seeding before the transaction executor started. Prep, staging, and the formal root were unchanged.","Run the exact frozen package through a temporary short drive mapping that points to the review-owned package copy, and remove the mapping after each scenario.","closed","not_applicable"
"MI455X-TXN-REVIEW-ERR-03","independent_journal_audit_attempt_01","model_operator_mistake","The ValidatorChecks helper omitted a space between return and the integer cast, so PowerShell treated return[int] as a command.","The first derived scenario audit falsely marked all three scenarios failed. Original journals, outcomes, prep, staging, and the formal root were unchanged.","Correct the helper to return ([int]...), then rebuild and replace both derived audit files from the original scenario evidence.","closed","not_applicable"
"MI455X-TXN-REVIEW-ERR-04","independent_journal_audit_attempt_02","model_operator_mistake","The derived order comparator treated two empty rollback sequences as unequal in the positive scenario.","Only the derived positive scenario status was false; the 46-row journal, validators, outcome, and formal baseline evidence were correct and unchanged.","Define the zero-versus-zero case explicitly as equal, then rebuild and replace the scenario audit from the frozen copies.","closed","not_applicable"
"MI455X-TXN-REVIEW-ERR-05","independent_journal_audit_attempt_03","model_operator_mistake","The generic empty-array equality helper still received unrolled empty arguments and returned false for the positive scenario rollback columns.","The replacement derived audit again left only the positive row falsely failed; primary scenario evidence and formal data were unchanged.","For expected zero rollback counts, validate the observed count directly; use ordered sequence comparison only for non-empty rollback sequences.","closed","not_applicable"
"MI455X-TXN-REVIEW-ERR-06","negative_gate_evidence_readback","model_operator_mistake","A read-only display command constructed the negative-gates summary filename incorrectly and requested a nonexistent path.","Only that display command returned exit code 1 after the six gate rows had already been shown. The gate suite, copied evidence, prep, staging, and formal root were unchanged.","Read the explicit negative-gates-summary.json path and continue the independent audit without rerunning the gate suite.","closed","not_applicable"
"MI455X-TXN-REVIEW-ERR-07","temporary_mirror_cleanup_attempt_01","tool_runtime_failure","Windows PowerShell Remove-Item could not traverse several long residual mirror paths and left part of the review-owned temporary package copy.","Cleanup was incomplete only under the independent review temporary directory. Persistent evidence, prep, staging, and the formal root were unchanged.","Use a short drive mapping to the already validated review-owned temporary root, remove its explicit package-copy child, unmap the drive, and remove the now-empty temporary root.","closed","not_applicable"
"MI455X-TXN-REVIEW-ERR-08","temporary_mirror_cleanup_attempt_02","model_operator_mistake","The first short-drive cleanup attempt queried subst with an unsupported drive argument and therefore rejected a valid mapping before deletion.","The command reached its finally block, removed the mapping, and did not delete anything. Prep, staging, and the formal root were unchanged.","Verify the mapping from the complete subst listing, then remove the explicit Z:\package-copy child and the validated empty temporary root.","closed","not_applicable"
"MI455X-TXN-REVIEW-ERR-09","formal_backup_contract_readback","model_operator_mistake","An overbroad read-only rg pipeline was truncated and returned a nonzero status while searching the frozen preparation documentation.","The command made no file changes and did not affect prep, staging, formal data, or any transaction evidence.","Read the exact execution contract and backup template with explicit file paths; confirm 23 rows and 23 unique relative paths.","closed","not_applicable"
"MI455X-TXN-REVIEW-ERR-10","final_document_event_count_update","model_operator_mistake","A PowerShell foreach statement omitted required whitespace around the in keyword and failed to parse.","The parser stopped before either report file was opened, so no file changed.","Use valid PowerShell foreach syntax and verify both report files immediately after the replacement.","closed","not_applicable"
"MI455X-TXN-REVIEW-ERR-11","final_closure_check_attempt_01","model_operator_mistake","The first closure helper added an ad-hoc package aggregate re-serialization to an already verified contract and its compound condition failed before writing the closure artifact.","The command was read-only until the failed condition and wrote no closure file. Prep, staging, formal data, and persistent evidence were unchanged.","Use the frozen aggregate verification already recorded in baseline-freeze-summary.json, retain the fresh 67-member hash and byte audit, and check only the established invariants.","closed","not_applicable"
