"relative_path","role","in_aggregate","expected_sha256","actual_sha256","expected_bytes","actual_bytes","hash_match","bytes_match"
"authorized-write-set.csv","transaction_contract_or_inventory","true","c011bd0b95cbd23a2bfe240d1a31a5011ad806c84db273d74561e9859c39d588","c011bd0b95cbd23a2bfe240d1a31a5011ad806c84db273d74561e9859c39d588","140847","140847","true","true"
"backup-rollback-inventory.csv","transaction_contract_or_inventory","true","881dbfcf2e26c9c44d2effdc150552a2e47fa29bf9865e3b073acec29e2ad198","881dbfcf2e26c9c44d2effdc150552a2e47fa29bf9865e3b073acec29e2ad198","3925","3925","true","true"
"candidate-oracle-summary.json","validation_summary","true","2ab7123d15e0d158574a41b26783cfed5ee8d8d17a56f730f87bcb66998ca8ca","2ab7123d15e0d158574a41b26783cfed5ee8d8d17a56f730f87bcb66998ca8ca","680","680","true","true"
"EXECUTION-ROLLBACK.md","human_readable_contract","true","fb32367266f9ae88c0d069d0bc97987a19f90252b631c298d152bdd5ff10ccf9","fb32367266f9ae88c0d069d0bc97987a19f90252b631c298d152bdd5ff10ccf9","3437","3437","true","true"
"expected-candidate-19-table-posthashes.csv","transaction_contract_or_inventory","true","7f9425cae6b74fc5af5e6c6fbb86815f339ff8ef3d112f0ad87bc0aab8f6d85f","7f9425cae6b74fc5af5e6c6fbb86815f339ff8ef3d112f0ad87bc0aab8f6d85f","14053","14053","true","true"
"formal-32-baseline.csv","transaction_contract_or_inventory","true","c8c424fa21838248cca020b6c5feefd9c05287adec8c077474f0f36cff834f5f","c8c424fa21838248cca020b6c5feefd9c05287adec8c077474f0f36cff834f5f","4764","4764","true","true"
"formal-backup-manifest-template.csv","transaction_contract_or_inventory","true","b48666cf8a9f3038375176289294e405b116efa74785618e9acddcb2547425bf","b48666cf8a9f3038375176289294e405b116efa74785618e9acddcb2547425bf","3267","3267","true","true"
"formal-csv-backup-candidates.csv","transaction_contract_or_inventory","true","98c1e89f48764e264ef676c62a89501c4af3713ba9616a543e3836caa70c7126","98c1e89f48764e264ef676c62a89501c4af3713ba9616a543e3836caa70c7126","4115","4115","true","true"
"formal-hard-deny-test.json","transaction_contract_or_inventory","true","0dca36fe23d99aaff449d64c379b4a7192481b1e894039b3d8931beb59d80990","0dca36fe23d99aaff449d64c379b4a7192481b1e894039b3d8931beb59d80990","215","215","true","true"
"freeze-validation.json","validation_summary","true","df42c0957d88dcaa83975e484e6823ff13f0c7745b029d8cc442ecf5465dbb87","df42c0957d88dcaa83975e484e6823ff13f0c7745b029d8cc442ecf5465dbb87","1190","1190","true","true"
"input-audit.json","validation_summary","true","637198b837a5793da1b26f3b5aef6a021e456a48ad52c60e6180db92089c593a","637198b837a5793da1b26f3b5aef6a021e456a48ad52c60e6180db92089c593a","1265","1265","true","true"
"logs/candidate-oracle-validator.txt","verification_log","true","aa8ecfdf3781422f5e1fb67a126fb2f5be5a8b22df9a430a615bb0c0dc0a1194","aa8ecfdf3781422f5e1fb67a126fb2f5be5a8b22df9a430a615bb0c0dc0a1194","130","130","true","true"
"logs/formal-hard-deny-output.txt","verification_log","true","7d03e5cba501f43549aeda9099b54027267cd293d1ef8e5423000b6dc19a4cc3","7d03e5cba501f43549aeda9099b54027267cd293d1ef8e5423000b6dc19a4cc3","684","684","true","true"
"logs/formal-validator-current.txt","verification_log","true","54976a45522f446b1dafc74f01f83e9922cd80fb8e21f2b13c1f8bb79f9b0b75","54976a45522f446b1dafc74f01f83e9922cd80fb8e21f2b13c1f8bb79f9b0b75","130","130","true","true"
"logs/negative-default-deny.txt","verification_log","true","7d03e5cba501f43549aeda9099b54027267cd293d1ef8e5423000b6dc19a4cc3","7d03e5cba501f43549aeda9099b54027267cd293d1ef8e5423000b6dc19a4cc3","684","684","true","true"
"logs/negative-pending-independent-signoff.txt","verification_log","true","7e6611727dc69897057341fdccc44795b26db79392c860d67de40c0ab46c34ce","7e6611727dc69897057341fdccc44795b26db79392c860d67de40c0ab46c34ce","520","520","true","true"
"logs/negative-preexisting-target.txt","verification_log","true","a16013e33da08e0e928f786ff03a4c6b3bc806d69c386446a82b0aec6eeafacf","a16013e33da08e0e928f786ff03a4c6b3bc806d69c386446a82b0aec6eeafacf","687","687","true","true"
"logs/negative-wrong-mirror-marker.txt","verification_log","true","7830bd4d332133052b8a096f77a3b5de27895e71ef751513a501f67c221a079c","7830bd4d332133052b8a096f77a3b5de27895e71ef751513a501f67c221a079c","520","520","true","true"
"logs/negative-wrong-premerge-hash.txt","verification_log","true","d8536c2c50eb0a8cc6370238393381f2ec9158ed5982e088edde5dae4969ea01","d8536c2c50eb0a8cc6370238393381f2ec9158ed5982e088edde5dae4969ea01","570","570","true","true"
"logs/negative-wrong-token.txt","verification_log","true","cd8d12bfd21322c6a9314433ac41d9c1a8cdaf4e4d1fd72630e19320ecac1ef7","cd8d12bfd21322c6a9314433ac41d9c1a8cdaf4e4d1fd72630e19320ecac1ef7","502","502","true","true"
"logs/positive-executor-output.txt","verification_log","true","65bb48aaee0a45cc84e78e2188aa398c6fead92e3510cdc993cdb32ca630f071","65bb48aaee0a45cc84e78e2188aa398c6fead92e3510cdc993cdb32ca630f071","546","546","true","true"
"logs/preflight-current.txt","verification_log","true","5baac61fa2b293b6153d1577fa4d40fa838d838c4c3fe0387b0cf4c071206403","5baac61fa2b293b6153d1577fa4d40fa838d838c4c3fe0387b0cf4c071206403","512","512","true","true"
"logs/preflight-current-final.txt","verification_log","true","5baac61fa2b293b6153d1577fa4d40fa838d838c4c3fe0387b0cf4c071206403","5baac61fa2b293b6153d1577fa4d40fa838d838c4c3fe0387b0cf4c071206403","512","512","true","true"
"logs/rollback_after_2_payloads-executor-output.txt","verification_log","true","c391f5d197c6e7675ff99a404096668d24aeee0c2febcfaeffbd75678d4388e4","c391f5d197c6e7675ff99a404096668d24aeee0c2febcfaeffbd75678d4388e4","644","644","true","true"
"logs/rollback_after_3_tables-executor-output.txt","verification_log","true","1bce76beee1641662517e94e4ee9eef7f6eb3cae7285e97ba6bdf5fac277b135","1bce76beee1641662517e94e4ee9eef7f6eb3cae7285e97ba6bdf5fac277b135","652","652","true","true"
"negative-gates.csv","transaction_contract_or_inventory","true","9fa5ab1c4b803ca63e1a721b2081e4d0d0c1147f3da2185e1f4da2a862fe8724","9fa5ab1c4b803ca63e1a721b2081e4d0d0c1147f3da2185e1f4da2a862fe8724","1381","1381","true","true"
"negative-gates-summary.json","validation_summary","true","6dad3c438d5a0a2e0b489512004cd0909a9c94be0e3338bb31a58371149eea5e","6dad3c438d5a0a2e0b489512004cd0909a9c94be0e3338bb31a58371149eea5e","323","323","true","true"
"new-file-targets.csv","transaction_contract_or_inventory","true","02a05ad2f26dcd744d359ddb02c5953f8836532aea60a47a91b79fd2a2716e7e","02a05ad2f26dcd744d359ddb02c5953f8836532aea60a47a91b79fd2a2716e7e","1252","1252","true","true"
"no-write-guards.csv","transaction_contract_or_inventory","true","31072225a6ed2355e3933634c34134c05a0de205307544ec40e04c5c1707f17d","31072225a6ed2355e3933634c34134c05a0de205307544ec40e04c5c1707f17d","2164","2164","true","true"
"operator-error-log.csv","error_audit","true","25f63d69248b91984f4e479f6e813554ebcca3bc15b7d8a561bd9317bc39139f","25f63d69248b91984f4e479f6e813554ebcca3bc15b7d8a561bd9317bc39139f","13905","13905","true","true"
"progress-2026-08-13.md","human_readable_contract","true","1b7cf8eacfae5ee5186d624c3089c08ef47decf8e98a4c04deb1bd160c2dfda9","1b7cf8eacfae5ee5186d624c3089c08ef47decf8e98a4c04deb1bd160c2dfda9","931","931","true","true"
"README.md","human_readable_contract","true","c231156eb98d3f9dd5f3f928c2147fe9de7be89b41a7f8c47d1c0d5deceb6dc7","c231156eb98d3f9dd5f3f928c2147fe9de7be89b41a7f8c47d1c0d5deceb6dc7","2720","2720","true","true"
"rehearsal/positive-summary.json","rehearsal_summary","true","0213699912a85dad4a775d4d657e2cfe67235a1ffcaca01bfb0d22063a1fa4c8","0213699912a85dad4a775d4d657e2cfe67235a1ffcaca01bfb0d22063a1fa4c8","939","939","true","true"
