"source_selected_role_id","source_id","selected_role","rationale","review_status","notes"
"SROLE-M2W2-AWS-PKG-A01-CORE","SRC-M2-GA-A01","core_spec","支撑本轮单芯片/package 实现数量、峰值、容量、带宽或物理公开量；不承担架构机制复写。","draft","等待独立复核。"
"SROLE-M2W2-AWS-PKG-A02-CORE","SRC-M2-GA-A02","core_spec","支撑本轮单芯片/package 实现数量、峰值、容量、带宽或物理公开量；不承担架构机制复写。","draft","等待独立复核。"
"SROLE-M2W2-AWS-PKG-A03-CORE","SRC-M2-GA-A03","core_spec","支撑本轮单芯片/package 实现数量、峰值、容量、带宽或物理公开量；不承担架构机制复写。","draft","等待独立复核。"
"SROLE-M2W2-AWS-PKG-A04-CORE","SRC-M2-GA-A04","core_spec","支撑本轮单芯片/package 实现数量、峰值、容量、带宽或物理公开量；不承担架构机制复写。","draft","等待独立复核。"
"SROLE-M2W2-AWS-PKG-A05-CORE","SRC-M2-GA-A05","core_spec","支撑本轮单芯片/package 实现数量、峰值、容量、带宽或物理公开量；不承担架构机制复写。","draft","等待独立复核。"
"SROLE-M2W2-AWS-PKG-A06-CORE","SRC-M2-GA-A06","core_spec","支撑本轮单芯片/package 实现数量、峰值、容量、带宽或物理公开量；不承担架构机制复写。","draft","等待独立复核。"
"SROLE-M2W2-AWS-PKG-A07-CORE","SRC-M2-GA-A07","core_spec","支撑本轮单芯片/package 实现数量、峰值、容量、带宽或物理公开量；不承担架构机制复写。","draft","等待独立复核。"
"SROLE-M2W2-AWS-PKG-A08-CORE","SRC-M2-GA-A08","core_spec","支撑本轮单芯片/package 实现数量、峰值、容量、带宽或物理公开量；不承担架构机制复写。","draft","等待独立复核。"
"SROLE-M2W2-AWS-PKG-A10-CORE","SRC-M2-GA-A10","core_spec","支撑本轮单芯片/package 实现数量、峰值、容量、带宽或物理公开量；不承担架构机制复写。","draft","等待独立复核。"
"SROLE-M2W2-AWS-PKG-A03-CONFLICT","SRC-M2-GA-A03","conflict_evidence","该来源保留 HBM 单位/带宽或 CC-Core 数量分歧的一侧，不能由另一页面静默覆盖。","draft","只按 source_id 计独立证据；重复 endpoint 不增加来源数。"
"SROLE-M2W2-AWS-PKG-A04-CONFLICT","SRC-M2-GA-A04","conflict_evidence","该来源保留 HBM 单位/带宽或 CC-Core 数量分歧的一侧，不能由另一页面静默覆盖。","draft","只按 source_id 计独立证据；重复 endpoint 不增加来源数。"
"SROLE-M2W2-AWS-PKG-A05-CONFLICT","SRC-M2-GA-A05","conflict_evidence","该来源保留 HBM 单位/带宽或 CC-Core 数量分歧的一侧，不能由另一页面静默覆盖。","draft","只按 source_id 计独立证据；重复 endpoint 不增加来源数。"
"SROLE-M2W2-AWS-PKG-A06-CONFLICT","SRC-M2-GA-A06","conflict_evidence","该来源保留 HBM 单位/带宽或 CC-Core 数量分歧的一侧，不能由另一页面静默覆盖。","draft","只按 source_id 计独立证据；重复 endpoint 不增加来源数。"
"SROLE-M2W2-AWS-PKG-A07-CONFLICT","SRC-M2-GA-A07","conflict_evidence","该来源保留 HBM 单位/带宽或 CC-Core 数量分歧的一侧，不能由另一页面静默覆盖。","draft","只按 source_id 计独立证据；重复 endpoint 不增加来源数。"
"SROLE-M2W2-AWS-PKG-A08-CONFLICT","SRC-M2-GA-A08","conflict_evidence","该来源保留 HBM 单位/带宽或 CC-Core 数量分歧的一侧，不能由另一页面静默覆盖。","draft","只按 source_id 计独立证据；重复 endpoint 不增加来源数。"
