"search_result_id","search_id","source_id","result_relation","review_status","notes"
"SEARCH-M2W2-AWS-INF1-PACKAGE-1","SEARCH-M2W2-AWS-INF1-PACKAGE","SRC-M2-GA-A01","checked_no_support","draft","已检查与 封装方式 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-INF1-PACKAGE-2","SEARCH-M2W2-AWS-INF1-PACKAGE","SRC-M2-GA-A02","checked_no_support","draft","已检查与 封装方式 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-INF1-DIE-COUNT-1","SEARCH-M2W2-AWS-INF1-DIE-COUNT","SRC-M2-GA-A01","checked_no_support","draft","已检查与 裸片或芯粒数量 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-INF1-DIE-COUNT-2","SEARCH-M2W2-AWS-INF1-DIE-COUNT","SRC-M2-GA-A02","checked_no_support","draft","已检查与 裸片或芯粒数量 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-INF1-INTERPOSER-1","SEARCH-M2W2-AWS-INF1-INTERPOSER","SRC-M2-GA-A01","checked_no_support","draft","已检查与 中介层或基板 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-INF1-INTERPOSER-2","SEARCH-M2W2-AWS-INF1-INTERPOSER","SRC-M2-GA-A02","checked_no_support","draft","已检查与 中介层或基板 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-INF1-DIE-AREA-1","SEARCH-M2W2-AWS-INF1-DIE-AREA","SRC-M2-GA-A01","checked_no_support","draft","已检查与 裸片面积 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-INF1-DIE-AREA-2","SEARCH-M2W2-AWS-INF1-DIE-AREA","SRC-M2-GA-A02","checked_no_support","draft","已检查与 裸片面积 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-INF1-TRANSISTORS-1","SEARCH-M2W2-AWS-INF1-TRANSISTORS","SRC-M2-GA-A01","checked_no_support","draft","已检查与 晶体管数量 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-INF1-TRANSISTORS-2","SEARCH-M2W2-AWS-INF1-TRANSISTORS","SRC-M2-GA-A02","checked_no_support","draft","已检查与 晶体管数量 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-TRN1-PACKAGE-1","SEARCH-M2W2-AWS-TRN1-PACKAGE","SRC-M2-GA-A03","checked_no_support","draft","已检查与 封装方式 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-TRN1-PACKAGE-2","SEARCH-M2W2-AWS-TRN1-PACKAGE","SRC-M2-GA-A05","checked_no_support","draft","已检查与 封装方式 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-TRN1-DIE-COUNT-1","SEARCH-M2W2-AWS-TRN1-DIE-COUNT","SRC-M2-GA-A03","checked_no_support","draft","已检查与 裸片或芯粒数量 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-TRN1-DIE-COUNT-2","SEARCH-M2W2-AWS-TRN1-DIE-COUNT","SRC-M2-GA-A05","checked_no_support","draft","已检查与 裸片或芯粒数量 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-TRN1-INTERPOSER-1","SEARCH-M2W2-AWS-TRN1-INTERPOSER","SRC-M2-GA-A03","checked_no_support","draft","已检查与 中介层或基板 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-TRN1-INTERPOSER-2","SEARCH-M2W2-AWS-TRN1-INTERPOSER","SRC-M2-GA-A05","checked_no_support","draft","已检查与 中介层或基板 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-TRN1-DIE-AREA-1","SEARCH-M2W2-AWS-TRN1-DIE-AREA","SRC-M2-GA-A03","checked_no_support","draft","已检查与 裸片面积 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-TRN1-DIE-AREA-2","SEARCH-M2W2-AWS-TRN1-DIE-AREA","SRC-M2-GA-A05","checked_no_support","draft","已检查与 裸片面积 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-TRN1-TRANSISTORS-1","SEARCH-M2W2-AWS-TRN1-TRANSISTORS","SRC-M2-GA-A03","checked_no_support","draft","已检查与 晶体管数量 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-TRN1-TRANSISTORS-2","SEARCH-M2W2-AWS-TRN1-TRANSISTORS","SRC-M2-GA-A05","checked_no_support","draft","已检查与 晶体管数量 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-INF2-PACKAGE-1","SEARCH-M2W2-AWS-INF2-PACKAGE","SRC-M2-GA-A04","checked_no_support","draft","已检查与 封装方式 相关的固定正文；未找到该物理构造字段的直接陈述。"
"SEARCH-M2W2-AWS-INF2-PACKAGE-2","SEARCH-M2W2-AWS-INF2-PACKAGE","SRC-M2-GA-A05","checked_no_support","draft","已检查与 封装方式 相关的固定正文；未找到该物理构造字段的直接陈述。"
