"derived_input_id","derived_fact_id","input_order","input_fact_id","input_role","review_status","notes"
"DERIN-NVIDIA-H100-COMPUTE-BW-FP64-TENSOR-NUM","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP64-TENSOR","1","FACT-NVIDIA-H100-FP64-TENSOR-DENSE-PEAK","numerator","draft","Dense theoretical compute peak."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP64-TENSOR-DEN","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP64-TENSOR","2","FACT-NVIDIA-H100-HBM-BW-CURRENT","denominator","draft","Current 3.35 TB/s HBM3 nameplate bandwidth."
"DERIN-NVIDIA-H100-COMPUTE-BW-TF32-NUM","FACT-NVIDIA-H100-DER-COMPUTE-BW-TF32","1","FACT-NVIDIA-H100-TF32-DENSE-PEAK","numerator","draft","Dense theoretical compute peak."
"DERIN-NVIDIA-H100-COMPUTE-BW-TF32-DEN","FACT-NVIDIA-H100-DER-COMPUTE-BW-TF32","2","FACT-NVIDIA-H100-HBM-BW-CURRENT","denominator","draft","Current 3.35 TB/s HBM3 nameplate bandwidth."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP64-CUDA-NUM","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP64-CUDA","1","FACT-NVIDIA-H100-FP64-CUDA-DENSE-PEAK","numerator","draft","Dense theoretical compute peak."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP64-CUDA-DEN","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP64-CUDA","2","FACT-NVIDIA-H100-HBM-BW-CURRENT","denominator","draft","Current 3.35 TB/s HBM3 nameplate bandwidth."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP16-TENSOR-NUM","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP16-TENSOR","1","FACT-NVIDIA-H100-FP16-TENSOR-DENSE-PEAK","numerator","draft","Dense theoretical compute peak."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP16-TENSOR-DEN","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP16-TENSOR","2","FACT-NVIDIA-H100-HBM-BW-CURRENT","denominator","draft","Current 3.35 TB/s HBM3 nameplate bandwidth."
"DERIN-NVIDIA-H100-COMPUTE-BW-BF16-TENSOR-NUM","FACT-NVIDIA-H100-DER-COMPUTE-BW-BF16-TENSOR","1","FACT-NVIDIA-H100-BF16-TENSOR-DENSE-PEAK","numerator","draft","Dense theoretical compute peak."
"DERIN-NVIDIA-H100-COMPUTE-BW-BF16-TENSOR-DEN","FACT-NVIDIA-H100-DER-COMPUTE-BW-BF16-TENSOR","2","FACT-NVIDIA-H100-HBM-BW-CURRENT","denominator","draft","Current 3.35 TB/s HBM3 nameplate bandwidth."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP32-CUDA-NUM","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP32-CUDA","1","FACT-NVIDIA-H100-FP32-CUDA-DENSE-PEAK","numerator","draft","Dense theoretical compute peak."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP32-CUDA-DEN","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP32-CUDA","2","FACT-NVIDIA-H100-HBM-BW-CURRENT","denominator","draft","Current 3.35 TB/s HBM3 nameplate bandwidth."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP8-NUM","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP8","1","FACT-NVIDIA-H100-FP8-DENSE-PEAK","numerator","draft","Dense theoretical compute peak."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP8-DEN","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP8","2","FACT-NVIDIA-H100-HBM-BW-CURRENT","denominator","draft","Current 3.35 TB/s HBM3 nameplate bandwidth."
