"inventory_role","commit_order","rollback_order","target_path","precondition","backup_content","rollback_action","irreversible"
"csv_replacement","1","20","数据/card-completeness.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","2","19","数据/components.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","3","18","数据/condition-sets.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","4","17","数据/facts.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","5","16","数据/field-requirements.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","6","15","数据/links.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","7","14","数据/memory-levels.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","8","13","数据/precision-paths.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","9","12","最小参考资料库/fact-assertions.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","10","11","最小参考资料库/requirement-evidence.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","11","10","最小参考资料库/search-log.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","12","9","最小参考资料库/search-results.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","13","8","最小参考资料库/selection-members.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","14","7","最小参考资料库/selection-runs.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","15","6","最小参考资料库/source-coverage.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","16","5","最小参考资料库/source-endpoints.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","17","4","最小参考资料库/source-families.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","18","3","最小参考资料库/sources.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","19","2","最小参考资料库/source-screening.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","20","1","最小参考资料库/source-selected-roles.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"new_file","21","8","资料卡/华为昇腾/封装/华为_Ascend950_共享裸片资料卡.md","target_absent","absence_sentinel","delete_only_if_exact_committed_hash","false"
"new_file","22","7","资料卡/华为昇腾/封装/华为_Ascend950PR_封装资料卡.md","target_absent","absence_sentinel","delete_only_if_exact_committed_hash","false"
"new_file","23","6","资料卡/华为昇腾/封装/华为_Ascend950DT_封装资料卡.md","target_absent","absence_sentinel","delete_only_if_exact_committed_hash","false"
"new_file","24","5","最小参考资料库/快照/华为/Ascend950/2026-08-13/huawei-connect-2025-ascend-roadmap-2026-08-13.html","target_absent","absence_sentinel","delete_only_if_exact_committed_hash","false"
"new_file","25","4","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-processor-2026-08-13.html","target_absent","absence_sentinel","delete_only_if_exact_committed_hash","false"
"new_file","26","3","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-processor-950dt-2026-08-13.html","target_absent","absence_sentinel","delete_only_if_exact_committed_hash","false"
"new_file","27","2","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-accelerator-card-2026-08-13.html","target_absent","absence_sentinel","delete_only_if_exact_committed_hash","false"
"new_file","28","1","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-atlas350-launch-2026-08-13.html","target_absent","absence_sentinel","delete_only_if_exact_committed_hash","false"
"no_write_guard_table","0","0","数据/objects.csv","exact_full_table_hash:54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7","exact_guard_table_bytes","restore_only_after_unexpected_guard_mutation","false"
"no_write_guard_table","0","0","数据/object-relations.csv","exact_full_table_hash:9bbe32227f7022a5f9e4fe379d805e60780c15d6987e5b20e3b94ac3241fa353","exact_guard_table_bytes","restore_only_after_unexpected_guard_mutation","false"
