"signoff_row_id","target_path","pk_column","pk_value","source_path","source_sha256","source_bytes","source_review_status","authorized_review_status","semantic_status_column","semantic_status_before","semantic_status_after","signed_source_line_sha256","canonical_source_row_sha256","canonical_authorized_row_sha256","formal_premerge_sha256","formal_premerge_bytes"
"ASC950-SIGN-0001","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-IDENTITY","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","draft","reviewed","","","","61bab9667fec6008640a5181c9bcd52141b925cf63e9614bca3ad1bd79e91839","61bab9667fec6008640a5181c9bcd52141b925cf63e9614bca3ad1bd79e91839","e36a24e57da45a50c71decc82bb6e66dd4b0a3f61348933b19d345943868ef4c","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","74967"
"ASC950-SIGN-0002","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-PHYSICAL","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","draft","reviewed","","","","eec3f97bcf12fea166b1d2f1528181b57b9c0b4b6363522283828abac3690596","eec3f97bcf12fea166b1d2f1528181b57b9c0b4b6363522283828abac3690596","f9b44b958bb9ba2f099d4f390eb41ec97bc2b1bdd1d0edc648b78a31cee740fe","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","74967"
"ASC950-SIGN-0003","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-COMPUTE","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","draft","reviewed","","","","9f77994e4370bc242d6a806f30dd39fe14a24c64ece7c534dfa5457d88a728c7","9f77994e4370bc242d6a806f30dd39fe14a24c64ece7c534dfa5457d88a728c7","7b0365261d5d5ff2e5a461cec3aa5143274a5fa84210e61d1b712f6108bb22b3","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","74967"
"ASC950-SIGN-0004","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-NUMERICS","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","draft","reviewed","","","","ea9d6c481eb966eaf045aa6b2a9125f7b5a4a1636c1d9439c9569d32cefa3971","ea9d6c481eb966eaf045aa6b2a9125f7b5a4a1636c1d9439c9569d32cefa3971","1f5d9c792dffa367827611f77f174660d22bfd64f6a20fd5ae3c007bac125b31","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","74967"
"ASC950-SIGN-0005","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-MEMORY","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","draft","reviewed","","","","349c5e502565af46d6b1a18e97d32516fb9d2189ebc9a8a82436d34a54854423","349c5e502565af46d6b1a18e97d32516fb9d2189ebc9a8a82436d34a54854423","6f667917a793b8b38eb0ca858db1e23e68ec24e18f96a04eadde7d7478a62a14","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","74967"
"ASC950-SIGN-0006","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-INTERCONNECT","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","draft","reviewed","","","","515946e5ffd0b2ee4fc93beda1d1c01be5bb4ebb5a789e8059bd86282d5255e0","515946e5ffd0b2ee4fc93beda1d1c01be5bb4ebb5a789e8059bd86282d5255e0","d4abdfea205564dd254944dc44a35fe2db52d04f487f46097948acbae02acc28","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","74967"
"ASC950-SIGN-0007","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-SPECIAL_ENGINES","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","draft","reviewed","","","","9a896019ecb6323e5efd2ccc4a9d0e5d52a3445bf20121115ec5e5550a38fc73","9a896019ecb6323e5efd2ccc4a9d0e5d52a3445bf20121115ec5e5550a38fc73","89c78f0a43c5ddb83dd12632c78ea61244121bd3bad1d80501556b060771f8f8","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","74967"
"ASC950-SIGN-0008","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-SOFTWARE","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","draft","reviewed","","","","af5d055e0cc5539dcc4158cfbe72559f0faeb2ab7ec94886f1b23ec53e093dc2","af5d055e0cc5539dcc4158cfbe72559f0faeb2ab7ec94886f1b23ec53e093dc2","d0d6a024780a95b6f51f352259b45b2063df163766b915bdafa10efa4a72513c","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","74967"
"ASC950-SIGN-0009","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-EVIDENCE","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","draft","reviewed","","","","7c021a34a2bcf0bf0c1feda6625642f1732eedcb10a90cb8bd54c8f8568925d7","7c021a34a2bcf0bf0c1feda6625642f1732eedcb10a90cb8bd54c8f8568925d7","8aad0469cb17f9b9b4a11855b53e3ba5bc1b16ab1ecae0980c508fdf2a64ad94","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","74967"
"ASC950-SIGN-0010","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-PR-IDENTITY","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","draft","reviewed","","","","4401c821206a940322dc567a7cef921ce00bc3e756a0e8fb52ae9f591961ebc4","4401c821206a940322dc567a7cef921ce00bc3e756a0e8fb52ae9f591961ebc4","1046dd0b1da1e8e42bc7709483b3c790091430dd7f3712044c4581e8cf92f3de","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","74967"
