"table_path","primary_key","field_id","target_id","actual_subject_kind","registered_allowed_subject_kinds","row_review_status","preaudit_disposition","notes"
"数据/facts.csv","FACT-AWS-TRN2-DER-BALANCE-BF16","FIELD-DER-COMPUTE-BW-SPEC","PP-AWS-TRN2-CHIP-TENSOR-BF16","precision_path","object","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/facts.csv","FACT-AWS-TRN2-DER-BALANCE-FP32","FIELD-DER-COMPUTE-BW-SPEC","PP-AWS-TRN2-CHIP-TENSOR-FP32","precision_path","object","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/facts.csv","FACT-AWS-TRN2-DER-BALANCE-FP8","FIELD-DER-COMPUTE-BW-SPEC","PP-AWS-TRN2-CHIP-TENSOR-FP8","precision_path","object","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/facts.csv","FACT-AWS-TRN2-DER-BALANCE-FP8-SPARSE","FIELD-DER-COMPUTE-BW-SPEC","PP-AWS-TRN2-CHIP-TENSOR-FP8","precision_path","object","needs_resolution","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/facts.csv","FACT-AWS-TRN2-GPSIMD-CLOCK","FIELD-PHY-CLOCK","CMP-AWS-TRN2-GPSIMD","component","object","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/facts.csv","FACT-AWS-TRN2-SCALAR-CLOCK","FIELD-PHY-CLOCK","CMP-AWS-TRN2-SCALAR","component","object","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/facts.csv","FACT-AWS-TRN2-TENSOR-CLOCK","FIELD-PHY-CLOCK","CMP-AWS-TRN2-TENSOR","component","object","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/facts.csv","FACT-AWS-TRN2-VECTOR-CLOCK","FIELD-PHY-CLOCK","CMP-AWS-TRN2-VECTOR","component","object","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-M2GA-AIF1-MOE-HW","FIELD-CAP-IMPLEMENTATION-DETAIL","OBJ-AWS-INFERENTIA1-ARCH","object","capability","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-M2GA-AIF2-MOE-HW","FIELD-CAP-IMPLEMENTATION-DETAIL","OBJ-AWS-INFERENTIA2-ARCH","object","capability","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-M2GA-ATRN1-MOE-HW","FIELD-CAP-IMPLEMENTATION-DETAIL","OBJ-AWS-TRAINIUM1-ARCH","object","capability","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-M2GA-ATRN3-MOE-HW","FIELD-CAP-IMPLEMENTATION-DETAIL","OBJ-AWS-TRAINIUM3-ARCH","object","capability","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-M2GA-G7X-MOE-HW","FIELD-CAP-IMPLEMENTATION-DETAIL","OBJ-GOOGLE-TPU7X-ARCH","object","capability","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-M2GA-G8T-LDE-DETAIL","FIELD-CAP-IMPLEMENTATION-DETAIL","OBJ-GOOGLE-TPU-8T-ARCH","object","capability","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-M2GA-GV3-MOE-HW","FIELD-CAP-IMPLEMENTATION-DETAIL","OBJ-GOOGLE-TPU-V3-ARCH","object","capability","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-M2GA-GV4-MOE-HW","FIELD-CAP-IMPLEMENTATION-DETAIL","OBJ-GOOGLE-TPU-V4-ARCH","object","capability","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-M2GA-GV5E-MOE-HW","FIELD-CAP-IMPLEMENTATION-DETAIL","OBJ-GOOGLE-TPU-V5E-ARCH","object","capability","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-M2GA-GV5P-MOE-HW","FIELD-CAP-IMPLEMENTATION-DETAIL","OBJ-GOOGLE-TPU-V5P-ARCH","object","capability","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-M2GA-GV6E-MOE-HW","FIELD-CAP-IMPLEMENTATION-DETAIL","OBJ-GOOGLE-TPU-V6E-ARCH","object","capability","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-CAMBRICON-MLUARCH05-MATRIX","FIELD-COMP-ARRAY-SHAPE","OBJ-CAMBRICON-MLU590-ARCH","object","component","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-CAMBRICON-MLUARCH05-EXECUTION","FIELD-COMP-EXECUTION","OBJ-CAMBRICON-MLU590-ARCH","object","component","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-M2GA-TRN4-MICRO","FIELD-COMP-EXECUTION","OBJ-AWS-TRAINIUM4-ARCH","object","component","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-CAMBRICON-MLUARCH05-VECTOR","FIELD-COMP-INSTRUCTION-TILE","OBJ-CAMBRICON-MLU590-ARCH","object","precision_path","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-CAMBRICON-MLUARCH05-SCALAR","FIELD-COMP-ISSUE-WIDTH","OBJ-CAMBRICON-MLU590-ARCH","object","component","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-CAMBRICON-MLU590-COMPUTE-THROUGHPUT","FIELD-COMP-THROUGHPUT","OBJ-CAMBRICON-MLU590-CHIP","object","precision_path","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
"数据/field-requirements.csv","REQ-CAMBRICON-MLUARCH05-MATRIX-THROUGHPUT","FIELD-COMP-THROUGHPUT","OBJ-CAMBRICON-MLU590-ARCH","object","precision_path","reviewed","needs_semantic_review","不得自动扩字段合同或迁移主体；须按字段定义和来源主语逐组裁决。"
