claim_id,voter,verdict,reason,fixed_source_checks,external_source_ids,external_urls,blocking_issue
C01,A,support,在标准监督训练且存在优化器更新时，反向传播、梯度、参数更新及激活保存或重算都比固定权重前向推理多；检查点策略只改变保存与重算的比例。此结论不适用于在线学习，且不能据此把推理写成无状态。,S03完整卡§3和§5；S05完整卡§5和§6；S10完整卡§3和§5,E01|E02,https://arxiv.org/abs/1910.02054|https://arxiv.org/abs/1710.03740,
C02,A,support,PagedAttention与vAttention论文都把KV cache描述为按请求动态变化并受碎片影响，足以反驳“固定权重推理无状态”。该判断限于使用KV缓存的自回归Transformer；前缀缓存、工作区和预留量取决于服务实现。,S11 PDF第2页；S15完整卡§3和§5；S13完整卡§5,E03|E13,https://arxiv.org/abs/2309.06180|https://arxiv.org/abs/2405.04437,
C03,A,support,MLPerf Training按达到规定质量的墙钟时间评价，MLPerf Inference与DistServe分别约束TTFT、TPOT和吞吐，支持两类目标不同。结论只适用于在线生成服务；离线推理没有同样的交互时延约束，训练生产系统还可能另有成本和可靠性目标。,S02完整卡§3和§5；S12完整卡§3和§5；S15完整卡§5,E05|E06|E07,https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin|https://mlcommons.org/benchmarks/training/|https://docs.mlcommons.org/inference/,
C04,A,support,混合精度训练论文直接区分半精度权重、激活、梯度与单精度主权重，并用loss scaling处理梯度下溢；SmoothQuant又说明推理量化仍受激活离群值和内核支持限制。因而分字段记录是可比性要求，不代表每种算法都有独立主权重或固定精度门槛。,S05完整卡§5和关键数字表；S02完整卡§5；S10完整卡§3和§5,E02|E09|E12,https://arxiv.org/abs/1710.03740|https://arxiv.org/abs/2101.03961|https://arxiv.org/abs/2211.10438,
C05,A,support,S11与SARATHI都把预填充描述为高并行、较易利用计算单元，把逐token解码描述为低利用率并受权重或KV搬运限制；DistServe也用两套时延目标分开配置资源。结论成立于自回归、交互式、低批量场景，大batch、投机解码和内核变化会移动边界。,S04完整卡§3和§5；S11 PDF第2页；S13完整卡§3和§5,E04|E05,https://arxiv.org/abs/2308.16369|https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin,
C06,A,support,PagedAttention、SARATHI和vAttention均显示，增大可并发batch或采用连续批处理能提高权重复用与吞吐，同时KV占用、碎片和调度会约束可用batch；MLPerf还把离线与服务器场景分开。该折中依到达率、序列长度和服务等级目标，不是单调规律。,S02完整卡§3和§5；S13完整卡§5；S18完整卡§3和§5,E03|E04|E07|E13,https://arxiv.org/abs/2309.06180|https://arxiv.org/abs/2308.16369|https://docs.mlcommons.org/inference/|https://arxiv.org/abs/2405.04437,
C07,A,support,ZeRO和混合精度训练给出参数、梯度、优化器及激活等训练状态，PagedAttention与vAttention给出随并发和序列变化的推理状态。两侧状态集合不同，现有证据没有固定模型、精度、优化器、上下文和并发下的统一胜者，因此否定“某类芯片必然更多HBM”成立。,S05完整卡§5；S11 PDF第2页和第6至7页；S15完整卡§5,E01|E02|E03|E13,https://arxiv.org/abs/1910.02054|https://arxiv.org/abs/1710.03740|https://arxiv.org/abs/2309.06180|https://arxiv.org/abs/2405.04437,
C08,A,support,S11和SARATHI支持低批量解码的数据搬运约束，TPU 8i资料只可作为厂商按推理目标调整容量与带宽配比的设计实例。结论中的“可能”是关键：它不证明所有推理芯片都应增加HBM，也不适用于已被大batch或特定内核推到计算受限的解码。,S11 PDF第2至5页；S14完整卡§3和§5；S16完整卡§3和§5,E04|E11|E12,https://arxiv.org/abs/2308.16369|https://amcr.lbl.gov/departments/computer-science-department/ppan/roofline-performance-model/|https://arxiv.org/abs/2211.10438,
C09,A,support,Roofline原始方法要求把工作负载算术强度与计算峰值和所选存储层带宽共同使用；单独的P_peak/B_HBM只是机器侧分界，不能决定用途。对象、精度、稠密性和峰值口径不一致会直接破坏比较，缓存、网络和软件还可能让HBM屋顶失真。,S04完整卡§3和F03；S12完整卡§3和§5；S18完整卡§5；S19完整卡§6,E11,https://amcr.lbl.gov/departments/computer-science-department/ppan/roofline-performance-model/,
C10,A,support,固定语料显示同一矩阵核心可执行前向与反向，但反向、更新和小批量解码的形状与非矩阵算子会改变单元利用率；Megatron、DeepSpeed-MoE与SmoothQuant进一步表明并行、压缩和内核实现会改端到端结果。结论只是否定用峰值矩阵算力作充分比较，不声称固定的向量或标量配比。,S05完整卡§5；S10 PDF第55至56页及Fathom章节；S14完整卡§3和§5,E08|E10|E12,https://arxiv.org/abs/2104.04473|https://arxiv.org/abs/2201.05596|https://arxiv.org/abs/2211.10438,
C11,A,uncertain,资料能分别证明训练要保存或重算激活、推理解码要管理权重和KV，也能证明片上复用重要；但没有同一现代Transformer硬件上的受控测量，把这些状态映射到寄存器、SRAM、缓存和HBM各层。尤其梯度与KV通常跨片上和片外层级，现证据不足以支持“训练更侧重哪些片上对象”的普遍表述。,S03完整卡§3和§5；S17完整卡§3和§5；S19完整卡§3和§5,E01|E03,https://arxiv.org/abs/1910.02054|https://arxiv.org/abs/2309.06180,缺少同一现代Transformer在训练、预填充和解码三阶段的分层驻留、流量与复用实测；旧CNN片上数据流不能直接补这个缺口
C12,A,support,Megatron-LM直接展示数据、张量和流水并行的通信约束，Switch与DeepSpeed-MoE说明专家稀疏带来路由和通信成本；S11则把多芯片小批量解码限定为频繁小消息、时延更敏感。具体结论必须绑定并行策略、batch、放置和网络拓扑，不能从单一峰值带宽外推。,S05完整卡§5互联项；S11 PDF第5页和第9页；S14完整卡§3和§5,E08|E09|E10,https://arxiv.org/abs/2104.04473|https://arxiv.org/abs/2101.03961|https://arxiv.org/abs/2201.05596,
