"condition_set_id","condition_fingerprint","precision_path_id","sparsity_mode","sparsity_pattern","operation_type","operation_count_rule","performance_basis","support_level","power_mode","frequency_value","frequency_unit","software_version","workload_stage","bandwidth_direction","aggregation_scope","traffic_basis","measurement_scope","effective_date","review_status","notes"
"COND-M2W3-HUAWEI-ASC950-DIE-FP8-ROADMAP","Asc950-die|FP8|vendor-unresolved|2025-09-18","PPATH-M2W3-HUAWEI-ASC950-DIE-FP8","not_specified","","","vendor_label","vendor_label_unresolved","hardware_peak_published","","","","","not_specified","","","","per_object","2025-09-18","needs_resolution","Future common-series label; matrix/vector, density, count rule, power and frequency unresolved."
"COND-M2W3-HUAWEI-ASC950-DIE-MXFP8-ROADMAP","Asc950-die|MXFP8|vendor-unresolved|2025-09-18","PPATH-M2W3-HUAWEI-ASC950-DIE-MXFP8","not_specified","","","vendor_label","vendor_label_unresolved","hardware_peak_published","","","","","not_specified","","","","per_object","2025-09-18","needs_resolution","Future common-series label; matrix/vector, density, count rule, power and frequency unresolved."
"COND-M2W3-HUAWEI-ASC950-DIE-HIF8-ROADMAP","Asc950-die|HiF8|vendor-unresolved|2025-09-18","PPATH-M2W3-HUAWEI-ASC950-DIE-HIF8","not_specified","","","vendor_label","vendor_label_unresolved","hardware_peak_published","","","","","not_specified","","","","per_object","2025-09-18","needs_resolution","Future common-series label; matrix/vector, density, count rule, power and frequency unresolved."
"COND-M2W3-HUAWEI-ASC950-DIE-MXFP4-ROADMAP","Asc950-die|MXFP4|vendor-unresolved|2025-09-18","PPATH-M2W3-HUAWEI-ASC950-DIE-MXFP4","not_specified","","","vendor_label","vendor_label_unresolved","hardware_peak_published","","","","","not_specified","","","","per_object","2025-09-18","needs_resolution","Future common-series label; matrix/vector, density, count rule, power and frequency unresolved."
"COND-M2W3-HUAWEI-ASC950-DIE-MECHANISM-ROADMAP","Asc950-die|mechanisms|2025-09-18","","not_applicable","","data_move","not_specified","vendor_label_unresolved","hardware_capability","","","","","not_specified","","","","per_object","2025-09-18","needs_resolution","Future common-series mechanism stored once on shared die."
"COND-M2W3-HUAWEI-ASC950-DIE-INTERCONNECT-ROADMAP","Asc950-die|2TBps|direction-unknown|2025-09-18","","not_applicable","","data_move","not_specified","vendor_label_unresolved","hardware_peak_published","","","","","not_specified","direction_not_specified","per_endpoint","vendor_nameplate","per_object","2025-09-18","needs_resolution","Common-series aggregate label; direction and payload unknown."
"COND-M2W3-HUAWEI-ASC950PR-EMBEDDED-STATUS-20260320","Asc950PR|Atlas350-embedded|available|2026-03-20","","not_applicable","","fixed_function","not_specified","vendor_label_unresolved","hardware_capability","","","","","serving","","","","per_object","2026-03-20","needs_resolution","Available only through officially launched Atlas 350; no standalone sale or delivery claim."
"COND-M2W3-HUAWEI-ASC950PR-MEMORY-CURRENT-20260813","Asc950PR|HiBL1|max-128GB-1.6TBps|2026-08-13","","not_applicable","","data_move","not_specified","vendor_label_unresolved","hardware_capability","","","","","prefill","direction_not_specified","per_endpoint","vendor_nameplate","per_object","2026-08-13","draft","Current PR page; maximum capacity and nameplate bandwidth."
"COND-M2W3-HUAWEI-ASC950PR-VENDOR-MAX-CURRENT-20260813","Asc950PR|1784TFLOPS|datatype-count-unresolved|2026-08-13","PPATH-M2W3-HUAWEI-ASC950PR-VENDOR-MAX","not_specified","","","vendor_label","vendor_label_unresolved","hardware_peak_published","","","","","prefill","","","","per_object","2026-08-13","needs_resolution","No datatype, operation class, density, count, power or frequency."
"COND-M2W3-HUAWEI-ASC950PR-LINGQU2-CURRENT-20260813","Asc950PR|Lingqu2|max2TBps|bidir|2026-08-13","","not_applicable","","data_move","not_specified","vendor_label_unresolved","hardware_peak_published","","","","","not_specified","bidirectional_aggregate","per_endpoint","vendor_nameplate","per_object","2026-08-13","draft","Maximum bidirectional aggregate; no per-link or payload data."
"COND-M2W3-HUAWEI-ASC950DT-ROADMAP-20250918","Asc950DT|HiZQ2-and-total-link|direction-unknown|2025-09-18","","not_applicable","","data_move","not_specified","vendor_label_unresolved","hardware_peak_published","","","","","training","direction_not_specified","per_endpoint","vendor_nameplate","per_object","2025-09-18","needs_resolution","Future DT roadmap, not GA, delivery or sustained-performance evidence."
