"assertion_id","fact_id","source_id","claim_role","assertion_mode","assertion_relation","raw_value_text","raw_value_number","raw_unit","source_locator","quoted_context","extraction_status","extractor","reviewer","review_date","assertion_fingerprint","review_status","notes"
"ASSERT-M2W3-AMD-MI350P-VENDOR-PRODUCT","FACT-M2W3-AMD-MI350P-VENDOR","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","identity","direct_statement","supports","AMD","","","HTML title, H1 and page publisher","","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-VENDOR|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML title, H1 and page publisher","draft",""
"ASSERT-M2W3-AMD-MI350P-FAMILY-PRODUCT","FACT-M2W3-AMD-MI350P-FAMILY","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","identity","direct_statement","supports","Instinct","","","HTML lines 7013-7043, Product Basics: Family and Series","Family: Instinct; Series: Instinct MI350 Series","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-FAMILY|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7013-7043, Product Basics: Family and Series","draft","Normalized with vendor prefix; Series is not promoted to a separate fact."
"ASSERT-M2W3-AMD-MI350P-NAME-PRODUCT","FACT-M2W3-AMD-MI350P-NAME","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","identity","direct_statement","supports","AMD Instinct™ MI350P PCIe® Cards","","","HTML title and H1, lines 8 and 6841","AMD Instinct™ MI350P PCIe® Cards","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-NAME|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML title and H1, lines 8 and 6841","draft",""
"ASSERT-M2W3-AMD-MI350P-NAME-BROCHURE","FACT-M2W3-AMD-MI350P-NAME","SRC-M2W3-AMD-MI350P-BROCHURE-202605","identity","direct_statement","supports","AMD Instinct™ MI350P PCIe® Card","","","p. 1 title","AMD INSTINCT™ MI350P PCIe® CARD","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-NAME|SRC-M2W3-AMD-MI350P-BROCHURE-202605|supports|p. 1 title","draft",""
"ASSERT-M2W3-AMD-MI350P-SKU-PRODUCT","FACT-M2W3-AMD-MI350P-SKU","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","identity","direct_statement","supports","MI350P","","","HTML title and Product Basics, line 7005","AMD Instinct™ MI350P","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-SKU|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML title and Product Basics, line 7005","draft",""
"ASSERT-M2W3-AMD-MI350P-OBJECT-TYPE-PRODUCT","FACT-M2W3-AMD-MI350P-OBJECT-TYPE","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","identity","direct_statement","supports","PCIe® Add-in Card","","","HTML lines 7760-7798, Board Specifications","GPU Form Factor: PCIe® Add-in Card","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-OBJECT-TYPE|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7760-7798, Board Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-STATUS-BLOG","FACT-M2W3-AMD-MI350P-STATUS","SRC-M2W3-AMD-MI350P-BLOG-20260507","status_version","direct_statement","qualifies","Available in air-cooled systems with up to eight accelerator cards","","","HTML line 6644; publication date line 6572","Available in air-cooled systems with up to eight accelerator cards","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-STATUS|SRC-M2W3-AMD-MI350P-BLOG-20260507|qualifies|HTML line 6644; publication date line 6572","draft","Available status is retained; up-to-eight-card system aggregation migrates zero facts."
"ASSERT-M2W3-AMD-MI350P-PROCESS-PRODUCT","FACT-M2W3-AMD-MI350P-PROCESS","SRC-M2W3-AMD-MI350P-PRODUCT-20260813","core_spec","direct_statement","supports","TSMC 3nm | 6nm FinFET","","","HTML lines 7109-7119, GPU Specifications","Lithography: TSMC 3nm | 6nm FinFET","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-PROCESS|SRC-M2W3-AMD-MI350P-PRODUCT-20260813|supports|HTML lines 7109-7119, GPU Specifications","draft",""
"ASSERT-M2W3-AMD-MI350P-PROCESS-BROCHURE","FACT-M2W3-AMD-MI350P-PROCESS","SRC-M2W3-AMD-MI350P-BROCHURE-202605","core_spec","direct_statement","supports","TSMC 3nm/6nm FinFET","","","p. 1, Specifications, Lithography","TSMC 3nm/6nm FinFET","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-PROCESS|SRC-M2W3-AMD-MI350P-BROCHURE-202605|supports|p. 1, Specifications, Lithography","draft",""
"ASSERT-M2W3-AMD-MI350P-XCD-COUNT-BROCHURE","FACT-M2W3-AMD-MI350P-XCD-COUNT","SRC-M2W3-AMD-MI350P-BROCHURE-202605","core_spec","direct_statement","supports","","4","count","p. 2, Multi-Chip Architecture, first bullet","Each AMD Instinct MI350P PCIe card includes: Four accelerated compute dies (XCDs)","source_checked","m2_w3_mi350p_source_prep","","2026-08-13","FACT-M2W3-AMD-MI350P-XCD-COUNT|SRC-M2W3-AMD-MI350P-BROCHURE-202605|supports|p. 2, Multi-Chip Architecture, first bullet","draft",""
