"derived_input_id","derived_fact_id","input_order","input_fact_id","input_role","review_status","notes"
"DERIN-NVIDIA-H100-COMPUTE-BW-FP64-TENSOR-NUM","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP64-TENSOR","1","FACT-NVIDIA-H100-FP64-TENSOR-DENSE-PEAK","numerator","draft","Dense theoretical compute peak."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP64-TENSOR-DEN","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP64-TENSOR","2","FACT-NVIDIA-H100-HBM-BW-CURRENT","denominator","draft","Current 3.35 TB/s HBM3 nameplate bandwidth."
"DERIN-NVIDIA-H100-COMPUTE-BW-TF32-NUM","FACT-NVIDIA-H100-DER-COMPUTE-BW-TF32","1","FACT-NVIDIA-H100-TF32-DENSE-PEAK","numerator","draft","Dense theoretical compute peak."
"DERIN-NVIDIA-H100-COMPUTE-BW-TF32-DEN","FACT-NVIDIA-H100-DER-COMPUTE-BW-TF32","2","FACT-NVIDIA-H100-HBM-BW-CURRENT","denominator","draft","Current 3.35 TB/s HBM3 nameplate bandwidth."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP64-CUDA-NUM","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP64-CUDA","1","FACT-NVIDIA-H100-FP64-CUDA-DENSE-PEAK","numerator","draft","Dense theoretical compute peak."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP64-CUDA-DEN","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP64-CUDA","2","FACT-NVIDIA-H100-HBM-BW-CURRENT","denominator","draft","Current 3.35 TB/s HBM3 nameplate bandwidth."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP16-TENSOR-NUM","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP16-TENSOR","1","FACT-NVIDIA-H100-FP16-TENSOR-DENSE-PEAK","numerator","draft","Dense theoretical compute peak."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP16-TENSOR-DEN","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP16-TENSOR","2","FACT-NVIDIA-H100-HBM-BW-CURRENT","denominator","draft","Current 3.35 TB/s HBM3 nameplate bandwidth."
"DERIN-NVIDIA-H100-COMPUTE-BW-BF16-TENSOR-NUM","FACT-NVIDIA-H100-DER-COMPUTE-BW-BF16-TENSOR","1","FACT-NVIDIA-H100-BF16-TENSOR-DENSE-PEAK","numerator","draft","Dense theoretical compute peak."
"DERIN-NVIDIA-H100-COMPUTE-BW-BF16-TENSOR-DEN","FACT-NVIDIA-H100-DER-COMPUTE-BW-BF16-TENSOR","2","FACT-NVIDIA-H100-HBM-BW-CURRENT","denominator","draft","Current 3.35 TB/s HBM3 nameplate bandwidth."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP32-CUDA-NUM","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP32-CUDA","1","FACT-NVIDIA-H100-FP32-CUDA-DENSE-PEAK","numerator","draft","Dense theoretical compute peak."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP32-CUDA-DEN","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP32-CUDA","2","FACT-NVIDIA-H100-HBM-BW-CURRENT","denominator","draft","Current 3.35 TB/s HBM3 nameplate bandwidth."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP8-NUM","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP8","1","FACT-NVIDIA-H100-FP8-DENSE-PEAK","numerator","draft","Dense theoretical compute peak."
"DERIN-NVIDIA-H100-COMPUTE-BW-FP8-DEN","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP8","2","FACT-NVIDIA-H100-HBM-BW-CURRENT","denominator","draft","Current 3.35 TB/s HBM3 nameplate bandwidth."
"DIN-AWS-TRN2-001-VALUE","FACT-AWS-TRN2-CHIP-FP8-DENSE-DER8","1","FACT-AWS-TRN2-CORE-FP8-DENSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-001-COUNT","FACT-AWS-TRN2-CHIP-FP8-DENSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-002-VALUE","FACT-AWS-TRN2-CHIP-BF16-DENSE-DER8","1","FACT-AWS-TRN2-CORE-BF16-DENSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-002-COUNT","FACT-AWS-TRN2-CHIP-BF16-DENSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-003-VALUE","FACT-AWS-TRN2-CHIP-FP16-DENSE-DER8","1","FACT-AWS-TRN2-CORE-FP16-DENSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-003-COUNT","FACT-AWS-TRN2-CHIP-FP16-DENSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-004-VALUE","FACT-AWS-TRN2-CHIP-TF32-DENSE-DER8","1","FACT-AWS-TRN2-CORE-TF32-DENSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-004-COUNT","FACT-AWS-TRN2-CHIP-TF32-DENSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-005-VALUE","FACT-AWS-TRN2-CHIP-FP32-DENSE-DER8","1","FACT-AWS-TRN2-CORE-FP32-DENSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-005-COUNT","FACT-AWS-TRN2-CHIP-FP32-DENSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-006-VALUE","FACT-AWS-TRN2-CHIP-FP8-SPARSE-DER8","1","FACT-AWS-TRN2-CORE-FP8-SPARSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-006-COUNT","FACT-AWS-TRN2-CHIP-FP8-SPARSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-007-VALUE","FACT-AWS-TRN2-CHIP-BF16-SPARSE-DER8","1","FACT-AWS-TRN2-CORE-BF16-SPARSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-007-COUNT","FACT-AWS-TRN2-CHIP-BF16-SPARSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-008-VALUE","FACT-AWS-TRN2-CHIP-FP16-SPARSE-DER8","1","FACT-AWS-TRN2-CORE-FP16-SPARSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-008-COUNT","FACT-AWS-TRN2-CHIP-FP16-SPARSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-009-VALUE","FACT-AWS-TRN2-CHIP-TF32-SPARSE-DER8","1","FACT-AWS-TRN2-CORE-TF32-SPARSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-009-COUNT","FACT-AWS-TRN2-CHIP-TF32-SPARSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-010-VALUE","FACT-AWS-TRN2-VECTOR-FP32-DER8","1","FACT-AWS-TRN2-VECTOR-FP32-CORE","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-010-COUNT","FACT-AWS-TRN2-VECTOR-FP32-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-011-VALUE","FACT-AWS-TRN2-SCALAR-FP32-DER8","1","FACT-AWS-TRN2-SCALAR-FP32-CORE","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-011-COUNT","FACT-AWS-TRN2-SCALAR-FP32-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-012-VALUE","FACT-AWS-TRN2-DER-BALANCE-FP8","1","FACT-AWS-TRN2-CHIP-FP8-DENSE-PUB","numerator","draft","芯片公开峰值"
"DIN-AWS-TRN2-012-BW","FACT-AWS-TRN2-DER-BALANCE-FP8","2","FACT-AWS-TRN2-HBM-BANDWIDTH","denominator","draft","2.9 TB/s HBM 带宽"
"DIN-AWS-TRN2-013-VALUE","FACT-AWS-TRN2-DER-BALANCE-BF16","1","FACT-AWS-TRN2-CHIP-BF16-DENSE-PUB","numerator","draft","芯片公开峰值"
"DIN-AWS-TRN2-013-BW","FACT-AWS-TRN2-DER-BALANCE-BF16","2","FACT-AWS-TRN2-HBM-BANDWIDTH","denominator","draft","2.9 TB/s HBM 带宽"
"DIN-AWS-TRN2-014-VALUE","FACT-AWS-TRN2-DER-BALANCE-FP32","1","FACT-AWS-TRN2-CHIP-FP32-DENSE-PUB","numerator","draft","芯片公开峰值"
"DIN-AWS-TRN2-014-BW","FACT-AWS-TRN2-DER-BALANCE-FP32","2","FACT-AWS-TRN2-HBM-BANDWIDTH","denominator","draft","2.9 TB/s HBM 带宽"
"DIN-AWS-TRN2-015-VALUE","FACT-AWS-TRN2-DER-BALANCE-FP8-SPARSE","1","FACT-AWS-TRN2-CHIP-FP8-SPARSE-PUB","numerator","draft","芯片公开峰值"
"DIN-AWS-TRN2-015-BW","FACT-AWS-TRN2-DER-BALANCE-FP8-SPARSE","2","FACT-AWS-TRN2-HBM-BANDWIDTH","denominator","draft","2.9 TB/s HBM 带宽"
"DERIN-NVIDIA-H100-REG-POOLING-MODE-SCOPE","FACT-NVIDIA-H100-REG-POOLING-MODE","1","FACT-NVIDIA-H100-REG-CAPACITY-PER-SM","other","reviewed","输入事实明确容量按每 SM 记录；结构投影结合组件所有权解释为分布式非共享池。"
"DERIN-M2NA-CDNA4-MV-01","FACT-M2NA-CDNA4-DER-FP16-MATRIX-VECTOR","1","FACT-M2NA-CDNA4-MFP16-THR","numerator","draft","4096 FP16 FLOP/cycle/CU from the MI355X column in PDF p.8 Table 1."
"DERIN-M2NA-CDNA4-MV-02","FACT-M2NA-CDNA4-DER-FP16-MATRIX-VECTOR","2","FACT-M2NA-CDNA4-VFP16-THR","denominator","draft","256 FP16 FLOP/cycle/CU."
