"bundle_payload_id","package","package_order","package_commit_order","binding_kind","source_path","source_sha256","source_bytes","target_path","target_must_be_absent","rollback_action"
"BUNDLE-MI455X-MI455X-SIGN-ARTIFACT-01","MI455X","1","1","card_copy","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/card-draft/AMD_Instinct_MI455X_模组资料卡.md","bb864ff8cddd2ef004883476ab0024b1c57234ebd278e94860b05421b97b185b","19920","资料卡/AMD/封装/AMD_Instinct_MI455X_模组资料卡.md","true","delete_only_if_committed_hash_matches_source"
"BUNDLE-MI455X-MI455X-SIGN-ARTIFACT-02","MI455X","1","2","source_copy","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/fixed-candidates/amd-instinct-mi455x-2026-08-13.html","2fa27618862c42b0b9e6eed2e5c88c360e6eac2650d9fc97bae08c6338315b47","217833","最小参考资料库/快照/AMD/MI455X/2026-08-13/amd-instinct-mi455x-2026-08-13.html","true","delete_only_if_committed_hash_matches_source"
"BUNDLE-MI455X-MI455X-SIGN-ARTIFACT-03","MI455X","1","3","source_copy","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/fixed-candidates/amd-instinct-mi455x-brochure-2026-08-13.pdf","6555fef1399a35f472e325dc61936d293e129735ec1e191d5fd0f3b6fa0c4208","659374","论文/AMD_Instinct/02_厂商产品资料/2026_AMD_Instinct_MI455X_GPU_Brochure.pdf","true","delete_only_if_committed_hash_matches_source"
"BUNDLE-MI350P-MI350P-SIGN-ARTIFACT-01","MI350P","2","1","card_copy","审计/子代理交接/m2_staging/M2-W3-AMD-MI350P-CARD/card-draft/AMD_Instinct_MI350P_PCIe_卡资料卡.md","53458fc9a9662a1c17230fddb067e4365ad4b3f2f7755d072d674ffeface3b36","18757","资料卡/AMD/产品/AMD_Instinct_MI350P_PCIe_卡资料卡.md","true","delete_only_if_committed_hash_matches_source"
"BUNDLE-MI350P-MI350P-SIGN-ARTIFACT-02","MI350P","2","2","source_copy","审计/子代理交接/m2_staging/M2-W3-AMD-MI350P-CARD/fixed-candidates/amd-instinct-mi350p-pcie-2026-08-13.html","09b3ffd469353dfb2456fc2fca67b421aa8bf5ae48be809fa64f1a30dda3c088","196285","最小参考资料库/快照/AMD/MI350P/2026-08-13/amd-instinct-mi350p-pcie-2026-08-13.html","true","delete_only_if_committed_hash_matches_source"
"BUNDLE-MI350P-MI350P-SIGN-ARTIFACT-03","MI350P","2","3","source_copy","审计/子代理交接/m2_staging/M2-W3-AMD-MI350P-CARD/fixed-candidates/amd-instinct-mi350p-product-brochure-2026-08-13.pdf","a4e93edffc6c2a03668eef72b84d85e1d2586afb331c2228595d1549609afb29","782486","论文/AMD_Instinct/02_厂商产品资料/2026_AMD_Instinct_MI350P_PCIe_Card_Brochure.pdf","true","delete_only_if_committed_hash_matches_source"
"BUNDLE-MI350P-MI350P-SIGN-ARTIFACT-04","MI350P","2","4","source_copy","审计/子代理交接/m2_staging/M2-W3-AMD-MI350P-CARD/fixed-candidates/amd-mi350p-pcie-blog-2026-08-13.html","2bc9cbb81e424e4d1c5d6912b43e7cfb1107081f159b012d8ad9cffd3b66dfb8","184522","最小参考资料库/快照/AMD/MI350P/2026-08-13/amd-mi350p-pcie-blog-2026-08-13.html","true","delete_only_if_committed_hash_matches_source"
"BUNDLE-ASCEND950-ASC950-SIGN-ARTIFACT-01","ASCEND950","3","1","card_copy","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/card-draft/华为_Ascend950_共享裸片资料卡.md","a291d3ce26c0f8958454eb9917ec742ef8fb51f39a1204c052c759baf89220c9","6420","资料卡/华为昇腾/封装/华为_Ascend950_共享裸片资料卡.md","true","delete_only_if_committed_hash_matches_source"
"BUNDLE-ASCEND950-ASC950-SIGN-ARTIFACT-02","ASCEND950","3","2","card_copy","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/card-draft/华为_Ascend950PR_封装资料卡.md","06c18287b35958d51492a6c55e170cc891aa0b005c4ddb4850b7144832940b66","6434","资料卡/华为昇腾/封装/华为_Ascend950PR_封装资料卡.md","true","delete_only_if_committed_hash_matches_source"
"BUNDLE-ASCEND950-ASC950-SIGN-ARTIFACT-03","ASCEND950","3","3","card_copy","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/card-draft/华为_Ascend950DT_封装资料卡.md","5cbe7d6169869ae94e355d1b90a1be0bf39fb1f6319b4cded7ca584ccca0e958","6335","资料卡/华为昇腾/封装/华为_Ascend950DT_封装资料卡.md","true","delete_only_if_committed_hash_matches_source"
"BUNDLE-ASCEND950-ASC950-SIGN-ARTIFACT-04","ASCEND950","3","4","source_copy","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/fixed-candidates/huawei-connect-2025-ascend-roadmap-2026-08-13.html","8bf0f453e143562c7b5f3ead61f54a35da6020689dbc20aede772da0d00d7499","132684","最小参考资料库/快照/华为/Ascend950/2026-08-13/huawei-connect-2025-ascend-roadmap-2026-08-13.html","true","delete_only_if_committed_hash_matches_source"
"BUNDLE-ASCEND950-ASC950-SIGN-ARTIFACT-05","ASCEND950","3","5","source_copy","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/fixed-candidates/hiascend-processor-2026-08-13.html","33f477a551103a772c6e7e8b1ca24f3d17af590088927e7cbf0005e5a0ba7102","155776","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-processor-2026-08-13.html","true","delete_only_if_committed_hash_matches_source"
"BUNDLE-ASCEND950-ASC950-SIGN-ARTIFACT-06","ASCEND950","3","6","source_copy","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/fixed-candidates/hiascend-processor-950dt-2026-08-13.html","6bc823f2bf7328f8fa9838f6b7b7f6ee1cde23e9ccb8b41f0d9a4067e7706b07","155931","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-processor-950dt-2026-08-13.html","true","delete_only_if_committed_hash_matches_source"
"BUNDLE-ASCEND950-ASC950-SIGN-ARTIFACT-07","ASCEND950","3","7","source_copy","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/fixed-candidates/hiascend-accelerator-card-2026-08-13.html","3cfdeba7221d272ac307a3a2ca6404433804b9d6c7922677f56216bf24c4d978","202198","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-accelerator-card-2026-08-13.html","true","delete_only_if_committed_hash_matches_source"
"BUNDLE-ASCEND950-ASC950-SIGN-ARTIFACT-08","ASCEND950","3","8","source_copy","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/fixed-candidates/hiascend-atlas350-launch-2026-08-13.html","bdf89863ce0321f24f6c42ebfebda09d62cfad3468ef953e1277f6bda240a9dd","146149","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-atlas350-launch-2026-08-13.html","true","delete_only_if_committed_hash_matches_source"
