"scope_row_id","artifact_role","commit_phase","commit_order","rollback_phase","rollback_order","target_path","precondition","candidate_sha256","backup_content","rollback_action","source_packages","audit_status"
"BUNDLE-SCOPE-001","csv_replacement","1_csv","1","2_restore_csv","20","数据/card-completeness.csv","sha256=a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b; bytes=74967","4463ba1f9724d8e23b07b96e00d6d30e01eb0fbc10b51f57ed959388bd06cf62","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-002","csv_replacement","1_csv","2","2_restore_csv","19","数据/components.csv","sha256=506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6; bytes=43819","423180b7dcc9950c6eedc7e50ee89d6aa30b6b8b3dcab644bdd4067239e58a87","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-003","csv_replacement","1_csv","3","2_restore_csv","18","数据/condition-sets.csv","sha256=c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3; bytes=59126","490f158c13fdfcaaf4ec25973288e9413ac0df89d2bc04470f1e17d64aee31bd","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-004","csv_replacement","1_csv","4","2_restore_csv","17","数据/facts.csv","sha256=7886e76bac608e8cfd0131a15d93922596bb5a0d8b16508a696c7d91877c50ea; bytes=277845","24addee6816046f5d3d1651cc4fc54e62e536a13d360c27c04bd833a89384871","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-005","csv_replacement","1_csv","5","2_restore_csv","16","数据/field-requirements.csv","sha256=de19ee1e1a3beecdf3658d4c8b302e60d43eaaf9e58acfbd369388992eb9afb2; bytes=302574","7f84f6109d3a362bdf6beae395e6213bc2aefcfb0244ab7d4440680b0c8cf9a3","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-006","csv_replacement","1_csv","6","2_restore_csv","15","数据/links.csv","sha256=71dc144abeae14c1607c75ef060f0305aa910e05823159ce4dca1b5105e9b51e; bytes=8129","647fba1e936abe640b49fe26ca33b4775f674ba3f1239e1a68bbdf7b6fd12fab","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-007","csv_replacement","1_csv","7","2_restore_csv","14","数据/memory-levels.csv","sha256=e1e6f95da738de7ae3c673ebd66707e2ddf13c411afd72c6383fd375697398fa; bytes=11348","ec06a1942df81dd64a3ebd5b972e3e09b4725eab12f218a88435a075fdfe7132","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-008","csv_replacement","1_csv","8","2_restore_csv","13","数据/precision-paths.csv","sha256=477cc547e061fd7fd2d418c38ee4c74eb56c17ec70df956666040fde04292431; bytes=23468","13b0c596036655b9b39c960be647ef616e4ed3a26d980c25fe6282c1082265f6","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-009","csv_replacement","1_csv","9","2_restore_csv","12","最小参考资料库/fact-assertions.csv","sha256=7066ed9c845dadb801047b9e4cbd2ea50f7af1c9f6d0836a9d5a5115d40fc92b; bytes=344531","284489effdbfda10a37da139ded2d68c1608004fbc93336c0cd1ff023d5dab33","exact_target_bytes","restore_exact_backup","ASCEND950+MI350P+MI455X","proposal_only_pending_bundle_signoff"
"BUNDLE-SCOPE-010","csv_replacement","1_csv","10","2_restore_csv","11","最小参考资料库/requirement-evidence.csv","sha256=8adb26e1df3e020d1a02ab3217b894b3c489a3ecfa030d186d3615c927c95b50; bytes=23331","e11d052d9900f3092d8d1bd90c3c727687d7a319586d86f6092f6da3ba489959","exact_target_bytes","restore_exact_backup","ASCEND950","proposal_only_pending_bundle_signoff"
