"prerequisite_id","category","subject","required_value","observed_value","status","blocking","notes"
"BUNDLE-PREQ-001","baseline","正式32表基线","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","satisfied","true","32/32逐表哈希匹配；组合审计后仍未变化"
"BUNDLE-PREQ-002","data_signoff","MI455X 245行数据签字","196863031761221d825309387c563553187b0ee23630002aeaeed57bbbd6084c","196863031761221d825309387c563553187b0ee23630002aeaeed57bbbd6084c","satisfied","true","242 lifecycle + 3 payload；绑定f152"
"BUNDLE-PREQ-003","data_signoff","MI350P 274行数据签字","74ac69c299f5ce817c03236ef97df4e13f08f2d6724bb1c0178376661be5dad1","74ac69c299f5ce817c03236ef97df4e13f08f2d6724bb1c0178376661be5dad1","satisfied","true","270 lifecycle + 4 payload；绑定f152"
"BUNDLE-PREQ-004","data_signoff","Ascend950 553行数据签字","0f59aa2fd893473eb1002d44816e16ace6b204259ac94e802b5f00774ea0cbd5","0f59aa2fd893473eb1002d44816e16ace6b204259ac94e802b5f00774ea0cbd5","satisfied","true","545 lifecycle + 8 payload；绑定f152"
"BUNDLE-PREQ-005","package_freeze","MI455X事务准备包","manifest c679151bd00a1bc02ffe05c4a011c2e0532df095648eab2e40b9336c5aac783f; aggregate dc0a476e4d155df21bcb9a2f9c3bbec43060f027da129ef235b58150b802b23c","same","satisfied","true","67成员，哈希与字节复算0失败"
"BUNDLE-PREQ-006","package_freeze","MI350P事务准备包","manifest c21612350bae17288e365d26f95b5f669426ba99fd33cefce746644986cb3c98; aggregate e7138b42baee6b2d138cb5d8f31593c4f6c62319fa16688e866b840d2e419949","same","satisfied","true","67成员，哈希与字节复算0失败"
"BUNDLE-PREQ-007","package_freeze","Ascend950事务准备包","manifest 91af02c00a0e75854473503628ba49c4c3b062ffaca25199486cdb01fcb7c316; aggregate a83dc6f86c06dc44daa70a76525f2ea2dc3e4047eca1e3b15bea09245f42d418","same","satisfied","true","66成员，哈希与字节复算0失败"
"BUNDLE-PREQ-008","package_transaction_review","MI455X单包事务独立签字","accept/true; SHA f4b27f7c64dde754431872720f270dbccbc975ee39db9487f3403e8c229049ea","accept/true; same SHA","satisfied","true","只授权原MI455X单包事务；不能替代组合事务签字"
"BUNDLE-PREQ-009","package_transaction_review","MI350P单包事务独立签字","accept/true，绑定冻结准备包和f152","review in progress; accept signoff absent at audit checkpoint","pending_dependency","true","未完成前不得签组合事务"
"BUNDLE-PREQ-010","package_transaction_review","Ascend950单包事务独立签字","accept/true，绑定冻结准备包和f152","review in progress; accept signoff absent at audit checkpoint","pending_dependency","true","未完成前不得签组合事务"
"BUNDLE-PREQ-011","static_union","组合写集与文件目标","1057唯一PK；15唯一payload路径；无跨包交集","1057/1057；15/15；intersection 0/0","satisfied","true","20个写表，19个为三包共享容器"
"BUNDLE-PREQ-012","guards","只读保护项并集","11个唯一guard均匹配","11/11匹配，0冲突，涉及objects.csv与object-relations.csv","satisfied","true","正式执行前必须在独占锁内重查"
"BUNDLE-PREQ-013","payload_precondition","正式payload目标不存在","15/15 absent","15/15 absent","satisfied","true","正式执行前必须在独占锁内重查"
"BUNDLE-PREQ-014","candidate_oracle","组合候选","固定顺序MI455X→MI350P→Ascend950；gate validator PASS","aggregate 5f62191bfc737535802cd6e0524b1fdf7a742ca36300db11b5a9233d4540052a; 125619 checks","satisfied_for_audit","true","临时副本验证；不构成执行授权"
"BUNDLE-PREQ-015","bundle_contract","组合事务准备包与执行器","冻结合并器、preflight、备份合同、回滚合同、预期posthash与负向门","not created","pending_dependency","true","不能直接串行调用三个单包执行器"
"BUNDLE-PREQ-016","bundle_transaction_review","组合事务独立签字","different-agent accept/true，绑定全部输入与组合事务实现","absent","pending_dependency","true","组合事务的最终执行授权"
"BUNDLE-PREQ-017","execution_runtime","专用备份根、独占锁与故障注入清空","22个既有CSV精确备份；15个不存在状态；全程独占锁；fault injection empty","required at execution","required_at_execution","true","备份根必须在正式根之外，结果目录位于备份根内"
