"component_id","owner_object_id","parent_component_id","component_domain","component_type","canonical_label","review_status","notes"
"COMP-M2NA-AMPERE-SM","OBJ-NVIDIA-AMPERE-ARCH","","control","control","Ampere Streaming Multiprocessor","draft","Architecture organization only. Enabled SM count is SKU-specific."
"COMP-M2NA-AMPERE-TENSOR","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-SM","compute","matrix","Third-generation Tensor Core","draft","Matrix path shared by Ampere data-center implementation described in the A100 architecture whitepaper."
"COMP-M2NA-AMPERE-CUDA","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-SM","compute","scalar","Ampere CUDA ALU lanes","needs_resolution","Per-thread SIMT ALU path. Scalar is the project schema classification and is not a vendor-published scalar aggregate peak."
"COMP-M2NA-AMPERE-SFU","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-SM","special_function","special_function","Ampere special-function units","draft","Child of COMP-M2NA-AMPERE-SM; its structural role is covered by FACT-M2NA-AMPERE-SM-EXEC. No standalone throughput value is asserted."
"COMP-M2NA-AMPERE-ASYNC-COPY","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-SM","data_movement","async_copy","Ampere asynchronous global-to-shared copy path","draft","Copies global memory data to shared memory without staging through the register file."
"COMP-M2NA-AMPERE-REG","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-SM","memory","memory_level","Ampere SM register file","draft","Capacity and bandwidth are not promoted from an A100 SKU."
"COMP-M2NA-AMPERE-L1SMEM","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-SM","memory","memory_level","Ampere unified L1 data cache and shared memory","draft","Combined on-SM resource. A100 capacity is not treated as universal across Ampere implementations."
"COMP-M2NA-AMPERE-L2","OBJ-NVIDIA-AMPERE-ARCH","","memory","memory_level","Ampere L2 cache","draft","Architecture-level existence only. Capacity and bandwidth depend on physical implementation."
"COMP-M2NA-ADA-SM","OBJ-NVIDIA-ADA-LOVELACE-ARCH","","control","control","Ada Streaming Multiprocessor","draft","Architecture organization only. AD102 and RTX 4090 enabled-unit counts are not architecture facts."
"COMP-M2NA-ADA-TENSOR","OBJ-NVIDIA-ADA-LOVELACE-ARCH","COMP-M2NA-ADA-SM","compute","matrix","Fourth-generation Tensor Core","draft","Ada matrix path with FP8 support."
