"precision_path_id","component_id","canonical_label","operation_class","review_status","notes"
"PPATH-M2NA-AMPERE-TENSOR-FP16","COMP-M2NA-AMPERE-TENSOR","Ampere Tensor Core FP16 matrix path","matrix","draft","FP16 operands with FP32 programmer-visible accumulation."
"PPATH-M2NA-AMPERE-TENSOR-BF16","COMP-M2NA-AMPERE-TENSOR","Ampere Tensor Core BF16 matrix path","matrix","draft","BF16 operands with FP32 programmer-visible accumulation."
"PPATH-M2NA-AMPERE-TENSOR-TF32","COMP-M2NA-AMPERE-TENSOR","Ampere Tensor Core TF32 matrix path","matrix","draft","FP32 inputs are rounded to TF32 for multiply with FP32 output interface."
"PPATH-M2NA-AMPERE-TENSOR-FP64","COMP-M2NA-AMPERE-TENSOR","Ampere Tensor Core IEEE FP64 matrix path","matrix","draft","First Tensor Core generation with IEEE FP64 matrix support."
"PPATH-M2NA-AMPERE-TENSOR-INT8","COMP-M2NA-AMPERE-TENSOR","Ampere Tensor Core INT8 and narrower integer path","matrix","draft","Includes INT8, INT4 and binary input support. Accumulation details remain separated."
"PPATH-M2NA-AMPERE-CUDA-FP32","COMP-M2NA-AMPERE-CUDA","Ampere SIMT FP32 ALU path","scalar","needs_resolution","Per-thread CUDA ALU path, not a separately published vector aggregate."
"PPATH-M2NA-ADA-TENSOR-FP8","COMP-M2NA-ADA-TENSOR","Ada Tensor Core FP8 matrix path","matrix","draft","Supports FP16 or FP32 C and D formats."
"PPATH-M2NA-ADA-TENSOR-FP16","COMP-M2NA-ADA-TENSOR","Ada Tensor Core FP16 matrix path","matrix","draft","Supports FP16 or FP32 C and D formats."
"PPATH-M2NA-ADA-TENSOR-BF16","COMP-M2NA-ADA-TENSOR","Ada Tensor Core BF16 matrix path","matrix","draft","Uses FP32 C and D formats in the architecture whitepaper table."
"PPATH-M2NA-ADA-TENSOR-TF32","COMP-M2NA-ADA-TENSOR","Ada Tensor Core TF32 matrix path","matrix","draft","Programmer-visible accumulation details follow the architecture table."
