"card_completeness_id","object_id","domain","completeness_status","assessed_date","assessor","review_status","notes"
"CC-M2NA-NVIDIA-RUBIN-ARCH-IDENTITY","OBJ-NVIDIA-RUBIN-ARCH","identity","complete","2026-08-12","m2_arch_nvidia_amd","draft","对象身份与范围已固定。"
"CC-M2NA-NVIDIA-RUBIN-ARCH-PHYSICAL","OBJ-NVIDIA-RUBIN-ARCH","physical","not_applicable","2026-08-12","m2_arch_nvidia_amd","draft","这是架构代际对象，物理实现字段单独判定。"
"CC-M2NA-NVIDIA-RUBIN-ARCH-COMPUTE","OBJ-NVIDIA-RUBIN-ARCH","compute","partial","2026-08-12","m2_arch_nvidia_amd","draft","官方观察文章给出增强 TMA、Tensor Core K 维相对吞吐、SFU 和压缩路径；缺固定白皮书与绝对架构吞吐。"
"CC-M2NA-NVIDIA-RUBIN-ARCH-NUMERICS","OBJ-NVIDIA-RUBIN-ARCH","numerics","partial","2026-08-12","m2_arch_nvidia_amd","draft","已记录 3-bit LUT 矩阵 B 与激活稀疏；完整格式矩阵、累加接口和物理位宽仍待固定 ISA。"
"CC-M2NA-NVIDIA-RUBIN-ARCH-MEMORY","OBJ-NVIDIA-RUBIN-ARCH","memory","missing_public_data","2026-08-12","m2_arch_nvidia_amd","draft","官方观察文章没有公开可归到 Rubin 架构对象的缓存层次、容量或带宽。"
"CC-M2NA-NVIDIA-RUBIN-ARCH-INTERCONNECT","OBJ-NVIDIA-RUBIN-ARCH","interconnect","partial","2026-08-12","m2_arch_nvidia_amd","draft","已记录 NVLink counted writes；双裸片封装及其中的 NV-HBI 链路已下沉，链路带宽未采用产品值。"
"CC-M2NA-NVIDIA-RUBIN-ARCH-SPECIAL_ENGINES","OBJ-NVIDIA-RUBIN-ARCH","special_engines","partial","2026-08-12","m2_arch_nvidia_amd","draft","已记录增强 TMA 与激活稀疏压缩；MoE routing/top-k 仍待固定资料核验。"
"CC-M2NA-NVIDIA-RUBIN-ARCH-SOFTWARE","OBJ-NVIDIA-RUBIN-ARCH","software","missing_public_data","2026-08-12","m2_arch_nvidia_amd","draft","Fixed Rubin snapshot does not state CUDA or another programming model; see REQ-M2NA-AVAIL-0073."
"CC-M2NA-NVIDIA-RUBIN-ARCH-EVIDENCE","OBJ-NVIDIA-RUBIN-ARCH","evidence","partial","2026-08-12","m2_arch_nvidia_amd","draft","10 条事实目前依赖同一份已固定的官方网页快照；尚无架构白皮书或 ISA 交叉核验。"
"CC-M2NA-AMD-CDNA3-ARCH-IDENTITY","OBJ-AMD-CDNA3-ARCH","identity","complete","2026-08-12","m2_arch_nvidia_amd","draft","对象身份与范围已固定。"
