"selection_member_id","selection_run_id","source_id","selected_role","mandatory_reason","review_status","notes"
"SELMEM-M2NA-AMD-CDNA2-ISA","SELRUN-M2NA-ARCH-20260812","SRC-M2NA-AMD-CDNA2-ISA","architecture_mechanism","Removing this source would leave 3 current staging facts without their selected direct evidence, including FACT-M2NA-CDNA2-BF16-ACC, FACT-M2NA-CDNA2-FP16-A, FACT-M2NA-CDNA2-FP16-ACC.","draft","Reverse-removal rerun against the remediated 185-fact set; every selected source has at least one unique supported fact."
"SELMEM-M2NA-AMD-CDNA2-WP","SELRUN-M2NA-ARCH-20260812","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","Removing this source would leave 14 current staging facts without their selected direct evidence, including FACT-M2NA-CDNA2-BF16-A, FACT-M2NA-CDNA2-CU-EXEC, FACT-M2NA-CDNA2-FP64-A.","draft","Reverse-removal rerun against the remediated 185-fact set; every selected source has at least one unique supported fact."
"SELMEM-M2NA-AMD-CDNA3-ISA","SELRUN-M2NA-ARCH-20260812","SRC-M2NA-AMD-CDNA3-ISA","architecture_mechanism","Removing this source would leave 5 current staging facts without their selected direct evidence, including FACT-M2NA-CDNA3-FP16-ACC, FACT-M2NA-CDNA3-FP8-ACC, FACT-M2NA-CDNA3-INT8-ACC.","draft","Reverse-removal rerun against the remediated 185-fact set; every selected source has at least one unique supported fact."
"SELMEM-M2NA-AMD-CDNA3-WP","SELRUN-M2NA-ARCH-20260812","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","Removing this source would leave 20 current staging facts without their selected direct evidence, including FACT-M2NA-CDNA3-CU-EXEC, FACT-M2NA-CDNA3-FP16-A, FACT-M2NA-CDNA3-FP8-A.","draft","Reverse-removal rerun against the remediated 185-fact set; every selected source has at least one unique supported fact."
"SELMEM-M2NA-AMD-CDNA4-ISA","SELRUN-M2NA-ARCH-20260812","SRC-M2NA-AMD-CDNA4-ISA","architecture_mechanism","Removing this source would leave 4 current staging facts without their selected direct evidence, including FACT-M2NA-CDNA4-FP16-ACC, FACT-M2NA-CDNA4-FP8-ACC, FACT-M2NA-CDNA4-INT8-ACC.","draft","Reverse-removal rerun against the remediated 185-fact set; every selected source has at least one unique supported fact."
"SELMEM-M2NA-AMD-CDNA4-WP","SELRUN-M2NA-ARCH-20260812","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","Removing this source would leave 34 current staging facts without their selected direct evidence, including FACT-M2NA-CDNA4-CONVERT-EXEC, FACT-M2NA-CDNA4-CONVERT-LEVEL, FACT-M2NA-CDNA4-CU-EXEC.","draft","Reverse-removal rerun against the remediated 185-fact set; every selected source has at least one unique supported fact."
"SELMEM-M2NA-AMD-CDNA5-ISA","SELRUN-M2NA-ARCH-20260812","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","Removing this source would leave 13 current staging facts without their selected direct evidence, including FACT-M2NA-CDNA5-FP4-A, FACT-M2NA-CDNA5-FP4-ACC, FACT-M2NA-CDNA5-FP4-ROUND.","draft","Reverse-removal rerun against the remediated 185-fact set; every selected source has at least one unique supported fact."
"SELMEM-M2NA-AMD-CDNA5-WP","SELRUN-M2NA-ARCH-20260812","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","Removing this source would leave 19 current staging facts without their selected direct evidence, including FACT-M2NA-CDNA5-CCACHE-CAP, FACT-M2NA-CDNA5-FP4-GRAN, FACT-M2NA-CDNA5-ICACHE-CAP.","draft","Reverse-removal rerun against the remediated 185-fact set; every selected source has at least one unique supported fact."
"SELMEM-M2NA-AMD-CDNA-LANDING","SELRUN-M2NA-ARCH-20260812","SRC-M2NA-AMD-CDNA-LANDING","architecture_mechanism","Removing this source would leave FACT-M2NA-CDNA5-IF-PROTOCOL without direct evidence for coherent on-package Infinity Fabric communication; the source is selected for that mechanism, not for generic generation identity.","draft","Reverse-removal rerun against the remediated 185-fact set; this source remains necessary for one architecture-mechanism fact."
"SELMEM-M2NA-AMD-CES2026-RELEASE","SELRUN-M2NA-ARCH-20260812","SRC-M2NA-AMD-CES2026-RELEASE","identity","Removing this source would leave 2 current staging facts without their selected direct evidence, including FACT-M2NA-CDNA6-NAME, FACT-M2NA-CDNA6-STATUS.","draft","Reverse-removal rerun against the remediated 185-fact set; every selected source has at least one unique supported fact."
