"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-M2NA-AMPERE-SM-EXEC","","COMP-M2NA-AMPERE-SM","","","","","","FIELD-COMP-EXECUTION","SIMT Streaming Multiprocessor with separate CUDA ALU, Tensor Core, load-store, special-function and control resources.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct first-party architecture statement.","component|COMP-M2NA-AMPERE-SM|FIELD-COMP-EXECUTION|SIMT Streaming Multiprocessor with separate CUDA ALU, Tensor Core, load-store, special-function and control resources.|||COND-NONE","draft",""
"FACT-M2NA-AMPERE-TENSOR-EXEC","","COMP-M2NA-AMPERE-TENSOR","","","","","","FIELD-COMP-EXECUTION","Third-generation Tensor Core matrix fused-multiply-add path.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct first-party architecture statement.","component|COMP-M2NA-AMPERE-TENSOR|FIELD-COMP-EXECUTION|Third-generation Tensor Core matrix fused-multiply-add path.|||COND-NONE","draft",""
"FACT-M2NA-AMPERE-TENSOR-FORMATS","","COMP-M2NA-AMPERE-TENSOR","","","","","","FIELD-COMP-SHARED-RESOURCE","FP16, BF16, TF32, IEEE FP64, INT8, INT4 and binary matrix formats.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct first-party architecture statement.","component|COMP-M2NA-AMPERE-TENSOR|FIELD-COMP-SHARED-RESOURCE|FP16, BF16, TF32, IEEE FP64, INT8, INT4 and binary matrix formats.|||COND-NONE","draft",""
"FACT-M2NA-AMPERE-CUDA-EXEC","","COMP-M2NA-AMPERE-CUDA","","","","","","FIELD-COMP-EXECUTION","Per-thread SIMT FP32 and integer ALU execution path.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct first-party architecture statement.","component|COMP-M2NA-AMPERE-CUDA|FIELD-COMP-EXECUTION|Per-thread SIMT FP32 and integer ALU execution path.|||COND-NONE","needs_resolution","Schema labels CUDA lanes scalar. Do not compare with AMD vector aggregates without an explicit mapping."
"FACT-M2NA-AMPERE-ASYNC-EXEC","","COMP-M2NA-AMPERE-ASYNC-COPY","","","","","","FIELD-COMP-EXECUTION","Asynchronous global-memory to shared-memory copy without register-file staging, paired with asynchronous barriers.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct first-party architecture statement.","component|COMP-M2NA-AMPERE-ASYNC-COPY|FIELD-COMP-EXECUTION|Asynchronous global-memory to shared-memory copy without register-file staging, paired with asynchronous barriers.|||COND-NONE","draft",""
"FACT-M2NA-AMPERE-L1SMEM-MGMT","","COMP-M2NA-AMPERE-L1SMEM","","","","","","FIELD-MEM-MANAGEMENT","mixed","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct first-party architecture statement.","component|COMP-M2NA-AMPERE-L1SMEM|FIELD-MEM-MANAGEMENT|mixed|||COND-NONE","draft",""
"FACT-M2NA-AMPERE-L1SMEM-SCOPE","","COMP-M2NA-AMPERE-L1SMEM","","","","","","FIELD-MEM-LOCALITY-SCOPE","core","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct first-party architecture statement.","component|COMP-M2NA-AMPERE-L1SMEM|FIELD-MEM-LOCALITY-SCOPE|core|||COND-NONE","draft",""
"FACT-M2NA-AMPERE-FP16-A","","","","","PPATH-M2NA-AMPERE-TENSOR-FP16","","","FIELD-NUM-OPERAND-A","FP16","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct first-party architecture statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-FP16|FIELD-NUM-OPERAND-A|FP16|||COND-NONE","draft",""
"FACT-M2NA-AMPERE-FP16-B","","","","","PPATH-M2NA-AMPERE-TENSOR-FP16","","","FIELD-NUM-OPERAND-B","FP16","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct first-party architecture statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-FP16|FIELD-NUM-OPERAND-B|FP16|||COND-NONE","draft",""
"FACT-M2NA-AMPERE-FP16-ACC","","","","","PPATH-M2NA-AMPERE-TENSOR-FP16","","","FIELD-NUM-ACCUMULATION","FP32","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct first-party architecture statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-FP16|FIELD-NUM-ACCUMULATION|FP32|||COND-NONE","draft",""
