"search_result_id","search_id","source_id","result_relation","review_status","notes"
"SRESULT-M2NA-0001","SEARCH-M2NA-0001","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked for this exact field and subject scope; no reliable direct support was found."
"SRESULT-M2NA-0002","SEARCH-M2NA-0002","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked for this exact field and subject scope; no reliable direct support was found."
"SRESULT-M2NA-0003","SEARCH-M2NA-0003","SRC-M2NA-NVIDIA-ADA-WP-2022","checked_no_support","draft","Checked for this exact field and subject scope; no reliable direct support was found."
"SRESULT-M2NA-0004","SEARCH-M2NA-0004","SRC-M2NA-NVIDIA-ADA-WP-2022","checked_no_support","draft","Checked for this exact field and subject scope; no reliable direct support was found."
"SRESULT-M2NA-0005","SEARCH-M2NA-0005","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","checked_no_support","draft","Checked for this exact field and subject scope; no reliable direct support was found."
"SRESULT-M2NA-0006","SEARCH-M2NA-0005","SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024","checked_no_support","draft","Checked for this exact field and subject scope; no reliable direct support was found."
"SRESULT-M2NA-0007","SEARCH-M2NA-0005","SRC-M2NA-NVIDIA-PTX-ISA-9-3","checked_no_support","draft","Checked for this exact field and subject scope; no reliable direct support was found."
"SRESULT-M2NA-0008","SEARCH-M2NA-0006","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","checked_no_support","draft","Checked for this exact field and subject scope; no reliable direct support was found."
"SRESULT-M2NA-0009","SEARCH-M2NA-0006","SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024","checked_no_support","draft","Checked for this exact field and subject scope; no reliable direct support was found."
"SRESULT-M2NA-0010","SEARCH-M2NA-0006","SRC-M2NA-NVIDIA-PTX-ISA-9-3","checked_no_support","draft","Checked for this exact field and subject scope; no reliable direct support was found."
"SRESULT-M2NA-0011","SEARCH-M2NA-0007","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","checked_no_support","draft","Checked for this exact field and subject scope; no reliable direct support was found."
