"relative_path","sha256","bytes"
"AGENTS.md","0fe214762cf325de289371a9ab5b1c5661cb6c8c4f60e2d5130e52d26e475824","17094"
"README.md","09de75e06020a00a4c954baf92b46f9303acd215b06b5fd554b85875082f05d7","7578"
"进度/当前状态.md","6cef855d4771fa5ff8abd97c2a2e7fe0fb9ce4d53fcd5fab575b8d43627c1ff9","7177"
"进度/决策记录.md","e57c7949a33bdfb1aba706639bfde41d42989db67e4d49d9e5ee003a8be4a104","20205"
"进度/里程碑.md","2ad0fb354689dc96886ba6109512c8e3742a72f2e1ec6d71bdaf841bf6c252cf","5091"
"进度/任务台账.csv","2d805b0d139c83d03cc742d081834ba6584d742d929b9bc25d996db18a268d07","21748"
"数据/card-completeness.csv","1c170fe5cbbcebdf7c02311b0b5b1272dbe7a6487bb98f5c90db85e1af5c04de","58053"
"数据/components.csv","6c7aea0e3dcafbe7247e61b26425128e0c6e1209fb6ca5c7f974237cedec73da","38298"
"数据/condition-sets.csv","d51884548a0b20cd39c2d2e134c5a78b26a9328d9aa1b188d1435f0d0f5bdac1","50844"
"数据/derived-inputs.csv","96d13946334cecf0ba6ceff6cdc360869a837e8b2868d91ff4ce4af27ccc6a43","7537"
"数据/derived-metrics.csv","7e33d6bf8e766e9ef9b318247035c660c0feca9d614bf4da5aa1817b94cfc6c9","7218"
"数据/enums.csv","5864354d6cd26237ff9495e23e0121feb6a7a665f37dcbd1b00b8646e3211474","63887"
"数据/facts.csv","634aba9d93229219ddd4da9952612e97841c1937c9d032b45fa4c3ff42f3dea2","245572"
"数据/field-requirements.csv","429dd029364820a8f5e428f62edaf4c80ae692230af13a7b7090eb1b32a4bc19","270428"
"数据/fields.csv","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","23396"
"数据/links.csv","a4475914fd51e4ff3f2fddf90048b5112f8f019e649d35090d4c74ece988dd61","6938"
"数据/memory-levels.csv","e94b1dd30d3030dc62f7a054b4e2932566a59ed2eae5dee145b8fe6e9d220c3a","10503"
"数据/object-relations.csv","6102a347f1a7575bbb9db23701f93de85d0dfd1cc32d729a0a2f7e2ff257b116","6654"
"数据/objects.csv","13a001e67f8ba83d5a236a75f51aab5454e690174bf421a3e663786180334bec","15482"
"数据/precision-paths.csv","c95f39dedad8332bcc2d4eac031f0b6eb76301af7c72d4ede144724f783cdd2c","19052"
"数据/schema-columns.csv","85129e57f6ab927cac43ca820d7b8df6558516f956bb1525ffca615f66654a6b","68583"
"数据/special-capabilities.csv","ce59d773611e84a22f8f66a3fe78ac79fc6f655f1ca976da16ec0942c72bf59b","17292"
"数据/topologies.csv","2e6ff67fc379a7c57d73098dfb953379ae24647a790567ff1d859e825d2042b9","778"
"数据/vendors.csv","10aaf2440ab727f2d887f0c72a1cb8397cc88aaccf8850d7cf8ca6c242efa156","588"
"研究计划.md","0317ebb29cd4183382e3d2284943895ede7cecb70238c7cd5720e25b2898cd96","41008"
"资料卡/型号索引.md","5f1e7f38325ea9c96246f821749c9466ccd54b974b97e198c993d8fdd68ae7d4","6591"
"最小参考资料库/conflict-groups.csv","a4323d659716a5aec1fc678bdc9d2db42858224ce5da2a3b38e1e927f71ddaed","8185"
"最小参考资料库/conflict-members.csv","34c3d8a6fd34c8d4a481fd4198c271e1c7180bff59fec74e920a90755d2f2409","8366"
"最小参考资料库/fact-assertions.csv","173bb2406374c25767aaff6404bc2e9854e5ef133a154668ab167e9be367c0bf","301549"
"最小参考资料库/requirement-evidence.csv","8adb26e1df3e020d1a02ab3217b894b3c489a3ecfa030d186d3615c927c95b50","23331"
"最小参考资料库/search-log.csv","8a15366bb59f960e318491b4f4ccb01887accbefbdf316a535fc07c7f30decca","104962"
"最小参考资料库/search-results.csv","1bcab32728aba2505307c993bd45c2974acfce3a2e10190301e4f68621cedc70","66221"
"最小参考资料库/selection-members.csv","92adb3f75751890bd2058c543fa46533466446b6f133ab0f2ecadc58e46448d6","27094"
"最小参考资料库/selection-runs.csv","b5fc490c624b30c74518d5c1367a4d178a3c1a80bf063a4819020dff03cbd392","1705"
"最小参考资料库/source-coverage.csv","ecf62408eb204638ba7277f3bfe48de88e04a96601fa43f5e13f7a09e11524e3","5962"
"最小参考资料库/source-endpoints.csv","8de1ee64763e2f2c7e24c995e776d343033d782f3c0458c1e4be2b3515df8d1a","39637"
"最小参考资料库/source-families.csv","230cf8575a4028cb4be820a44ff6c6ab7ad56899aafa3e9e0c4526d53fd9ad04","13720"
"最小参考资料库/sources.csv","3fff1fbfa2a880525432ff414cfb5cceb2db8baa474d43a4be97ada767580c22","28963"
"最小参考资料库/source-screening.csv","c06ea015aa97627f7324f518dbf58080f227521e81960f275c2cfca2fd49f968","27850"
"最小参考资料库/source-selected-roles.csv","c0ae7c4716d7336a4ac0beb8d3a41e6a32cc1794029dc624146093d0ba71f53a","15428"
