"Path","Hash"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\scripts\validation\Test-SourcePool.ps1","A61062A626B6D95A070A0047D5769FF0EA3ECD85BEC1A15C0AF6DD476A4F3AC6"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\数据\card-completeness.csv","36E03595DEEE1469699688D8FA32C5903C2F96CFE94424C7F7B2B7379DDE5CA7"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\数据\components.csv","C066BEF7EBE3C2397493B5F253592898FD8C32F336F4153BA690145AC27671A2"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\数据\facts.csv","50538649CA354F6B7DAEA7B762A0C958A95D2B6F0A3D865AF4DA8363D9730E2F"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\数据\field-requirements.csv","D59292E477D2CF919F3EE2EE53C409A532D9080B0E0BC49FBBF3FEB8B8FB9A9B"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\数据\links.csv","7E444F878A67851057E2F5DBDE886C3F56F88548CB7D595C32E85B24175D6003"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\数据\memory-levels.csv","5677DB17756CC44E37E4540720BCB2B83DDA230CA30815E3B80D1A4605E14BA3"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\数据\precision-paths.csv","2226E7F0272ACE8FF335245808E4C239E833EF072E37FB122818A7558405A3D9"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\数据\special-capabilities.csv","321A5A6C773DE7FCD426D6F08D3AF17DA0829093F8B489F1512AB508CB900B79"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\数据\topologies.csv","24AE47813C5D99D3C0AF2D67B4FEE27923EFF0A9FE60DA99E68838E4E6351668"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\最小参考资料库\fact-assertions.csv","ED118427B25FA98881B82BB19879C51DBBB91758475C6AC17B54D21DB773148C"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\最小参考资料库\requirement-evidence.csv","84D5D5485966FB360A0916AD167E47D58B9C81BFB79EACFA9DA679E9B5B99C55"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\最小参考资料库\search-log.csv","F3F87A50D4B7EFD87136070619258A002CC9188500F0B6ABC5A1D2E5F4CBDDE5"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\最小参考资料库\search-results.csv","E8752B8DAC540CB5E47F32D40C1437C9F11D52BAA0C746CF01B20C5DDC0217FC"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\最小参考资料库\selection-members.csv","1400CE59132193BCAB38CCD6ED0F54D6BC9FEBAD9494F11B7C381BB007981447"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\最小参考资料库\selection-runs.csv","3F5AD4810D99C8F81C4C3355C5CDF6F8A0888ED139C3C35B0711227825AEC4E0"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\最小参考资料库\source-coverage.csv","F6711AAE378BCAC87010D56E3CEBFC371B9CAACBD58E8D353417DFE92C294CEE"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\最小参考资料库\source-endpoints.csv","4CA0D41CFBE5EEE37E7E5D3BB0EE47A25AE0D6F0101880ED54238BDFFFC4E44E"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\最小参考资料库\source-families.csv","8DB82DF7CAA3675ED12267C5DAB11171B928129C327D9A675C10B0CD38710975"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\最小参考资料库\source-screening.csv","4E605B70D617417FFEB6E35758A1C577C6A0A91EECEE86A9C78AB67F8945668F"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\最小参考资料库\source-selected-roles.csv","E2A4DAD6E6B87EA28B39B040380AA94C6C195E7316436FC3089CB1FAD6D50342"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\最小参考资料库\sources.csv","DA5A125574C6B95D84619E274D834430F1C9FAA90DD24C7A641E644708279151"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\清单\汇总统计.json","D07C45E52E9214CEE416A843A8E77F5F982BF7EB21D8BB80B81A736A7D298770"
"D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\合并备份\M2-GHC-ARCH-20260812\清单\论文PDF清单.csv","AF156C11BBFA6CA81096E776B91FF3B0AE303515855FCCE0B37195434E4EA313"
