"derived_metric_id","derived_fact_id","formula_id","formula_expression","output_unit","scope_check_status","precision_check_status","direction_check_status","review_status","notes"
"DERMET-NVIDIA-H100-COMPUTE-BW-FP64-TENSOR","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP64-TENSOR","FORMULA-COMPUTE-DIV-MEMBW","dense theoretical peak throughput / current HBM3 nameplate bandwidth","FLOP/byte","passed","passed","passed","draft","Both inputs are per H100 SXM5 object. HBM direction is vendor-nameplate unspecified; retained as a specification ratio rather than sustained measurement."
"DERMET-NVIDIA-H100-COMPUTE-BW-TF32","FACT-NVIDIA-H100-DER-COMPUTE-BW-TF32","FORMULA-COMPUTE-DIV-MEMBW","dense theoretical peak throughput / current HBM3 nameplate bandwidth","FLOP/byte","passed","passed","passed","draft","Both inputs are per H100 SXM5 object. HBM direction is vendor-nameplate unspecified; retained as a specification ratio rather than sustained measurement."
"DERMET-NVIDIA-H100-COMPUTE-BW-FP64-CUDA","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP64-CUDA","FORMULA-COMPUTE-DIV-MEMBW","dense theoretical peak throughput / current HBM3 nameplate bandwidth","FLOP/byte","passed","passed","passed","draft","Both inputs are per H100 SXM5 object. HBM direction is vendor-nameplate unspecified; retained as a specification ratio rather than sustained measurement."
"DERMET-NVIDIA-H100-COMPUTE-BW-FP16-TENSOR","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP16-TENSOR","FORMULA-COMPUTE-DIV-MEMBW","dense theoretical peak throughput / current HBM3 nameplate bandwidth","FLOP/byte","passed","passed","passed","draft","Both inputs are per H100 SXM5 object. HBM direction is vendor-nameplate unspecified; retained as a specification ratio rather than sustained measurement."
"DERMET-NVIDIA-H100-COMPUTE-BW-BF16-TENSOR","FACT-NVIDIA-H100-DER-COMPUTE-BW-BF16-TENSOR","FORMULA-COMPUTE-DIV-MEMBW","dense theoretical peak throughput / current HBM3 nameplate bandwidth","FLOP/byte","passed","passed","passed","draft","Both inputs are per H100 SXM5 object. HBM direction is vendor-nameplate unspecified; retained as a specification ratio rather than sustained measurement."
"DERMET-NVIDIA-H100-COMPUTE-BW-FP32-CUDA","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP32-CUDA","FORMULA-COMPUTE-DIV-MEMBW","dense theoretical peak throughput / current HBM3 nameplate bandwidth","FLOP/byte","passed","passed","passed","draft","Both inputs are per H100 SXM5 object. HBM direction is vendor-nameplate unspecified; retained as a specification ratio rather than sustained measurement."
"DERMET-NVIDIA-H100-COMPUTE-BW-FP8","FACT-NVIDIA-H100-DER-COMPUTE-BW-FP8","FORMULA-COMPUTE-DIV-MEMBW","dense theoretical peak throughput / current HBM3 nameplate bandwidth","FLOP/byte","passed","passed","passed","draft","Both inputs are per H100 SXM5 object. HBM direction is vendor-nameplate unspecified; retained as a specification ratio rather than sustained measurement."
"DMET-AWS-TRN2-001","FACT-AWS-TRN2-CHIP-FP8-DENSE-DER8","FORMULA-AWS-TRN2-CORE-X8","8 * per_core_throughput","FLOP/s","passed","passed","passed","draft","公开每 NCv3 峰值乘以芯片内 8 个 NCv3；不覆盖冲突的官方芯片总值"
"DMET-AWS-TRN2-002","FACT-AWS-TRN2-CHIP-BF16-DENSE-DER8","FORMULA-AWS-TRN2-CORE-X8","8 * per_core_throughput","FLOP/s","passed","passed","passed","draft","公开每 NCv3 峰值乘以芯片内 8 个 NCv3；不覆盖冲突的官方芯片总值"
"DMET-AWS-TRN2-003","FACT-AWS-TRN2-CHIP-FP16-DENSE-DER8","FORMULA-AWS-TRN2-CORE-X8","8 * per_core_throughput","FLOP/s","passed","passed","passed","draft","公开每 NCv3 峰值乘以芯片内 8 个 NCv3；不覆盖冲突的官方芯片总值"
