"path","role","sha256","bytes","utf8_bom","crlf","bare_lf","bare_cr","final_newline"
"审计/字段主体合同全库预审.csv","no_write_input_guard","447ffbc05cbe387028037d5c30a8f218993712cfbe6063146a8c2b324d2855f5","36054","false","133","0","0","true"
"数据/schema-columns.csv","required_backup_write","85129e57f6ab927cac43ca820d7b8df6558516f956bb1525ffca615f66654a6b","68583","false","324","0","0","true"
"数据/fields.csv","required_backup_write","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","23396","false","121","0","0","true"
"数据/field-requirements.csv","required_backup_write","e1df2c5584bfbaccdf4352ba8f7a7d2783250d9982473a3d15b649e5521bc62a","273071","false","793","0","0","true"
"scripts/validation/Validate-ResearchData.ps1","required_backup_write","66daa54b3273bbdf4f44368a9fb0791816e7e44521e645f6d47ae82f0c3d2f38","15816","true","1","313","0","false"
"数据/facts.csv","no_write_guard","55a75c496c304062371ce38e566ee839060ee0706259b0b6e24442fb70b9ae3d","250537","false","622","0","0","true"
"数据/enums.csv","no_write_guard","5864354d6cd26237ff9495e23e0121feb6a7a665f37dcbd1b00b8646e3211474","63887","false","489","0","0","true"
"数据/objects.csv","no_write_input_guard","54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7","16349","false","79","0","0","true"
"数据/components.csv","no_write_input_guard","b7d7e6ccaeefad98dd6b92724eba60390b06f2da66d820e6441e15b32485d380","38736","false","228","0","0","true"
"数据/links.csv","no_write_input_guard","b3b55f4526bfdb9db5ecd848457d87ffc3fa27002d208a109924df40375d0a8d","7430","false","36","0","0","true"
"数据/object-relations.csv","no_write_input_guard","9bbe32227f7022a5f9e4fe379d805e60780c15d6987e5b20e3b94ac3241fa353","7633","false","28","0","0","true"
"数据/precision-paths.csv","no_write_input_guard","a57944459ff3bb927e5e8b08b119c65e633436dfc59b392f12810420eb2e75b4","20005","false","123","0","0","true"
"数据/special-capabilities.csv","no_write_input_guard","ce59d773611e84a22f8f66a3fe78ac79fc6f655f1ca976da16ec0942c72bf59b","17292","false","96","0","0","true"
"数据/topologies.csv","no_write_input_guard","3002be526aba90d9c646b1fc00d1e63e1c495713c8ee165ef02f11949915c8d8","1105","false","6","0","0","true"
"数据/derived-metrics.csv","no_write_input_guard","7e33d6bf8e766e9ef9b318247035c660c0feca9d614bf4da5aa1817b94cfc6c9","7218","false","25","0","0","true"
"数据/derived-inputs.csv","no_write_input_guard","96d13946334cecf0ba6ceff6cdc360869a837e8b2868d91ff4ce4af27ccc6a43","7537","false","48","0","0","true"
"最小参考资料库/fact-assertions.csv","no_write_input_guard","be571472611c65a73ff526f77383631f0df61c70e0b3a57d2bfd6f65cbfb089e","311184","false","612","0","0","true"
