"pk","field_id","current_kind","current_id","proposed_kind","proposed_id"
"REQ-AWS-TRN2-0175","FIELD-DER-COMPUTE-BW-SPEC","precision_path","PP-AWS-TRN2-TENSOR-FP8","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP8"
"REQ-AWS-TRN2-0176","FIELD-DER-COMPUTE-BW-SPEC","precision_path","PP-AWS-TRN2-TENSOR-BF16","precision_path","PP-AWS-TRN2-CHIP-TENSOR-BF16"
"REQ-AWS-TRN2-0177","FIELD-DER-COMPUTE-BW-SPEC","precision_path","PP-AWS-TRN2-TENSOR-FP32","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP32"
"REQ-AWS-TRN2-0178","FIELD-DER-COMPUTE-BW-SPEC","precision_path","PP-AWS-TRN2-TENSOR-FP8","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP8"
"REQ-GROQ-LPU1-ROUNDING-MODE","FIELD-NUM-ROUNDING","object","OBJ-GROQ-LPU1-ARCH","component","CMP-GROQ-LPU1-MXM"
"REQ-M2GA-G8I-FP4-ACCUM","FIELD-NUM-ACCUMULATION","object","OBJ-GOOGLE-TPU-8I-ARCH","precision_path","PP-M2GA-G8I-FP4"
"REQ-M2GA-G8I-ICI-PROTOCOL-DETAIL","FIELD-INT-PROTOCOL","object","OBJ-GOOGLE-TPU-8I-ARCH","link","LINK-M2GA-G8I-ICI"
"REQ-M2GA-G8T-LDE-DETAIL","FIELD-CAP-IMPLEMENTATION-DETAIL","object","OBJ-GOOGLE-TPU-8T-ARCH","capability","CAP-M2GA-G8T-LDE"
"REQ-NVG3-MXM-ACCUM","FIELD-NUM-ACCUMULATION","object","OBJ-NVIDIA-GROQ3-ARCH","component","CMP-NVG3-MXM"
"REQ-NVG3-MXM-EXACT-FORMATS","FIELD-NUM-OPERAND-A","object","OBJ-NVIDIA-GROQ3-ARCH","component","CMP-NVG3-MXM"
"REQ-NVG3-MXM-PHYSICAL-ACCUM","FIELD-NUM-PHYSICAL-ACCUM","object","OBJ-NVIDIA-GROQ3-ARCH","component","CMP-NVG3-MXM"
"REQ-NVG3-VXM-FORMATS","FIELD-NUM-OPERAND-A","object","OBJ-NVIDIA-GROQ3-ARCH","component","CMP-NVG3-VXM"
