"memory_level_id","parent_memory_level_id","level_class","canonical_label","review_status","notes"
"CMP-M2GA-GV3-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-GV3-VMEM","CMP-M2GA-GV3-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-GV4-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-GV4-VMEM","CMP-M2GA-GV4-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-GV5E-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-GV5E-VMEM","CMP-M2GA-GV5E-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-GV5P-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-GV5P-VMEM","CMP-M2GA-GV5P-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-GV6E-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-GV6E-VMEM","CMP-M2GA-GV6E-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-G7X-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-G7X-VMEM","CMP-M2GA-G7X-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-G8T-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-G8T-VMEM","CMP-M2GA-G8T-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-G8I-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-G8I-VMEM","CMP-M2GA-G8I-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-AIF1-SBUF","","local_scratchpad","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-ATRN1-SBUF","","local_scratchpad","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-ATRN1-PSUM","CMP-M2GA-ATRN1-SBUF","accumulator_store","PSUM accumulator store","draft",""
"CMP-M2GA-AIF2-SBUF","","local_scratchpad","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-AIF2-PSUM","CMP-M2GA-AIF2-SBUF","accumulator_store","PSUM accumulator store","draft",""
"CMP-M2GA-ATRN3-SBUF","","local_scratchpad","Software-managed SRAM / SBUF","draft",""
"CMP-M2GA-ATRN3-PSUM","CMP-M2GA-ATRN3-SBUF","accumulator_store","PSUM accumulator store","draft",""
"CMP-M2GA-AIF1-DEVMEM","","ddr","Device DRAM","draft",""
"CMP-M2GA-ATRN1-DEVMEM","","hbm","Device HBM","draft",""
"CMP-M2GA-AIF2-DEVMEM","","hbm","Device HBM","draft",""
"CMP-M2GA-ATRN3-DEVMEM","","hbm","Device HBM","draft",""
"CMP-M2GA-GV4-CMEM","CMP-M2GA-GV4-HBM","shared_scratchpad","Common memory (CMEM)","draft",""
"CMP-M2GA-GV3-SPMEM","CMP-M2GA-GV3-HBM","local_scratchpad","SparseCore local scratchpad (SPMEM)","draft",""
"CMP-M2GA-GV4-SPMEM","CMP-M2GA-GV4-HBM","local_scratchpad","SparseCore local scratchpad (SPMEM)","draft",""
"CMP-M2GA-GV5P-SPMEM","CMP-M2GA-GV5P-HBM","local_scratchpad","SparseCore local scratchpad (SPMEM)","draft",""
"CMP-M2GA-GV6E-SPMEM","CMP-M2GA-GV6E-HBM","local_scratchpad","SparseCore local scratchpad (SPMEM)","draft",""
"CMP-M2GA-G7X-SPMEM","CMP-M2GA-G7X-HBM","local_scratchpad","SparseCore local scratchpad (SPMEM)","draft",""
