"link_id","owner_object_id","endpoint_a_id","endpoint_b_id","link_level","canonical_label","review_status","notes"
"LINK-M2GA-GV3-ICI","OBJ-GOOGLE-TPU-V3-ARCH","OBJ-GOOGLE-TPU-V3-ARCH","","device_direct","External ICI contract","draft","链路数量与带宽下沉实现对象"
"LINK-M2GA-GV4-ICI","OBJ-GOOGLE-TPU-V4-ARCH","OBJ-GOOGLE-TPU-V4-ARCH","","device_direct","External ICI contract","draft","链路数量与带宽下沉实现对象"
"LINK-M2GA-GV5E-ICI","OBJ-GOOGLE-TPU-V5E-ARCH","OBJ-GOOGLE-TPU-V5E-ARCH","","device_direct","External ICI contract","draft","链路数量与带宽下沉实现对象"
"LINK-M2GA-GV5P-ICI","OBJ-GOOGLE-TPU-V5P-ARCH","OBJ-GOOGLE-TPU-V5P-ARCH","","device_direct","External ICI contract","draft","链路数量与带宽下沉实现对象"
"LINK-M2GA-GV6E-ICI","OBJ-GOOGLE-TPU-V6E-ARCH","OBJ-GOOGLE-TPU-V6E-ARCH","","device_direct","External ICI contract","draft","链路数量与带宽下沉实现对象"
"LINK-M2GA-G7X-ICI","OBJ-GOOGLE-TPU7X-ARCH","OBJ-GOOGLE-TPU7X-ARCH","","device_direct","External ICI contract","draft","链路数量与带宽下沉实现对象"
"LINK-M2GA-G8I-ICI","OBJ-GOOGLE-TPU-8I-ARCH","OBJ-GOOGLE-TPU-8I-ARCH","","device_direct","External ICI endpoint","draft","链路数量与带宽下沉实现对象"
"LINK-M2GA-ATRN1-NL","OBJ-AWS-TRAINIUM1-ARCH","OBJ-AWS-TRAINIUM1-ARCH","","device_direct","NeuronLink-v2","draft","接口数量与总带宽下沉实现对象"
"LINK-M2GA-AIF2-NL","OBJ-AWS-INFERENTIA2-ARCH","OBJ-AWS-INFERENTIA2-ARCH","","device_direct","NeuronLink-v2","draft","接口数量与总带宽下沉实现对象"
"LINK-M2GA-ATRN3-NL","OBJ-AWS-TRAINIUM3-ARCH","OBJ-AWS-TRAINIUM3-ARCH","","device_direct","NeuronLink-v4","draft","接口数量与总带宽下沉实现对象"
