"capability_id","owner_object_id","component_id","capability_type","canonical_label","review_status","notes"
"CAP-M2GA-GV3-SPARSE","OBJ-GOOGLE-TPU-V3-ARCH","CMP-M2GA-GV3-SPARSE","sparse_skip","SparseCore sparse/embedding acceleration","draft",""
"CAP-M2GA-GV4-SPARSE","OBJ-GOOGLE-TPU-V4-ARCH","CMP-M2GA-GV4-SPARSE","sparse_skip","SparseCore sparse/embedding acceleration","draft",""
"CAP-M2GA-GV5P-SPARSE","OBJ-GOOGLE-TPU-V5P-ARCH","CMP-M2GA-GV5P-SPARSE","sparse_skip","SparseCore sparse/embedding acceleration","draft",""
"CAP-M2GA-GV6E-SPARSE","OBJ-GOOGLE-TPU-V6E-ARCH","CMP-M2GA-GV6E-SPARSE","sparse_skip","SparseCore sparse/embedding acceleration","draft",""
"CAP-M2GA-G7X-SPARSE","OBJ-GOOGLE-TPU7X-ARCH","CMP-M2GA-G7X-SPARSE","sparse_skip","SparseCore sparse/embedding acceleration","draft",""
"CAP-M2GA-G8T-SPARSE","OBJ-GOOGLE-TPU-8T-ARCH","CMP-M2GA-G8T-SPARSE","sparse_skip","SparseCore sparse/embedding acceleration","draft",""
"CAP-M2GA-G8T-LDE","OBJ-GOOGLE-TPU-8T-ARCH","CMP-M2GA-G8T-LDE","other","LLM Decoder Engine","draft",""
"CAP-M2GA-G8T-ALLGATHER","OBJ-GOOGLE-TPU-8T-ARCH","CMP-M2GA-G8T-SPARSE","collective_offload","Data-dependent all-gather offload","draft",""
"CAP-M2GA-G8T-TPUDIRECT","OBJ-GOOGLE-TPU-8T-ARCH","","other","TPUDirect RDMA and storage path","draft",""
"CAP-M2GA-G8I-CAE","OBJ-GOOGLE-TPU-8I-ARCH","CMP-M2GA-G8I-CAE","collective_offload","CAE collective/reduction offload","draft",""
"CAP-M2GA-ATRN1-COLLECTIVE","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-CC","collective_offload","Collective communication offload","draft",""
"CAP-M2GA-AIF2-COLLECTIVE","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-CC","collective_offload","Collective communication offload","draft",""
"CAP-M2GA-ATRN3-COLLECTIVE","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-CC","collective_offload","Collective communication offload","draft",""
"CAP-M2GA-GV4-SORT","OBJ-GOOGLE-TPU-V4-ARCH","CMP-M2GA-GV4-SPARSE","sort","SparseCore cross-lane sort/filter/prefix operations","draft",""
"CAP-M2GA-GV5P-SORT","OBJ-GOOGLE-TPU-V5P-ARCH","CMP-M2GA-GV5P-SPARSE","sort","SparseCore cross-lane sort/filter/prefix operations","draft",""
"CAP-M2GA-GV6E-SORT","OBJ-GOOGLE-TPU-V6E-ARCH","CMP-M2GA-GV6E-SPARSE","sort","SparseCore cross-lane sort/filter/prefix operations","draft",""
"CAP-M2GA-ATRN1-COMPRESS","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-DMA","compression","Inline DMA compression","draft",""
"CAP-M2GA-ATRN1-DECOMPRESS","OBJ-AWS-TRAINIUM1-ARCH","CMP-M2GA-ATRN1-DMA","decompression","Inline DMA decompression","draft",""
"CAP-M2GA-AIF2-COMPRESS","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-DMA","compression","Inline DMA compression","draft",""
"CAP-M2GA-AIF2-DECOMPRESS","OBJ-AWS-INFERENTIA2-ARCH","CMP-M2GA-AIF2-DMA","decompression","Inline DMA decompression","draft",""
"CAP-M2GA-ATRN3-SPARSE","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-TENSOR","sparse_skip","NCv4 structured sparsity","draft",""
"CAP-M2GA-ATRN3-NEARMEM","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-DMA","other","SBUF read-add-write accumulation","draft",""
"CAP-M2GA-ATRN3-BGTRANSPOSE","OBJ-AWS-TRAINIUM3-ARCH","CMP-M2GA-ATRN3-TENSOR","other","Background transpose","draft",""
"CAP-M2GA-ATRN3-INDIRECT","OBJ-AWS-TRAINIUM3-ARCH","","other","Indirect SBUF/PSUM gather-scatter","draft",""
