"card_completeness_id","object_id","domain","completeness_status","assessed_date","assessor","review_status","notes"
"COMPLETE-M2GA-GOOGLE_TPU_V3_ARCH-IDENTITY","OBJ-GOOGLE-TPU-V3-ARCH","identity","complete","2026-08-12","m2_arch_google_aws","draft","按架构对象公开程度评估"
"COMPLETE-M2GA-GOOGLE_TPU_V3_ARCH-PHYSICAL","OBJ-GOOGLE-TPU-V3-ARCH","physical","not_applicable","2026-08-12","m2_arch_google_aws","draft","架构对象只写物理实现边界，定值下沉"
"COMPLETE-M2GA-GOOGLE_TPU_V3_ARCH-COMPUTE","OBJ-GOOGLE-TPU-V3-ARCH","compute","partial","2026-08-12","m2_arch_google_aws","draft","按架构对象公开程度评估"
"COMPLETE-M2GA-GOOGLE_TPU_V3_ARCH-NUMERICS","OBJ-GOOGLE-TPU-V3-ARCH","numerics","partial","2026-08-12","m2_arch_google_aws","draft","按架构对象公开程度评估"
"COMPLETE-M2GA-GOOGLE_TPU_V3_ARCH-MEMORY","OBJ-GOOGLE-TPU-V3-ARCH","memory","partial","2026-08-12","m2_arch_google_aws","draft","按架构对象公开程度评估"
"COMPLETE-M2GA-GOOGLE_TPU_V3_ARCH-INTERCONNECT","OBJ-GOOGLE-TPU-V3-ARCH","interconnect","partial","2026-08-12","m2_arch_google_aws","draft","按架构对象公开程度评估"
"COMPLETE-M2GA-GOOGLE_TPU_V3_ARCH-SPECIAL_ENGINES","OBJ-GOOGLE-TPU-V3-ARCH","special_engines","partial","2026-08-12","m2_arch_google_aws","draft","按架构对象公开程度评估"
"COMPLETE-M2GA-GOOGLE_TPU_V3_ARCH-SOFTWARE","OBJ-GOOGLE-TPU-V3-ARCH","software","partial","2026-08-12","m2_arch_google_aws","draft","按架构对象公开程度评估"
"COMPLETE-M2GA-GOOGLE_TPU_V3_ARCH-EVIDENCE","OBJ-GOOGLE-TPU-V3-ARCH","evidence","complete","2026-08-12","m2_arch_google_aws","draft","按架构对象公开程度评估"
"COMPLETE-M2GA-GOOGLE_TPU_V4_ARCH-IDENTITY","OBJ-GOOGLE-TPU-V4-ARCH","identity","complete","2026-08-12","m2_arch_google_aws","draft","按架构对象公开程度评估"
"COMPLETE-M2GA-GOOGLE_TPU_V4_ARCH-PHYSICAL","OBJ-GOOGLE-TPU-V4-ARCH","physical","not_applicable","2026-08-12","m2_arch_google_aws","draft","架构对象只写物理实现边界，定值下沉"
"COMPLETE-M2GA-GOOGLE_TPU_V4_ARCH-COMPUTE","OBJ-GOOGLE-TPU-V4-ARCH","compute","partial","2026-08-12","m2_arch_google_aws","draft","按架构对象公开程度评估"
