"source_family_id","canonical_title","family_kind","publisher_or_organization","persistent_work_id","review_status","notes"
"SFAM-M2-GA-A01","Inferentia Architecture","dynamic_page_history","AWS Neuron","src-m2-ga-a01","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-A02","NeuronCore-v1 Architecture","document_revision_series","AWS Neuron","src-m2-ga-a02","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-A03","Trainium Architecture","document_revision_series","AWS Neuron","src-m2-ga-a03","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-A04","Inferentia2 Architecture","document_revision_series","AWS Neuron","src-m2-ga-a04","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-A05","Trainium/Inferentia2 Architecture Guide for NKI","document_revision_series","AWS Neuron","src-m2-ga-a05","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-A06","Trainium3 Architecture","document_revision_series","AWS Neuron","src-m2-ga-a06","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-A07","Trainium3 Architecture Guide for NKI","dynamic_page_history","AWS Neuron","src-m2-ga-a07","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-A08","Announcing Amazon EC2 Trn3 UltraServers","event_material_set","AWS","src-m2-ga-a08","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-A09","Amazon.com Announces Fourth Quarter Results","event_material_set","Amazon Investor Relations","src-m2-ga-a09","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-A10","NeuronCore-v4 Architecture","document_revision_series","AWS Neuron","src-m2-ga-a10","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G01","Google Training Supercomputers from TPU v2 to Ironwood","publication_versions","Google","src-m2-ga-g01","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G02","A Domain-Specific Supercomputer for Training Deep Neural Networks","publication_versions","Google","src-m2-ga-g02","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G03","TPU v4: An Optically Reconfigurable Supercomputer for Machine Learning","publication_versions","Google","src-m2-ga-g03","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G04","Ironwood: Delivering Best in Class perf/TCO and perf/Watt","publication_versions","Google","src-m2-ga-g04","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G05","TPU architecture","dynamic_page_history","Google Cloud","src-m2-ga-g05","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G06","TPU v3","dynamic_page_history","Google Cloud","src-m2-ga-g06","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G07","TPU v4","dynamic_page_history","Google Cloud","src-m2-ga-g07","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G08","TPU v5e","dynamic_page_history","Google Cloud","src-m2-ga-g08","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G09","TPU v5p","dynamic_page_history","Google Cloud","src-m2-ga-g09","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G10","TPU v6e","dynamic_page_history","Google Cloud","src-m2-ga-g10","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G11","TPU7x","dynamic_page_history","Google Cloud","src-m2-ga-g11","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G12","Ironwood performance guide","dynamic_page_history","Google Cloud","src-m2-ga-g12","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G13","TPU 8t and TPU 8i technical deep dive","event_material_set","Google Cloud","src-m2-ga-g13","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G14","AI infrastructure at Next '26","event_material_set","Google Cloud","src-m2-ga-g14","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G15","A deep dive into SparseCore for Large Embedding Models","dynamic_page_history","OpenXLA Project","src-m2-ga-g15","draft","M2-GA-ARCH candidate family"
