"source_path","backup_path","role","bytes","sha256","captured_at","verified"
"数据/schema-columns.csv","数据/schema-columns.csv","formal_premerge_backup","68583","85129e57f6ab927cac43ca820d7b8df6558516f956bb1525ffca615f66654a6b","2026-08-13T08:03:30+08:00","true"
"数据/fields.csv","数据/fields.csv","formal_premerge_backup","23396","7cf5442800a7e453b34bbda4ac335ccf101ce5cac2dde297be657d4f56a02cae","2026-08-13T08:03:30+08:00","true"
"数据/field-requirements.csv","数据/field-requirements.csv","formal_premerge_backup","273071","e1df2c5584bfbaccdf4352ba8f7a7d2783250d9982473a3d15b649e5521bc62a","2026-08-13T08:03:30+08:00","true"
"scripts/validation/Validate-ResearchData.ps1","scripts/validation/Validate-ResearchData.ps1","formal_premerge_backup","15816","66daa54b3273bbdf4f44368a9fb0791816e7e44521e645f6d47ae82f0c3d2f38","2026-08-13T08:03:30+08:00","true"
"README.md","项目文档/README.md","project_doc_preupdate_backup","9158","0c287a9452c77fef76dfd372a7076e21ba89232732a6869b59ceef0b190a3587","2026-08-13T08:03:30+08:00","true"
"AGENTS.md","项目文档/AGENTS.md","project_doc_preupdate_backup","19177","9a98accdadff245f47828c2b6b79e1ddf7cef498890beebb3253521168973910","2026-08-13T08:03:30+08:00","true"
"研究计划.md","项目文档/研究计划.md","project_doc_preupdate_backup","42279","c9799fc0a2929c4660d27e5d5fb229df3afea8d25955c52fbe5db159d3e84315","2026-08-13T08:03:30+08:00","true"
"进度/当前状态.md","项目文档/进度/当前状态.md","project_doc_preupdate_backup","9134","3fe3f58cc8d96339f6ea89096d54d389cf87b54dd27a5349faf180b031bc7a69","2026-08-13T08:03:30+08:00","true"
"进度/任务台账.csv","项目文档/进度/任务台账.csv","project_doc_preupdate_backup","24539","4d3b46f810699e4805b2fc3ecc0876e015aace517708586edb5da9dc4fff3d10","2026-08-13T08:03:30+08:00","true"
"进度/里程碑.md","项目文档/进度/里程碑.md","project_doc_preupdate_backup","6850","02805edb41eb2cb471a5f1298cfbf401b45bd1040a09491a8591f2a1eb38d6c1","2026-08-13T08:03:30+08:00","true"
