"schema_column_id","table_path","column_name","ordinal","data_type","is_nullable","is_primary_key","foreign_table_path","foreign_column_name","enum_name","semicolon_forbidden","definition","review_status","notes"
"SCOL-CARD-COMPLETENESS-CSV-001","数据/card-completeness.csv","card_completeness_id","1","text","false","true","","","","false","列 card_completeness_id，所属表 数据/card-completeness.csv","approved",""
"SCOL-CARD-COMPLETENESS-CSV-002","数据/card-completeness.csv","object_id","2","text","false","false","数据/objects.csv","object_id","","true","列 object_id，所属表 数据/card-completeness.csv","approved",""
"SCOL-CARD-COMPLETENESS-CSV-003","数据/card-completeness.csv","domain","3","text","false","false","","","completeness_domain","false","列 domain，所属表 数据/card-completeness.csv","approved",""
"SCOL-CARD-COMPLETENESS-CSV-004","数据/card-completeness.csv","completeness_status","4","text","false","false","","","completeness_status","false","列 completeness_status，所属表 数据/card-completeness.csv","approved",""
"SCOL-CARD-COMPLETENESS-CSV-005","数据/card-completeness.csv","assessed_date","5","date","false","false","","","","false","列 assessed_date，所属表 数据/card-completeness.csv","approved",""
"SCOL-CARD-COMPLETENESS-CSV-006","数据/card-completeness.csv","assessor","6","text","false","false","","","","false","列 assessor，所属表 数据/card-completeness.csv","approved",""
"SCOL-CARD-COMPLETENESS-CSV-007","数据/card-completeness.csv","review_status","7","text","false","false","","","review_status","false","列 review_status，所属表 数据/card-completeness.csv","approved",""
"SCOL-CARD-COMPLETENESS-CSV-008","数据/card-completeness.csv","notes","8","text","true","false","","","","false","列 notes，所属表 数据/card-completeness.csv","approved",""
"SCOL-COMPONENTS-CSV-001","数据/components.csv","component_id","1","text","false","true","","","","false","列 component_id，所属表 数据/components.csv","approved",""
"SCOL-COMPONENTS-CSV-002","数据/components.csv","owner_object_id","2","text","false","false","数据/objects.csv","object_id","","true","列 owner_object_id，所属表 数据/components.csv","approved",""
"SCOL-COMPONENTS-CSV-003","数据/components.csv","parent_component_id","3","text","true","false","数据/components.csv","component_id","","true","列 parent_component_id，所属表 数据/components.csv","approved",""
"SCOL-COMPONENTS-CSV-004","数据/components.csv","component_domain","4","text","false","false","","","component_domain","false","列 component_domain，所属表 数据/components.csv","approved",""
"SCOL-COMPONENTS-CSV-005","数据/components.csv","component_type","5","text","false","false","","","component_type","false","列 component_type，所属表 数据/components.csv","approved",""
