"object_id","vendor_id","canonical_label","object_type","curator_slug","review_status","notes"
"OBJ-NVIDIA-HOPPER-ARCH","VEN-NVIDIA","NVIDIA Hopper architecture","architecture_generation","nvidia-hopper-architecture","reviewed","M1 试填所需正式对象；身份来自已验收候选普查。"
"OBJ-NVIDIA-H100-SXM5-80GB","VEN-NVIDIA","NVIDIA H100 SXM5 80 GB","module","nvidia-h100-sxm5-80gb","reviewed","M1 试填主对象；不包含 H100 PCIe、H800、Grace Hopper 或 DGX 系统。"
"OBJ-AWS-TRAINIUM2-ARCH","VEN-AWS","AWS Trainium2 architecture","architecture_generation","aws-trainium2-architecture","reviewed","M1 试填所需架构对象。"
"OBJ-AWS-TRAINIUM2-CHIP","VEN-AWS","AWS Trainium2 chip","package","aws-trainium2-chip","reviewed","M1 试填芯片或封装层主对象；云实例与 UltraServer 另建对象。"
"OBJ-AWS-TRN2-INSTANCE-FAMILY","VEN-AWS","Amazon EC2 Trn2 instance family","cloud_instance","aws-ec2-trn2-instance-family","reviewed","配置族对象；具体实例 SKU 在试填中核对后再拆。"
"OBJ-AWS-TRN2-ULTRASERVER-64","VEN-AWS","AWS Trn2 UltraServer 64-Trainium2","server","aws-trn2-ultraserver-64","needs_resolution","M1 系统边界对象；GA 与 preview 历史页面矛盾待固定版证据核对。"
"OBJ-CAMBRICON-MLU590-ARCH","VEN-CAMBRICON","Cambricon MLUarch05","architecture_generation","cambricon-mluarch05","reviewed","2022 厂商材料中的架构名；不与 BANG v5.0 或 mtp_592 静默合并。"
"OBJ-CAMBRICON-MLU590-CHIP","VEN-CAMBRICON","Cambricon MLU590 chip","package","cambricon-mlu590-chip","reviewed","M1 低披露试填主对象；思元590与 MLU590 别名仍需同页一手证据。"
"OBJ-CAMBRICON-MLU590-H8","VEN-CAMBRICON","Cambricon MLU590-H8","card","cambricon-mlu590-h8","needs_resolution","CNToolkit 板卡层原始缩写候选；完整订货名和规格待核。"
"OBJ-CAMBRICON-MLU590-M9","VEN-CAMBRICON","Cambricon MLU590-M9","card","cambricon-mlu590-m9","needs_resolution","CNToolkit 板卡层原始缩写候选；有用户设备日志旁证，正式规格待核。"
"OBJ-AWS-TRN2-3XLARGE","VEN-AWS","Amazon EC2 trn2.3xlarge","cloud_instance","aws-ec2-trn2-3xlarge","reviewed","M1 试填具体实例 SKU；含 1 个 Trainium2，数量须由事实和来源支撑。"
"OBJ-AWS-TRN2-48XLARGE","VEN-AWS","Amazon EC2 trn2.48xlarge","cloud_instance","aws-ec2-trn2-48xlarge","reviewed","M1 试填具体实例 SKU；含 16 个 Trainium2，数量须由事实和来源支撑。"
"OBJ-AWS-TRN2U-48XLARGE","VEN-AWS","Amazon EC2 trn2u.48xlarge","cloud_instance","aws-ec2-trn2u-48xlarge","needs_resolution","UltraServer 组成实例 SKU；首个固定可用日期和当前供货状态待核。"
"OBJ-NVIDIA-GH100-DIE","VEN-NVIDIA","NVIDIA GH100 die","die","nvidia-gh100-die","reviewed","Hopper 代 GH100 裸片对象；TSMC 4N、晶体管数和裸片面积等物理事实归于此对象，不下放到 H100 SXM5 模组。"
"OBJ-AWS-INF1-INSTANCE-FAMILY","VEN-AWS","Amazon EC2 Inf1 instance family","cloud_instance","aws-ec2-inf1-instance-family","reviewed","M2 范围门导入；家族容器，不承载单一实例尺寸的独有事实。"
"OBJ-AWS-TRN1-2XLARGE","VEN-AWS","Amazon EC2 trn1.2xlarge","cloud_instance","aws-ec2-trn1-2xlarge","reviewed","M2 范围门导入；正式 EC2 instance type。"
"OBJ-AWS-TRN1-32XLARGE","VEN-AWS","Amazon EC2 trn1.32xlarge","cloud_instance","aws-ec2-trn1-32xlarge","reviewed","M2 范围门导入；正式 EC2 instance type。"
"OBJ-AWS-TRN1N-32XLARGE","VEN-AWS","Amazon EC2 trn1n.32xlarge","cloud_instance","aws-ec2-trn1n-32xlarge","reviewed","M2 范围门导入；正式 EC2 instance type，网络边界与 trn1.32xlarge 分开。"
"OBJ-AWS-INF2-XLARGE","VEN-AWS","Amazon EC2 inf2.xlarge","cloud_instance","aws-ec2-inf2-xlarge","reviewed","M2 范围门导入；正式 EC2 instance type。"
"OBJ-AWS-INF2-8XLARGE","VEN-AWS","Amazon EC2 inf2.8xlarge","cloud_instance","aws-ec2-inf2-8xlarge","reviewed","M2 范围门导入；正式 EC2 instance type。"
