"name","expected_sha256","actual_sha256","expected_bytes","actual_bytes","match"
"aws-signoff-post-field-rebase.csv","b9fa74876dfa4769df99277359f5c0be7dff268a353964abf1d392eb3708e4e3","b9fa74876dfa4769df99277359f5c0be7dff268a353964abf1d392eb3708e4e3","583266","583266","true"
"Build-AwsPostFieldRebase.ps1","ae5fc2ddcb4196b197a542e671503862f897c9282fed0ae1cb3b0aa9f6c9934c","ae5fc2ddcb4196b197a542e671503862f897c9282fed0ae1cb3b0aa9f6c9934c","16059","16059","true"
"build-summary.json","e102f03b2a9a3b806f7ab914d6205303fd341397959cae926a4a5969cf23b4ba","e102f03b2a9a3b806f7ab914d6205303fd341397959cae926a4a5969cf23b4ba","900","900","true"
"field-contract-overlap-adjudication.csv","12c893104d2379e598f6138c7152153d5b5bb7ad91a172341944471fec106aa9","12c893104d2379e598f6138c7152153d5b5bb7ad91a172341944471fec106aa9","599","599","true"
"formal-baseline-after-rehearsal.csv","c38ba003542b606364f0afe6ca863dcb37b8310abd3ea1b61de282f9ff077054","c38ba003542b606364f0afe6ca863dcb37b8310abd3ea1b61de282f9ff077054","3536","3536","true"
"formal-baseline-hashes.csv","d54da7cc7da597444c6e0e859e4232fb62683b3f8d1613e2e0491b8abf129eff","d54da7cc7da597444c6e0e859e4232fb62683b3f8d1613e2e0491b8abf129eff","3865","3865","true"
"formal-hash-integrity.csv","580137e9dbd0a24d3b19d319355f68b245d4307907b64bfa79a7e64ca09a4832","580137e9dbd0a24d3b19d319355f68b245d4307907b64bfa79a7e64ca09a4832","5681","5681","true"
"input-read-audit.csv","d72cedb0a0457c343fce851fb7a401f245f6737978ee61c6a8b93a8e39e4fd05","d72cedb0a0457c343fce851fb7a401f245f6737978ee61c6a8b93a8e39e4fd05","29921","29921","true"
"Invoke-AwsPackageMerge.ps1","ac622536f2f5214bf81a008e1556b8e008acff93429580c56eef2371dc31ff35","ac622536f2f5214bf81a008e1556b8e008acff93429580c56eef2371dc31ff35","31322","31322","true"
"negative-existing-target.txt","a638cf4173103883a33040264ac00317fee9cd126bb756a377c853e8e00817a7","a638cf4173103883a33040264ac00317fee9cd126bb756a377c853e8e00817a7","940","940","true"
"negative-prior-signoff.txt","eea635a3e933eaa974f6eb57adb2ab25f21f304a9385a8ce2f295050874eff07","eea635a3e933eaa974f6eb57adb2ab25f21f304a9385a8ce2f295050874eff07","502","502","true"
"positive-signed-baseline.txt","185047f4db01e9b183c47a34adbcf9588b19abcc09d0bb096ff2c53c7f07382a","185047f4db01e9b183c47a34adbcf9588b19abcc09d0bb096ff2c53c7f07382a","320","320","true"
"post-field-baseline-change-audit.csv","cf7cbb88a8474d6b2aeb9214a35089dd4461784c591cc525a0827ae77c9339be","cf7cbb88a8474d6b2aeb9214a35089dd4461784c591cc525a0827ae77c9339be","641","641","true"
"post-field-baseline-table-diff.csv","8e81ae86cf593b4dff4763dc4cd37b8a65c24f6683f4ccff68cba59a8cbd189c","8e81ae86cf593b4dff4763dc4cd37b8a65c24f6683f4ccff68cba59a8cbd189c","5731","5731","true"
"prior-to-new-cell-diff.csv","5921efc0f9d30cf45897a92d3991bc97356d54ca5605fd3ddb9042adf40d6b2a","5921efc0f9d30cf45897a92d3991bc97356d54ca5605fd3ddb9042adf40d6b2a","456946","456946","true"
"progress-2026-08-13.md","f440ed13707dabc58f35bfc88dba0d79017c21a23e6af58adebc06b0b02e1def","f440ed13707dabc58f35bfc88dba0d79017c21a23e6af58adebc06b0b02e1def","2436","2436","true"
"README.md","4206a8966fe74031812c16284cdde4cc3811f3430f11081a9ff76cc1a2ba7e00","4206a8966fe74031812c16284cdde4cc3811f3430f11081a9ff76cc1a2ba7e00","5241","5241","true"
"rebase-binding.json","cda6e72a76c22419ff00e3bf5514c70d68886fa2b87b11885ca4007389410a3f","cda6e72a76c22419ff00e3bf5514c70d68886fa2b87b11885ca4007389410a3f","3978","3978","true"
"Test-AwsPackageMergeRehearsal.ps1","d1bed0f4e03b018ff4ee55fbb38d3a431a66f1fbd140db4dd8683d19c56a5759","d1bed0f4e03b018ff4ee55fbb38d3a431a66f1fbd140db4dd8683d19c56a5759","21281","21281","true"
"validation-summary.json","7ac741046ae45f267a488192470a260f0402e76cc38f06ad293f7b51e28223ae","7ac741046ae45f267a488192470a260f0402e76cc38f06ad293f7b51e28223ae","829","829","true"
"validator-signed-baseline.txt","54976a45522f446b1dafc74f01f83e9922cd80fb8e21f2b13c1f8bb79f9b0b75","54976a45522f446b1dafc74f01f83e9922cd80fb8e21f2b13c1f8bb79f9b0b75","130","130","true"
