"backup_class","required","source_path","backup_relative_path","sha256","bytes","restore_action","restore_order","reason"
"authorized_write_table","true","最小参考资料库/sources.csv","formal-premerge/write-tables/最小参考资料库/sources.csv","eba3f8a3c4a49e526a42a2bb1b5db0cfbf3930edd211fb2158db3c6a8b6b6208","30791","byte_exact_replace","20","462 CSV write authorizations touch this table"
"authorized_write_table","true","数据/components.csv","formal-premerge/write-tables/数据/components.csv","b7d7e6ccaeefad98dd6b92724eba60390b06f2da66d820e6441e15b32485d380","38736","byte_exact_replace","19","462 CSV write authorizations touch this table"
"authorized_write_table","true","数据/links.csv","formal-premerge/write-tables/数据/links.csv","b3b55f4526bfdb9db5ecd848457d87ffc3fa27002d208a109924df40375d0a8d","7430","byte_exact_replace","18","462 CSV write authorizations touch this table"
"authorized_write_table","true","数据/precision-paths.csv","formal-premerge/write-tables/数据/precision-paths.csv","a57944459ff3bb927e5e8b08b119c65e633436dfc59b392f12810420eb2e75b4","20005","byte_exact_replace","17","462 CSV write authorizations touch this table"
"authorized_write_table","true","数据/memory-levels.csv","formal-premerge/write-tables/数据/memory-levels.csv","5fb8e34f3d0a8be541310b1fd14bae4e73e36b3e7801544584edcf0eac36fbe1","10658","byte_exact_replace","16","462 CSV write authorizations touch this table"
"authorized_write_table","true","数据/condition-sets.csv","formal-premerge/write-tables/数据/condition-sets.csv","9bb6717de7c6a038674d563164e40cf94dfe1f1d923fe787339299e77a057ac5","49926","byte_exact_replace","15","462 CSV write authorizations touch this table"
"authorized_write_table","true","数据/field-requirements.csv","formal-premerge/write-tables/数据/field-requirements.csv","93c27127b6124331368e24ccec97c48620d2e85f08057d14d049d87edb91d347","273459","byte_exact_replace","14","462 CSV write authorizations touch this table"
"authorized_write_table","true","数据/facts.csv","formal-premerge/write-tables/数据/facts.csv","55a75c496c304062371ce38e566ee839060ee0706259b0b6e24442fb70b9ae3d","250537","byte_exact_replace","13","462 CSV write authorizations touch this table"
"authorized_write_table","true","数据/card-completeness.csv","formal-premerge/write-tables/数据/card-completeness.csv","bc0c35e1dd5cc166cbfd65ea0f1fe5525c5340005e1005ab059e85061976f6cc","66107","byte_exact_replace","12","462 CSV write authorizations touch this table"
"authorized_write_table","true","最小参考资料库/source-endpoints.csv","formal-premerge/write-tables/最小参考资料库/source-endpoints.csv","652c53647108701eddaf2e1f998417570f852acce78f2b8a2714497baff13035","43774","byte_exact_replace","11","462 CSV write authorizations touch this table"
"authorized_write_table","true","最小参考资料库/source-screening.csv","formal-premerge/write-tables/最小参考资料库/source-screening.csv","104e8d4d06de4d26deec1066367434e494ee72e22eee3d1a49ffe0759da8c05b","30892","byte_exact_replace","10","462 CSV write authorizations touch this table"
"authorized_write_table","true","最小参考资料库/source-selected-roles.csv","formal-premerge/write-tables/最小参考资料库/source-selected-roles.csv","aea2ecd4cd1fcf45f63817ca7d69e94434baa53ed9c184a16c4ad098bfafa5f5","18344","byte_exact_replace","9","462 CSV write authorizations touch this table"
"authorized_write_table","true","最小参考资料库/source-coverage.csv","formal-premerge/write-tables/最小参考资料库/source-coverage.csv","68159e338aba9f2c63e159e27a822277e067290ff3f50da0a478cb9f5e8814ea","6946","byte_exact_replace","8","462 CSV write authorizations touch this table"
"authorized_write_table","true","最小参考资料库/fact-assertions.csv","formal-premerge/write-tables/最小参考资料库/fact-assertions.csv","be571472611c65a73ff526f77383631f0df61c70e0b3a57d2bfd6f65cbfb089e","311184","byte_exact_replace","7","462 CSV write authorizations touch this table"
