"name","bytes","sha256","rows_if_csv","role"
"binding-integrity.csv","2067","d7e7e0d9363f4ad5eaa389187d257a5da49b6217394176b5de68c3a4753d2ad0","8","machine_readable_audit"
"Build-AwsFormalBackupPreflight.ps1","27268","f49c2a951ffe7b3ecd845348c90d627db3ea940b221a57ebb340d39215c137de","","read_only_audit_builder"
"failure-delete-list.csv","3997","c26fe215fe65c5c829b60758828f35d90844568d5e1001dc0b5919b42fdd24b6","15","machine_readable_audit"
"formal-baseline-after.csv","3713","67a68ca8d20441f36d65f6f0890065528aac233c3d5e55a5c1e0a421bd11541e","32","machine_readable_audit"
"formal-baseline-before.csv","8928","ef92f7d29a53fcaaa1a15c6e88114e607e6548da0881eb52e08ea23cacf25a46","32","machine_readable_audit"
"formal-staticity.csv","6208","06f976ae61f203aba71a04de0a6bc44488dd771d1c4e730d0478013b3060f04f","32","machine_readable_audit"
"formal-validator-current.txt","142","2c774a058332e40cc25926b9729fc74425d0a35e7d03e9b31c9cefa75596316e","","fresh_validation_evidence"
"guard-freeze.csv","12471","5f329641dc8d07a57b31a978957d95efce022310de47d3d14010490d6cbd421c","9","machine_readable_audit"
"guard-table-inventory.csv","678","3dd89afd5b6c8d086697770599037157c13792d557d8bea880799fea6b771288","3","machine_readable_audit"
"payload-target-inventory.csv","7987","28f2b0e93eabc343c0efda914dbb69be70cb6813feac8d1993a531daba85f052","15","machine_readable_audit"
"postmerge-acceptance-checklist.csv","1462","e73b2157b75d706a7d64995da12a3584e66281ff4519c9a5fb880cb336d0497d","18","machine_readable_audit"
"progress-2026-08-13.md","1130","b3fb874012387812c2042544555114d10ac07e0f5b98caecaca3203d3118563b","","status_or_summary"
"README.md","5196","e8a94993a81b098d8953f3cca81cc6845cadd022064eecd62d4c6c743e1708b1","","human_readable_handoff"
"recommended-backup-set.csv","6786","c8c7e37ee4296ca43d3c3913006c5d7c82b2794f0fe7aadbb58943d8bb6f6181","23","machine_readable_audit"
"reviewed-package-integrity.csv","3984","b0b81daa7eca0d8bf36af7b634e927a51dc90520c3e846b643c0282cef427489","21","machine_readable_audit"
"signed-source-inventory.csv","11500","ad3b68c014bbe8ea8bc9ba28b96b41db3e8f4789d9f5a44fdb71edaedf8527ed","39","machine_readable_audit"
"source-pool-current.txt","3153","b6e3675b3b527eaeb8d8eaae827d39c216d540ddea7a4261eb90b0d9f7b56fb7","","fresh_validation_evidence"
"staging-freeze-integrity.csv","14799","29feb200ebdfecd1894807afb77568c90c0d2d1e473d2d26120a3215d6adb8c7","76","machine_readable_audit"
"static-preflight-summary.json","1025","3a3c16de59af54bcadfa59d4e1337a5ed8d870e7960f40aa013a3cf05dd3da6f","","status_or_summary"
"transaction-order.csv","4523","5cf1d0065634bf26c22c208077d5799654fe83bd54f98d2058554837a78d1c9d","25","machine_readable_audit"
"write-table-inventory.csv","8299","09f438fa41c1b6db4ff7e28afcbccf0e12b7ddf9c1562c936b99a934f5e6c8c4","20","machine_readable_audit"
