"delete_order","target_path","expected_transaction_hash","premerge_presence","delete_only_if","use_literal_path","recursive_delete"
"1","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A01-inferentia-latest-2026-08-13.html","76c26100a0a84ab09b4ec722b522c079e0f171c6c0730a1d02e86f6f80d822a2","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
"1","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A01-inferentia-v2.31.0-2026-08-13.html","8810e9d6ffa5aa84b6fd1a0a79dee9840d6972f9586dbc0c4fd5e49b3f6445ce","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
"1","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A02-neuroncore-v1-v2.9.1-2026-08-13.html","06d7b61ef030db81956e2f814c5266138bd317e3354951e2a2071601cdd745cd","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
"1","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A03-trainium-v2.26.1-2026-08-13.html","6257908ff6d5febd52f974340d35e2f5dcfe2c1c14b9c4132dcb3dc3124c7079","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
"1","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A04-inferentia2-v2.29.1-2026-08-13.html","cc1c79f5255f6cc851dab448098adc54fea713a626c205bba4a5a2b5ef2372dd","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
"1","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A05-trainium-inferentia2-nki-v2.29.1-2026-08-13.html","4d2318ec97548a8cb970ec06fb0c2f167a97aa17e361bb89563d057cb36b50cf","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
"1","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A06-trainium3-v2.28.1-2026-08-13.html","2fad4aca914e1a10289f636a273464d5f5f86ad6c5cc830092dfabb0bf786dcb","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
"1","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A07-trainium3-nki-latest-2026-08-13.html","aa22cfcffd97e35e1d1c17a14480a1f5ace87f2adf7b5f46e26ba512d0ef209f","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
"1","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A07-trainium3-nki-v2.31.0-2026-08-13.html","4bb6e756d37069f83f36fca4144e494688a23396728b52338385a4ee8be6a2f2","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
"1","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A08-trn3-ultraservers-2025-12-02-fetched-2026-08-13.html","d10e887199750363ffb679347c78d27012a2d63c2cc2bf2a49704d16aee449cb","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
"1","最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A10-neuroncore-v4-v2.30.0-2026-08-13.html","2ab8e86e39a059e611cfca5bcdcc6b5c5b3acb8077e7006fd515d3543146a45a","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
"1","资料卡/AWS/封装/AWS_Inferentia1_芯片实现资料卡.md","b056efebdfc9423c95b00605b2c62dd8ed9418198e02ff12c4c61438116c7704","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
"1","资料卡/AWS/封装/AWS_Inferentia2_芯片实现资料卡.md","c5f78d35d83a53512e252d12756c4b80bd5da78089a88c163189667f5ca0224d","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
"1","资料卡/AWS/封装/AWS_Trainium1_芯片实现资料卡.md","6addea13a0251e1bc09eb6d545327abbac9cbffe2cee16ec810d72b6f23afc99","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
"1","资料卡/AWS/封装/AWS_Trainium3_芯片实现资料卡.md","b3ad398adad27f99180371ccec74839575947d9f9d61c8a88c4c024dab53f898","absent","journal_created=true AND current_hash=expected_output_sha256","true","false"
