"source_path","signoff_references","expected_sha256","actual_sha256","bytes","hash_match","extension","encoding","bom","rows_if_csv","columns_if_csv"
"审计/子代理交接/m2_final_review_aws_package_cards/AWS_Inferentia1_芯片实现资料卡.md","1","b056efebdfc9423c95b00605b2c62dd8ed9418198e02ff12c4c61438116c7704","b056efebdfc9423c95b00605b2c62dd8ed9418198e02ff12c4c61438116c7704","7481","true",".md","utf8","utf8_bom","",""
"审计/子代理交接/m2_final_review_aws_package_cards/AWS_Inferentia2_芯片实现资料卡.md","1","c5f78d35d83a53512e252d12756c4b80bd5da78089a88c163189667f5ca0224d","c5f78d35d83a53512e252d12756c4b80bd5da78089a88c163189667f5ca0224d","8795","true",".md","utf8","utf8_bom","",""
"审计/子代理交接/m2_final_review_aws_package_cards/AWS_Trainium1_芯片实现资料卡.md","1","6addea13a0251e1bc09eb6d545327abbac9cbffe2cee16ec810d72b6f23afc99","6addea13a0251e1bc09eb6d545327abbac9cbffe2cee16ec810d72b6f23afc99","8749","true",".md","utf8","utf8_bom","",""
"审计/子代理交接/m2_final_review_aws_package_cards/AWS_Trainium3_芯片实现资料卡.md","1","b3ad398adad27f99180371ccec74839575947d9f9d61c8a88c4c024dab53f898","b3ad398adad27f99180371ccec74839575947d9f9d61c8a88c4c024dab53f898","16149","true",".md","utf8","utf8_bom","",""
"审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/audit/field-contract-change-candidate.csv","1","bda20bcb9066e49f5fa49449c539b36910e81fe7776d61773338835625d71de6","bda20bcb9066e49f5fa49449c539b36910e81fe7776d61773338835625d71de6","864","true",".csv","utf8","utf8_bom","1","10"
"审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/audit/source-endpoint-updates.csv","9","b659b61bfa06e3dd35777f6996ee9dbb9c697dba42a22fbdd6ccae5a6b102f44","b659b61bfa06e3dd35777f6996ee9dbb9c697dba42a22fbdd6ccae5a6b102f44","3424","true",".csv","utf8","utf8_bom","9","15"
"审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/audit/source-screening-updates.csv","1","d5a36ba5b6ef7f61785ef33779bc07ab454c173dbd7c699de733146c4697b875","d5a36ba5b6ef7f61785ef33779bc07ab454c173dbd7c699de733146c4697b875","604","true",".csv","utf8","utf8_bom","1","10"
"审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/audit/source-updates.csv","9","b0c00a0965071232cd33c2434773c78c852b2163cf5b7925df979db33f486b30","b0c00a0965071232cd33c2434773c78c852b2163cf5b7925df979db33f486b30","3574","true",".csv","utf8","utf8_bom","9","14"
"审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/fixed-candidates/A01-inferentia-latest-2026-08-13.html","1","76c26100a0a84ab09b4ec722b522c079e0f171c6c0730a1d02e86f6f80d822a2","76c26100a0a84ab09b4ec722b522c079e0f171c6c0730a1d02e86f6f80d822a2","233120","true",".html","utf8","none","",""
"审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE-FACTS-REMEDIATED/fixed-candidates/A01-inferentia-v2.31.0-2026-08-13.html","1","8810e9d6ffa5aa84b6fd1a0a79dee9840d6972f9586dbc0c4fd5e49b3f6445ce","8810e9d6ffa5aa84b6fd1a0a79dee9840d6972f9586dbc0c4fd5e49b3f6445ce","215997","true",".html","utf8","none","",""
