"path","aws_write_rows","google_container_changed","google_fixed_file_added","exact_path_overlap","pk_or_file_conflict","rationale"
"数据/card-completeness.csv","40","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"数据/components.csv","27","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"数据/condition-sets.csv","29","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"数据/facts.csv","57","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"数据/field-requirements.csv","71","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"数据/fields.csv","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"数据/links.csv","3","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"数据/memory-levels.csv","6","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"数据/object-relations.csv","0","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"数据/objects.csv","0","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"数据/precision-paths.csv","20","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"资料卡/AWS/封装/AWS_Inferentia1_芯片实现资料卡.md","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"资料卡/AWS/封装/AWS_Inferentia2_芯片实现资料卡.md","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"资料卡/AWS/封装/AWS_Trainium1_芯片实现资料卡.md","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"资料卡/AWS/封装/AWS_Trainium3_芯片实现资料卡.md","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/conflict-groups.csv","5","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/conflict-members.csv","10","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/fact-assertions.csv","69","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/search-log.csv","20","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/search-results.csv","50","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/selection-members.csv","8","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/selection-runs.csv","2","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/source-coverage.csv","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/source-endpoints.csv","20","true","false","true","false","共享 CSV 容器，但 Google 8 个新增主键均不在 AWS 478 行写集中。"
"最小参考资料库/sources.csv","9","true","false","true","false","共享 CSV 容器，但 Google 8 个新增主键均不在 AWS 478 行写集中。"
"最小参考资料库/source-screening.csv","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/source-selected-roles.csv","14","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A01-inferentia-latest-2026-08-13.html","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A01-inferentia-v2.31.0-2026-08-13.html","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A02-neuroncore-v1-v2.9.1-2026-08-13.html","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A03-trainium-v2.26.1-2026-08-13.html","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A04-inferentia2-v2.29.1-2026-08-13.html","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A05-trainium-inferentia2-nki-v2.29.1-2026-08-13.html","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A06-trainium3-v2.28.1-2026-08-13.html","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A07-trainium3-nki-latest-2026-08-13.html","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A07-trainium3-nki-v2.31.0-2026-08-13.html","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A08-trn3-ultraservers-2025-12-02-fetched-2026-08-13.html","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
"最小参考资料库/快照/AWS/PackageImplementations/2026-08-13/A10-neuroncore-v4-v2.30.0-2026-08-13.html","1","false","false","false","false","无 Google 授权写入，或仅为不同固定文件路径。"
