"table_path","pk","field_id","actual_kind","registered_allowed","semantic_subject_assessment","proposed_action","proposed_allowed_kinds","proposed_target","evidence_basis","confidence","blocking_reason","review_status"
"数据/facts.csv","FACT-AWS-TRN2-DER-BALANCE-BF16","FIELD-DER-COMPUTE-BW-SPEC","precision_path","object","该派生量随精度路径变化，precision_path 同时绑定所属组件和对象；派生输入仍在同一 Trainium2 芯片作用域内。","expand_contract","object;precision_path","","fact=FACT-AWS-TRN2-DER-BALANCE-BF16; derived_metric=DMET-AWS-TRN2-013; formula=compute_throughput_FLOP_per_s / HBM_bandwidth_byte_per_s; inputs=FACT-AWS-TRN2-CHIP-BF16-DENSE-PUB;FACT-AWS-TRN2-HBM-BANDWIDTH.","high","","reviewed"
"数据/facts.csv","FACT-AWS-TRN2-DER-BALANCE-FP32","FIELD-DER-COMPUTE-BW-SPEC","precision_path","object","该派生量随精度路径变化，precision_path 同时绑定所属组件和对象；派生输入仍在同一 Trainium2 芯片作用域内。","expand_contract","object;precision_path","","fact=FACT-AWS-TRN2-DER-BALANCE-FP32; derived_metric=DMET-AWS-TRN2-014; formula=compute_throughput_FLOP_per_s / HBM_bandwidth_byte_per_s; inputs=FACT-AWS-TRN2-CHIP-FP32-DENSE-PUB;FACT-AWS-TRN2-HBM-BANDWIDTH.","high","","reviewed"
"数据/facts.csv","FACT-AWS-TRN2-DER-BALANCE-FP8","FIELD-DER-COMPUTE-BW-SPEC","precision_path","object","该派生量随精度路径变化，precision_path 同时绑定所属组件和对象；派生输入仍在同一 Trainium2 芯片作用域内。","expand_contract","object;precision_path","","fact=FACT-AWS-TRN2-DER-BALANCE-FP8; derived_metric=DMET-AWS-TRN2-012; formula=compute_throughput_FLOP_per_s / HBM_bandwidth_byte_per_s; inputs=FACT-AWS-TRN2-CHIP-FP8-DENSE-PUB;FACT-AWS-TRN2-HBM-BANDWIDTH.","high","","reviewed"
"数据/facts.csv","FACT-AWS-TRN2-DER-BALANCE-FP8-SPARSE","FIELD-DER-COMPUTE-BW-SPEC","precision_path","object","该派生量随精度路径变化，precision_path 同时绑定所属组件和对象；派生输入仍在同一 Trainium2 芯片作用域内。","expand_contract","object;precision_path","","fact=FACT-AWS-TRN2-DER-BALANCE-FP8-SPARSE; derived_metric=DMET-AWS-TRN2-015; formula=compute_throughput_FLOP_per_s / HBM_bandwidth_byte_per_s; inputs=FACT-AWS-TRN2-CHIP-FP8-SPARSE-PUB;FACT-AWS-TRN2-HBM-BANDWIDTH.","high","","reviewed"
"数据/facts.csv","FACT-AWS-TRN2-GPSIMD-CLOCK","FIELD-PHY-CLOCK","component","object","S02 的 Compute Engine Specifications 逐行以 Tensor、Vector、Scalar 和 GpSimd Engine 为主语给出频率；component 是直接事实主体。","expand_contract","object;component","","fact=FACT-AWS-TRN2-GPSIMD-CLOCK; assertion=ASSERT-FACT-AWS-TRN2-GPSIMD-CLOCK-S02; source=SRC-AWS-TRN2-S02; locator=Gpsimd Engine; fixed snapshot S02 Table 11 Compute Engine Specifications.","high","","reviewed"
"数据/facts.csv","FACT-AWS-TRN2-SCALAR-CLOCK","FIELD-PHY-CLOCK","component","object","S02 的 Compute Engine Specifications 逐行以 Tensor、Vector、Scalar 和 GpSimd Engine 为主语给出频率；component 是直接事实主体。","expand_contract","object;component","","fact=FACT-AWS-TRN2-SCALAR-CLOCK; assertion=ASSERT-FACT-AWS-TRN2-SCALAR-CLOCK-S02; source=SRC-AWS-TRN2-S02; locator=Scalar Engine; fixed snapshot S02 Table 11 Compute Engine Specifications.","high","","reviewed"
"数据/facts.csv","FACT-AWS-TRN2-TENSOR-CLOCK","FIELD-PHY-CLOCK","component","object","S02 的 Compute Engine Specifications 逐行以 Tensor、Vector、Scalar 和 GpSimd Engine 为主语给出频率；component 是直接事实主体。","expand_contract","object;component","","fact=FACT-AWS-TRN2-TENSOR-CLOCK; assertion=ASSERT-FACT-AWS-TRN2-TENSOR-CLOCK-S02; source=SRC-AWS-TRN2-S02; locator=Tensor Engine; fixed snapshot S02 Table 11 Compute Engine Specifications.","high","","reviewed"
"数据/facts.csv","FACT-AWS-TRN2-VECTOR-CLOCK","FIELD-PHY-CLOCK","component","object","S02 的 Compute Engine Specifications 逐行以 Tensor、Vector、Scalar 和 GpSimd Engine 为主语给出频率；component 是直接事实主体。","expand_contract","object;component","","fact=FACT-AWS-TRN2-VECTOR-CLOCK; assertion=ASSERT-FACT-AWS-TRN2-VECTOR-CLOCK-S02; source=SRC-AWS-TRN2-S02; locator=Vector Engine; fixed snapshot S02 Table 11 Compute Engine Specifications.","high","","reviewed"
"数据/field-requirements.csv","REQ-M2GA-AIF1-MOE-HW","FIELD-CAP-IMPLEMENTATION-DETAIL","object","capability","未找到专用能力时不能凭空建立 capability；object 是“是否存在该能力”的检索覆盖目标。","no_change_with_rationale","","","requirement_status=not_found; target=OBJ-AWS-INFERENTIA1-ARCH[AWS Inferentia first-generation architecture]; search_status=completed; reason=检索专用 MoE routing/router Top-K 物理模块；软件排序、collective 或 SparseCore 通用操作不能替代硬件模块证据; notes=not_found 表示本轮适当一手来源未找到，不表示厂商从未实现","high","","reviewed"
"数据/field-requirements.csv","REQ-M2GA-AIF2-MOE-HW","FIELD-CAP-IMPLEMENTATION-DETAIL","object","capability","未找到专用能力时不能凭空建立 capability；object 是“是否存在该能力”的检索覆盖目标。","no_change_with_rationale","","","requirement_status=not_found; target=OBJ-AWS-INFERENTIA2-ARCH[AWS Inferentia2 architecture]; search_status=completed; reason=检索专用 MoE routing/router Top-K 物理模块；软件排序、collective 或 SparseCore 通用操作不能替代硬件模块证据; notes=not_found 表示本轮适当一手来源未找到，不表示厂商从未实现","high","","reviewed"
