"target_path","pk_column","pk_value","column_name","old_value","new_value","change_kind"
"数据/fields.csv","field_id","FIELD-BENCH-LATENCY","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-BENCH-POWER","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-BENCH-THROUGHPUT","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-CAP-IMPLEMENTATION-DETAIL","allowed_requirement_target_kinds","","object;capability","add_cell"
"数据/fields.csv","field_id","FIELD-CAP-IMPLEMENTATION-LEVEL","allowed_requirement_target_kinds","","capability","add_cell"
"数据/fields.csv","field_id","FIELD-CAP-LIMITATION","allowed_requirement_target_kinds","","capability","add_cell"
"数据/fields.csv","field_id","FIELD-CAP-THROUGHPUT","allowed_requirement_target_kinds","","capability","add_cell"
"数据/fields.csv","field_id","FIELD-COMP-ARRAY-SHAPE","allowed_requirement_target_kinds","","object;component","add_cell"
"数据/fields.csv","field_id","FIELD-COMP-CONCURRENCY","allowed_requirement_target_kinds","","component","add_cell"
"数据/fields.csv","field_id","FIELD-COMP-COUNT-RULE","allowed_requirement_target_kinds","","precision_path","add_cell"
"数据/fields.csv","field_id","FIELD-COMP-EXECUTION","allowed_requirement_target_kinds","","object;component","add_cell"
"数据/fields.csv","field_id","FIELD-COMP-INSTRUCTION-TILE","allowed_requirement_target_kinds","","object;precision_path","add_cell"
"数据/fields.csv","field_id","FIELD-COMP-ISSUE-WIDTH","allowed_requirement_target_kinds","","object;component","add_cell"
"数据/fields.csv","field_id","FIELD-COMP-SHARED-RESOURCE","allowed_requirement_target_kinds","","component","add_cell"
"数据/fields.csv","field_id","FIELD-COMP-THROUGHPUT","allowed_requirement_target_kinds","","object;precision_path","add_cell"
"数据/fields.csv","field_id","FIELD-COMP-UNIT-COUNT","allowed_requirement_target_kinds","","object;component","add_cell"
"数据/fields.csv","field_id","FIELD-COMP-UNIT-NAME","allowed_requirement_target_kinds","","component","add_cell"
"数据/fields.csv","field_id","FIELD-COMP-UTILIZATION-LIMIT","allowed_requirement_target_kinds","","component","add_cell"
"数据/fields.csv","field_id","FIELD-COMP-VENDOR-AI-TOPS","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-DER-CAPACITY-COMPUTE","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-DER-COMPUTE-BW-SPEC","allowed_requirement_target_kinds","","object;precision_path","add_cell"
"数据/fields.csv","field_id","FIELD-DER-COMPUTE-BW-SPEC","allowed_subject_kinds","object","object;precision_path","update_cell"
"数据/fields.csv","field_id","FIELD-DER-COMPUTE-BW-SUSTAINED","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-DER-INTERCONNECT-COMPUTE","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-DER-MATRIX-VECTOR","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-DER-MOVE-MATRIX","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-ID-ARCH","allowed_requirement_target_kinds","","object;object_relation","add_cell"
"数据/fields.csv","field_id","FIELD-ID-AVAILABILITY-DATE","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-ID-DATA-CUTOFF","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-ID-DEPLOYMENT","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-ID-FAMILY","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-ID-NAME","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-ID-OBJECT-TYPE","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-ID-REGION","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-ID-RELEASE-DATE","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-ID-SKU","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-ID-STATUS","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-ID-VENDOR","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-ID-VENDOR-POSITIONING","allowed_requirement_target_kinds","","object","add_cell"
"数据/fields.csv","field_id","FIELD-INT-AGGREGATE-BW","allowed_requirement_target_kinds","","object;link","add_cell"
"数据/fields.csv","field_id","FIELD-INT-BISECTION-BW","allowed_requirement_target_kinds","","topology","add_cell"
"数据/fields.csv","field_id","FIELD-INT-COLLECTIVE","allowed_requirement_target_kinds","","link","add_cell"
"数据/fields.csv","field_id","FIELD-INT-DEGREE","allowed_requirement_target_kinds","","topology","add_cell"
"数据/fields.csv","field_id","FIELD-INT-FAULT","allowed_requirement_target_kinds","","link","add_cell"
"数据/fields.csv","field_id","FIELD-INT-HOPS","allowed_requirement_target_kinds","","topology","add_cell"
"数据/fields.csv","field_id","FIELD-INT-INJECTION-BW","allowed_requirement_target_kinds","","link","add_cell"
"数据/fields.csv","field_id","FIELD-INT-LANE-COUNT","allowed_requirement_target_kinds","","link","add_cell"
"数据/fields.csv","field_id","FIELD-INT-LATENCY","allowed_requirement_target_kinds","","link","add_cell"
"数据/fields.csv","field_id","FIELD-INT-LINK-COUNT","allowed_requirement_target_kinds","","link","add_cell"
"数据/fields.csv","field_id","FIELD-INT-MAX-SCALE","allowed_requirement_target_kinds","","topology","add_cell"
"数据/fields.csv","field_id","FIELD-INT-OVERSUBSCRIPTION","allowed_requirement_target_kinds","","topology","add_cell"
"数据/fields.csv","field_id","FIELD-INT-PER-LINK-RATE","allowed_requirement_target_kinds","","link","add_cell"
"数据/fields.csv","field_id","FIELD-INT-PHYSICAL-LINK-COUNT","allowed_requirement_target_kinds","","link","add_cell"
"数据/fields.csv","field_id","FIELD-INT-PROTOCOL","allowed_requirement_target_kinds","","object;link","add_cell"
"数据/fields.csv","field_id","FIELD-INT-REMOTE-MEMORY","allowed_requirement_target_kinds","","link","add_cell"
"数据/fields.csv","field_id","FIELD-INT-TOPOLOGY","allowed_requirement_target_kinds","","object;topology","add_cell"
