"name","bytes","sha256"
"adjudication.csv","80192","b45adbc18852593e88c49d5b30f3364177d491766be860f134052f5249ec14b4"
"Apply-RemediationToIsolatedCopy.ps1","12838","757bd93eb431a8f107f074a6d18bca4396fd65e32aa81a8d67bf97e14af717d1"
"Build-Remediation.ps1","33425","8f1d0279badda27a208d88ad2c2f7544e3fb0748188617de3b72ff9556305ef0"
"candidate-csv-format-audit.csv","412","aaa667cbc5a6a3ad34387bd886fb8c72f8372dc08e028e94abd06dd03fe153c0"
"candidate-field-requirements.csv","273459","93c27127b6124331368e24ccec97c48620d2e85f08057d14d049d87edb91d347"
"candidate-fields.csv","25032","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee"
"candidate-schema-columns.csv","68873","4c756065e0fc3fba175b0abeb41699ec637224aa4e8a5c9e150ff60730ce9375"
"field-contract-proposals.csv","9576","19f6c24b027339efb28332a7e57e987efb1ed3f6be2872b3e4720f7030d9b10b"
"final-summary.json","651","44e0e1c580af94ba0d721d5c5c20f007d1f021f680eafaea25c23df92fea07b9"
"formal-file-hashes.csv","1196","244cbee7e73aace462afbd55adb821c2066c48178a683f549f4438e025e4865a"
"formal-migration-and-rollback.md","2251","44d5de664df9278285f257720e1fed71426eae4ba3dec7fc1d6661834ff36feb"
"formal-migration-manifest.csv","21448","f10921f8eee6fe7dc7c2799cf9c7c753c9d9584a4efa2835d6f15fd5d03f8e25"
"isolated-validator-audit.txt","182","26c34b3d39069da6493529dd9667fc35f5f1e581e158d7c437b1045b6ff33606"
"isolated-validator-default-gate.txt","132","255a4b084ca32b90a1cbc90612ff4dca1de7aab3316d9c592e752ba2bf772aab"
"isolated-validator-gate.txt","132","255a4b084ca32b90a1cbc90612ff4dca1de7aab3316d9c592e752ba2bf772aab"
"migration-build-result.json","503","6f4ed05ed5328db491a2324bd8d65dfb347a420209b3181f0272055d138d3c35"
"negative-arch_relation_wrong_type_gate.txt","279","5e370d0f61ffd63d5ab603993f4784aa613741c74aff198848992cb25749b806"
"negative-closure_same_target_missing_audit.txt","363","db1e012e4b59a5887468b24848bfabdaa48a867e45fc6f2ffcfb35830ceacb86"
"negative-closure_same_target_missing_gate.txt","265","5b69faf80b1cfa5ada35a6fd658c2c10da9d55ce4e7a8f92f9ff5b91902e0a40"
"negative-semantic_fact_kind_mismatch_audit.txt","718","7bf7f284c75e6259dff2046aebdc62d9f84933028d2a52fff8df296dd5e69c2d"
"negative-semantic_fact_kind_mismatch_gate.txt","620","2ac26fb2873d06a05fe36356dbba68c88236b67c7ff641a29cfe036076b36f90"
"negative-syntax_noncanonical_order.txt","432","bbf96f1e1c4de895df4f7766ab88eafdfc64c4419db40c3c9ce30c5cb085d86b"
"negative-test-results.csv","1074","77d5429975dcb370a31901227e3adbfca03507a5f8c894396649ab72da933b27"
"progress-2026-08-13.md","907","5ded112a04894530a950173acdfcb137b3134cacf503493964f5251475296776"
"README.md","3847","dc63a97007d3bf716809bc85392d324a7ea2c3885a51cf17334020ce28135b57"
"row-overlay-proposals.csv","7025","14873ed213026d36f51df99ae6d01114db899673c1f9d22f55e56931f77e90c7"
"Test-ValidatorNegativeCases.ps1","6145","524a24d3772ae5d7fbfc273716e5604b1f97c1b9e28e5bde166b5c1c71bdd98c"
"Validate-ResearchData.ps1","23742","db0a62b32c6de8920056e1611bfab42dab0c0a78e46c9414f3e35f4e850f230d"
"validation-summary.json","3314","69046558aba00f557e28d9324dd634801c33b88b102b82457fbadf9da7d34dfc"
"validator-audit-design.md","2805","11918b5e4944e70fca0ad85f63fc36964a5ffeceec41e35c4834cc82bb37cd4b"
"verification-summary.json","602","b15606b4e3bd674a913fe07fdee5fa27225341759c455482c164d690e1207f0d"
