"table_path","pk","field_id","overlay_action","current_target_kind","current_target_id","proposed_target_kind","proposed_target_id","proposed_field_id","current_requirement_fingerprint","proposed_requirement_fingerprint","rationale","confidence","blocking_reason","review_status"
"数据/field-requirements.csv","REQ-AWS-TRN2-0175","FIELD-DER-COMPUTE-BW-SPEC","retarget_row","precision_path","PP-AWS-TRN2-TENSOR-FP8","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP8","FIELD-DER-COMPUTE-BW-SPEC","REQ-AWS-TRN2-0175|||||PP-AWS-TRN2-TENSOR-FP8|||FIELD-DER-COMPUTE-BW-SPEC","REQ-AWS-TRN2-0175|||||PP-AWS-TRN2-CHIP-TENSOR-FP8|||FIELD-DER-COMPUTE-BW-SPEC","该要求原先仍指向 NCv3 单核精度路径，但对应派生事实已经迁到芯片聚合路径 PP-AWS-TRN2-CHIP-TENSOR-FP8。迁移只修正目标，不改变字段、数值状态或生命周期。","high","","reviewed"
"数据/field-requirements.csv","REQ-AWS-TRN2-0176","FIELD-DER-COMPUTE-BW-SPEC","retarget_row","precision_path","PP-AWS-TRN2-TENSOR-BF16","precision_path","PP-AWS-TRN2-CHIP-TENSOR-BF16","FIELD-DER-COMPUTE-BW-SPEC","REQ-AWS-TRN2-0176|||||PP-AWS-TRN2-TENSOR-BF16|||FIELD-DER-COMPUTE-BW-SPEC","REQ-AWS-TRN2-0176|||||PP-AWS-TRN2-CHIP-TENSOR-BF16|||FIELD-DER-COMPUTE-BW-SPEC","该要求原先仍指向 NCv3 单核精度路径，但对应派生事实已经迁到芯片聚合路径 PP-AWS-TRN2-CHIP-TENSOR-BF16。迁移只修正目标，不改变字段、数值状态或生命周期。","high","","reviewed"
"数据/field-requirements.csv","REQ-AWS-TRN2-0177","FIELD-DER-COMPUTE-BW-SPEC","retarget_row","precision_path","PP-AWS-TRN2-TENSOR-FP32","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP32","FIELD-DER-COMPUTE-BW-SPEC","REQ-AWS-TRN2-0177|||||PP-AWS-TRN2-TENSOR-FP32|||FIELD-DER-COMPUTE-BW-SPEC","REQ-AWS-TRN2-0177|||||PP-AWS-TRN2-CHIP-TENSOR-FP32|||FIELD-DER-COMPUTE-BW-SPEC","该要求原先仍指向 NCv3 单核精度路径，但对应派生事实已经迁到芯片聚合路径 PP-AWS-TRN2-CHIP-TENSOR-FP32。迁移只修正目标，不改变字段、数值状态或生命周期。","high","","reviewed"
"数据/field-requirements.csv","REQ-AWS-TRN2-0178","FIELD-DER-COMPUTE-BW-SPEC","retarget_row","precision_path","PP-AWS-TRN2-TENSOR-FP8","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP8","FIELD-DER-COMPUTE-BW-SPEC","REQ-AWS-TRN2-0178|||||PP-AWS-TRN2-TENSOR-FP8|||FIELD-DER-COMPUTE-BW-SPEC","REQ-AWS-TRN2-0178|||||PP-AWS-TRN2-CHIP-TENSOR-FP8|||FIELD-DER-COMPUTE-BW-SPEC","该要求原先仍指向 NCv3 单核精度路径，但对应派生事实已经迁到芯片聚合路径 PP-AWS-TRN2-CHIP-TENSOR-FP8。迁移只修正目标，不改变字段、数值状态或生命周期。","high","","reviewed"
"数据/field-requirements.csv","REQ-GROQ-LPU1-ROUNDING-MODE","FIELD-NUM-ROUNDING","retarget_row","object","OBJ-GROQ-LPU1-ARCH","component","CMP-GROQ-LPU1-MXM","FIELD-NUM-ROUNDING","REQ-GROQ-LPU1-ROUNDING-MODE|OBJ-GROQ-LPU1-ARCH|||||||FIELD-NUM-ROUNDING","REQ-GROQ-LPU1-ROUNDING-MODE||CMP-GROQ-LPU1-MXM||||||FIELD-NUM-ROUNDING","该缺口已有明确的下级实体：CMP-GROQ-LPU1-MXM（Matrix Execution Module）。现有 object 目标过宽，迁到该实体后仍保留 not_found，不补写未知值。","high","","reviewed"
"数据/field-requirements.csv","REQ-M2GA-G8I-FP4-ACCUM","FIELD-NUM-ACCUMULATION","retarget_row","object","OBJ-GOOGLE-TPU-8I-ARCH","precision_path","PP-M2GA-G8I-FP4","FIELD-NUM-ACCUMULATION","REQ-M2GA-G8I-FP4-ACCUM|OBJ-GOOGLE-TPU-8I-ARCH|||||||FIELD-NUM-ACCUMULATION","REQ-M2GA-G8I-FP4-ACCUM|||||PP-M2GA-G8I-FP4|||FIELD-NUM-ACCUMULATION","该缺口已有明确的下级实体：PP-M2GA-G8I-FP4（Published FP4 TensorCore path; internal organization undisclosed）。现有 object 目标过宽，迁到该实体后仍保留 not_found，不补写未知值。","high","","reviewed"
"数据/field-requirements.csv","REQ-M2GA-G8I-ICI-PROTOCOL-DETAIL","FIELD-INT-PROTOCOL","retarget_row","object","OBJ-GOOGLE-TPU-8I-ARCH","link","LINK-M2GA-G8I-ICI","FIELD-INT-PROTOCOL","REQ-M2GA-G8I-ICI-PROTOCOL-DETAIL|OBJ-GOOGLE-TPU-8I-ARCH|||||||FIELD-INT-PROTOCOL","REQ-M2GA-G8I-ICI-PROTOCOL-DETAIL|||LINK-M2GA-G8I-ICI|||||FIELD-INT-PROTOCOL","该缺口已有明确的下级实体：LINK-M2GA-G8I-ICI（External ICI endpoint）。现有 object 目标过宽，迁到该实体后仍保留 not_found，不补写未知值。","high","","reviewed"
"数据/field-requirements.csv","REQ-M2GA-G8T-LDE-DETAIL","FIELD-CAP-IMPLEMENTATION-DETAIL","retarget_row","object","OBJ-GOOGLE-TPU-8T-ARCH","capability","CAP-M2GA-G8T-LDE","FIELD-CAP-IMPLEMENTATION-DETAIL","REQ-M2GA-G8T-LDE-DETAIL|OBJ-GOOGLE-TPU-8T-ARCH|||||||FIELD-CAP-IMPLEMENTATION-DETAIL","REQ-M2GA-G8T-LDE-DETAIL||||||CAP-M2GA-G8T-LDE||FIELD-CAP-IMPLEMENTATION-DETAIL","该缺口已有明确的下级实体：CAP-M2GA-G8T-LDE（LLM Decoder Engine）。现有 object 目标过宽，迁到该实体后仍保留 not_found，不补写未知值。","high","","reviewed"
"数据/field-requirements.csv","REQ-NVG3-MXM-ACCUM","FIELD-NUM-ACCUMULATION","retarget_row","object","OBJ-NVIDIA-GROQ3-ARCH","component","CMP-NVG3-MXM","FIELD-NUM-ACCUMULATION","REQ-NVG3-MXM-ACCUM|OBJ-NVIDIA-GROQ3-ARCH|||||||FIELD-NUM-ACCUMULATION","REQ-NVG3-MXM-ACCUM||CMP-NVG3-MXM||||||FIELD-NUM-ACCUMULATION","该缺口已有明确的下级实体：CMP-NVG3-MXM（Groq 3 Matrix Execution Module）。现有 object 目标过宽，迁到该实体后仍保留 not_found，不补写未知值。","high","","reviewed"
"数据/field-requirements.csv","REQ-NVG3-MXM-EXACT-FORMATS","FIELD-NUM-OPERAND-A","retarget_row","object","OBJ-NVIDIA-GROQ3-ARCH","component","CMP-NVG3-MXM","FIELD-NUM-OPERAND-A","REQ-NVG3-MXM-EXACT-FORMATS|OBJ-NVIDIA-GROQ3-ARCH|||||||FIELD-NUM-OPERAND-A","REQ-NVG3-MXM-EXACT-FORMATS||CMP-NVG3-MXM||||||FIELD-NUM-OPERAND-A","该缺口已有明确的下级实体：CMP-NVG3-MXM（Groq 3 Matrix Execution Module）。现有 object 目标过宽，迁到该实体后仍保留 not_found，不补写未知值。","high","","reviewed"
"数据/field-requirements.csv","REQ-NVG3-MXM-PHYSICAL-ACCUM","FIELD-NUM-PHYSICAL-ACCUM","retarget_row","object","OBJ-NVIDIA-GROQ3-ARCH","component","CMP-NVG3-MXM","FIELD-NUM-PHYSICAL-ACCUM","REQ-NVG3-MXM-PHYSICAL-ACCUM|OBJ-NVIDIA-GROQ3-ARCH|||||||FIELD-NUM-PHYSICAL-ACCUM","REQ-NVG3-MXM-PHYSICAL-ACCUM||CMP-NVG3-MXM||||||FIELD-NUM-PHYSICAL-ACCUM","该缺口已有明确的下级实体：CMP-NVG3-MXM（Groq 3 Matrix Execution Module）。现有 object 目标过宽，迁到该实体后仍保留 not_found，不补写未知值。","high","","reviewed"
"数据/field-requirements.csv","REQ-NVG3-VXM-FORMATS","FIELD-NUM-OPERAND-A","retarget_row","object","OBJ-NVIDIA-GROQ3-ARCH","component","CMP-NVG3-VXM","FIELD-NUM-OPERAND-A","REQ-NVG3-VXM-FORMATS|OBJ-NVIDIA-GROQ3-ARCH|||||||FIELD-NUM-OPERAND-A","REQ-NVG3-VXM-FORMATS||CMP-NVG3-VXM||||||FIELD-NUM-OPERAND-A","该缺口已有明确的下级实体：CMP-NVG3-VXM（Groq 3 Vector Execution Module）。现有 object 目标过宽，迁到该实体后仍保留 not_found，不补写未知值。","high","","reviewed"
