"enum_value_id","enum_name","enum_value","sort_order","definition","review_status","notes"
"ENUM-REVIEW-STATUS-001","review_status","draft","1","枚举 review_status 的受控值 draft","approved",""
"ENUM-REVIEW-STATUS-002","review_status","reviewed","2","枚举 review_status 的受控值 reviewed","approved",""
"ENUM-REVIEW-STATUS-003","review_status","needs_resolution","3","枚举 review_status 的受控值 needs_resolution","approved",""
"ENUM-REVIEW-STATUS-004","review_status","approved","4","枚举 review_status 的受控值 approved","approved",""
"ENUM-BOOLEAN-001","boolean","false","1","枚举 boolean 的受控值 false","approved",""
"ENUM-BOOLEAN-002","boolean","true","2","枚举 boolean 的受控值 true","approved",""
"ENUM-DATA-TYPE-001","data_type","text","1","枚举 data_type 的受控值 text","approved",""
"ENUM-DATA-TYPE-002","data_type","number","2","枚举 data_type 的受控值 number","approved",""
"ENUM-DATA-TYPE-003","data_type","integer","3","枚举 data_type 的受控值 integer","approved",""
"ENUM-DATA-TYPE-004","data_type","date","4","枚举 data_type 的受控值 date","approved",""
"ENUM-DATA-TYPE-005","data_type","boolean","5","枚举 data_type 的受控值 boolean","approved",""
"ENUM-OBJECT-TYPE-001","object_type","architecture_generation","1","枚举 object_type 的受控值 architecture_generation","approved",""
"ENUM-OBJECT-TYPE-002","object_type","die","2","枚举 object_type 的受控值 die","approved",""
"ENUM-OBJECT-TYPE-003","object_type","chiplet","3","枚举 object_type 的受控值 chiplet","approved",""
"ENUM-OBJECT-TYPE-004","object_type","package","4","枚举 object_type 的受控值 package","approved",""
"ENUM-OBJECT-TYPE-005","object_type","module","5","枚举 object_type 的受控值 module","approved",""
"ENUM-OBJECT-TYPE-006","object_type","card","6","枚举 object_type 的受控值 card","approved",""
"ENUM-OBJECT-TYPE-007","object_type","cloud_accelerator","7","枚举 object_type 的受控值 cloud_accelerator","approved",""
"ENUM-OBJECT-TYPE-008","object_type","cloud_instance","8","枚举 object_type 的受控值 cloud_instance","approved",""
"ENUM-OBJECT-TYPE-009","object_type","baseboard","9","枚举 object_type 的受控值 baseboard","approved",""
"ENUM-OBJECT-TYPE-010","object_type","server","10","枚举 object_type 的受控值 server","approved",""
"ENUM-OBJECT-TYPE-011","object_type","rack","11","枚举 object_type 的受控值 rack","approved",""
"ENUM-OBJECT-TYPE-012","object_type","pod","12","枚举 object_type 的受控值 pod","approved",""
"ENUM-OBJECT-TYPE-013","object_type","cluster","13","枚举 object_type 的受控值 cluster","approved",""
"ENUM-OBJECT-TYPE-014","object_type","switch","14","枚举 object_type 的受控值 switch","approved",""
"ENUM-RELATION-TYPE-001","relation_type","implements_architecture","1","枚举 relation_type 的受控值 implements_architecture","approved",""
"ENUM-RELATION-TYPE-002","relation_type","physically_contains","2","枚举 relation_type 的受控值 physically_contains","approved",""
"ENUM-RELATION-TYPE-003","relation_type","package_contains_die","3","枚举 relation_type 的受控值 package_contains_die","approved",""
"ENUM-RELATION-TYPE-004","relation_type","sku_variant_of","4","枚举 relation_type 的受控值 sku_variant_of","approved",""
"ENUM-RELATION-TYPE-005","relation_type","card_uses_module","5","枚举 relation_type 的受控值 card_uses_module","approved",""
"ENUM-RELATION-TYPE-006","relation_type","exposed_as_cloud_accelerator","6","枚举 relation_type 的受控值 exposed_as_cloud_accelerator","approved",""
"ENUM-RELATION-TYPE-007","relation_type","instance_contains_accelerator","7","枚举 relation_type 的受控值 instance_contains_accelerator","approved",""
"ENUM-RELATION-TYPE-008","relation_type","deployed_in_system","8","枚举 relation_type 的受控值 deployed_in_system","approved",""
"ENUM-RELATION-TYPE-009","relation_type","connected_by","9","枚举 relation_type 的受控值 connected_by","approved",""
"ENUM-RELATION-TYPE-010","relation_type","supersedes_product","10","枚举 relation_type 的受控值 supersedes_product","approved",""
"ENUM-RELATION-TYPE-011","relation_type","renamed_from","11","枚举 relation_type 的受控值 renamed_from","approved",""
"ENUM-COMPONENT-DOMAIN-001","component_domain","compute","1","枚举 component_domain 的受控值 compute","approved",""
"ENUM-COMPONENT-DOMAIN-002","component_domain","memory","2","枚举 component_domain 的受控值 memory","approved",""
"ENUM-COMPONENT-DOMAIN-003","component_domain","data_movement","3","枚举 component_domain 的受控值 data_movement","approved",""
