"requirement_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","requirement_status","applicability_reason","search_status","last_searched_date","requirement_fingerprint","review_status","notes"
"REQ-CAMBRICON-MLU590-NAME","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-ID-NAME","value_available","Official WAIC page directly names 思元590.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-NAME","draft","Do not treat MLU590 as a confirmed alias."
"REQ-CAMBRICON-MLU590-VENDOR","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-ID-VENDOR","value_available","Official Cambricon page and publisher identity.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-VENDOR","draft",""
"REQ-CAMBRICON-MLU590-OBJECT-TYPE","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-ID-OBJECT-TYPE","value_available","WAIC calls it a chip; package is a provisional project normalization.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-OBJECT-TYPE","draft",""
"REQ-CAMBRICON-MLU590-POSITIONING-2022","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-ID-VENDOR-POSITIONING","value_available","Dated WAIC page supplies the vendor wording.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-POSITIONING-2022","draft","Historical statement only."
"REQ-CAMBRICON-MLU590-STATUS-2022","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-ID-STATUS","value_available","Dated WAIC page says 在研.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-STATUS-2022","draft","The normalized announced value is provisional."
"REQ-CAMBRICON-MLU590-STATUS-CURRENT","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-ID-STATUS","pending_verification","No fixed first-party source establishes current ordering or availability.","in_progress","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-STATUS-CURRENT","draft","Separate from the 2022 historical status."
"REQ-CAMBRICON-MLU590-RELEASE-DATE","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-ID-RELEASE-DATE","pending_verification","The WAIC article is an in-development disclosure, not an explicit release notice.","in_progress","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-RELEASE-DATE","draft",""
"REQ-CAMBRICON-MLU590-AVAILABILITY-DATE","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-ID-AVAILABILITY-DATE","pending_verification","No first-party GA or first-shipment date has been fixed.","in_progress","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-AVAILABILITY-DATE","draft",""
"REQ-CAMBRICON-MLU590-ALIAS","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-ID-SKU","inaccessible_evidence","The versioned CNToolkit page may map the MLU590 software name, but its body is currently inaccessible.","blocked","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-ALIAS","draft","Search-index text is not accepted as source evidence."
"REQ-CAMBRICON-MLU590-ARCH-RELATION","","","","OREL-CAMBRICON-MLU590-IMPLEMENTS-ARCH","","","","FIELD-ID-ARCH","value_available","The formal implements_architecture relation projects this field; WAIC directly states that 思元590 uses MLUarch05.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-ARCH-RELATION","draft","No duplicate relation-valued fact is created."
"REQ-CAMBRICON-MLU590-PROCESS","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-PHY-PROCESS","not_found","Completed targeted first-party search found no MLU590 process label.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-PROCESS","draft","Do not copy MLU370 process data."
"REQ-CAMBRICON-MLU590-PACKAGE","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-PHY-PACKAGE","not_found","Completed targeted first-party search found no package or chiplet description for MLU590.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-PACKAGE","draft",""
"REQ-CAMBRICON-MLU590-CLOCK","OBJ-CAMBRICON-MLU590-CHIP","","","","","","","FIELD-PHY-CLOCK","not_found","Completed targeted first-party search found no clock value or power mode.","completed","2026-08-12","Cambricon|REQ-CAMBRICON-MLU590-CLOCK","draft",""
