"scope_id","freeze_row_id","vendor","chip_object","object_layer","scope_role","shared_design_group","existing_formal_object_id","mapping_status","proof_type","proof_paths","proof_detail"
"SCOPE-001","FREEZE-NV-001","NVIDIA","NVIDIA GA100 die","die","历史锚点","NV-GA100","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-002","FREEZE-NV-002","NVIDIA","NVIDIA GH100 die","die","主样本","NV-GH100","OBJ-NVIDIA-GH100-DIE","mapped_explicit","archived_existing_formal_object_id","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","FREEZE-NV-002 explicitly names OBJ-NVIDIA-GH100-DIE; objects.object_type=die; DEC-031 scope_class=chip_primary."
"SCOPE-003","FREEZE-NV-003","NVIDIA","NVIDIA AD102 die","die","主样本","NV-AD102","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-004","FREEZE-NV-004","NVIDIA","NVIDIA AD104 die","die","主样本","NV-AD104","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-005","FREEZE-NV-005","NVIDIA","NVIDIA Blackwell GPU package (GB100 microarchitecture)","package","主样本","NV-GB100-PACKAGE","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-006","FREEZE-NV-006","NVIDIA","NVIDIA Blackwell Ultra GPU package","package","主样本","NV-BLACKWELL-ULTRA-PACKAGE","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-007","FREEZE-NV-007","NVIDIA","NVIDIA GB202 die","die","主样本","NV-GB202","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-008","FREEZE-NV-008","NVIDIA","NVIDIA Rubin GPU package","package","主样本","NV-RUBIN-GPU-PACKAGE","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-009","FREEZE-NV-009","NVIDIA","NVIDIA Rubin CPX monolithic die","die","主样本","NV-RUBIN-CPX-DIE","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
"SCOPE-010","FREEZE-NV-010","NVIDIA","NVIDIA Groq 3 LP30","package","主样本","NV-GROQ3-LP30","","unmapped_no_explicit_proof","no_mapping_written","审计/归档/芯片名单冻结_2026-08-17/训练推理芯片名单冻结.csv|数据/objects.csv|审计/训练推理芯片主线对象范围.csv","Archived freeze row has empty existing_formal_object_id; name similarity was not used."
